,Shannon index,Simpson index,Auxotroph index,Prototroph index,CS,CS class,N CS,y,csx,# Carbon sources,Abundant auxotroph,Abundant prototroph,xxx,At rank,At dominant,At rank 1
A2,1.7744378040206255,0.3085106382978724,0.32269503546099293,0.3546099290780142,Acetate,Organic acid,1,1.7744378040206255,Organic acid,One,True,True,True/One,1,True,True
E3,1.5526949068929587,0.37994907523993393,0.3349282296650718,0.4944178628389155,Citrate + glucose,nan,2,1.5526949068929587,,Two,True,True,True/Two,1,True,True
E1,1.5426327160008957,0.3857552186550403,0.40229885057471265,0.45977011494252873,Citrate + glucose,nan,2,1.5426327160008957,,Two,True,True,True/Two,1,True,True
E2,1.541029399576959,0.38090583866682765,0.3983516483516483,0.4532967032967033,Citrate + glucose,nan,2,1.541029399576959,,Two,True,True,True/Two,1,True,True
G5,1.4854170618105758,0.44080339242985556,0.0729483282674772,0.60790273556231,Ribose + glutarate,nan,2,1.4854170618105758,,Two,False,True,False/Two,1,True,True
G4,1.4673647987363898,0.4218055555555556,0.09166666666666666,0.5555555555555556,Ribose + glutarate,nan,2,1.4673647987363898,,Two,False,True,False/Two,1,True,True
C2,1.4138569204334384,0.4093876732649228,0.42240300375469336,0.4693366708385482,Histidine,Amino acid,1,1.4138569204334384,Amino acid,One,True,True,True/One,1,True,True
G6,1.3706978541993302,0.45578944303723756,0.059190031152647975,0.5919003115264797,Ribose + glutarate,nan,2,1.3706978541993302,,Two,False,True,False/Two,1,True,True
B6,1.3677491440814198,0.44997586579989546,0.24889212651004675,0.607053967097675,Inosine,Other,1,1.3677491440814198,Other,One,True,True,True/One,1,True,True
C1,1.349930439458329,0.4403413742865113,0.33789219629927597,0.5631536604987932,Histidine,Amino acid,1,1.349930439458329,Amino acid,One,True,True,True/One,1,True,True
B5,1.2805792629643573,0.4966482464608643,0.17713484389991882,0.6642556646246955,Inosine,Other,1,1.2805792629643573,Other,One,True,True,True/One,1,True,True
B4,1.2667998011706394,0.48963360119960114,0.26324237560192615,0.6420545746388443,Inosine,Other,1,1.2667998011706394,Other,One,True,True,True/One,1,True,True
G9,1.1864879134558892,0.5236141713775511,0.247074122236671,0.6762028608582574,Xylose + histidine,nan,2,1.1864879134558892,,Two,True,True,True/Two,1,True,True
F11,1.1225523179235524,0.5585683409997155,0.02824478816408877,0.7061197041022192,Mannitol + acetate,nan,2,1.1225523179235524,,Two,False,True,False/Two,1,True,True
F12,1.1080189055872223,0.5508657342000719,0.025966532025389497,0.6924408540103866,Mannitol + acetate,nan,2,1.1080189055872223,,Two,False,True,False/Two,1,True,True
F4,1.107779450212561,0.5974768089053804,0.06753246753246753,0.7532467532467533,Glutamate + mannose,nan,2,1.107779450212561,,Two,False,True,False/Two,1,True,True
G1,1.1008579191121304,0.5792482508790338,0.05346088913899831,0.7315700619020822,Myo-inositol + glutamate,nan,2,1.1008579191121304,,Two,False,True,False/Two,1,True,True
G2,1.0959287821591417,0.5698418252682755,0.03948312993539124,0.7178750897343862,Myo-inositol + glutamate,nan,2,1.0959287821591417,,Two,False,True,False/Two,1,True,True
G3,1.092828607776743,0.5759324912283913,0.048411497730711045,0.7261724659606656,Myo-inositol + glutamate,nan,2,1.092828607776743,,Two,False,True,False/Two,1,True,True
F8,1.0777832596883028,0.6121782163539217,0.10477894198824432,0.7666751852798365,Histidine + mannose,nan,2,1.0777832596883028,,Two,True,True,True/Two,1,True,True
D10,1.0725676910179733,0.5200920697502608,0.3468208092485549,0.6319845857418112,Ribose,Sugar,1,1.0725676910179733,Sugar,One,True,True,True/One,1,True,True
F5,1.0723355931153626,0.6110472724951322,0.05367231638418079,0.7627118644067796,Glutamate + mannose,nan,2,1.0723355931153626,,Two,False,True,False/Two,1,True,True
B9,1.0696467803855367,0.49291777780318,0.4681261186837395,0.5231997797053559,Alanine,Amino acid,1,1.0696467803855367,Amino acid,One,True,True,True/One,1,True,True
B8,1.0664418405522174,0.49291222172242943,0.47372316802368614,0.5181347150259067,Alanine,Amino acid,1,1.0664418405522174,Amino acid,One,True,True,True/One,1,True,True
B7,1.060723322044727,0.4935629254866474,0.47650562541363334,0.5162144275314361,Alanine,Amino acid,1,1.060723322044727,Amino acid,One,True,True,True/One,1,True,True
F6,1.0410144677570947,0.6136891861707586,0.044226044226044224,0.7616707616707616,Glutamate + mannose,nan,2,1.0410144677570947,,Two,False,True,False/Two,1,True,True
F10,1.0402677505391664,0.610440447784975,0.030855539971949508,0.7573632538569425,Mannitol + acetate,nan,2,1.0402677505391664,,Two,False,True,False/Two,1,True,True
G7,1.018077673405473,0.6038678753357181,0.19591496456857024,0.7503126302626094,Xylose + histidine,nan,2,1.018077673405473,,Two,True,True,True/Two,1,True,True
H2,1.017055470379021,0.543546020662654,0.3246753246753247,0.6618381618381618,Alanine + glucose,nan,2,1.017055470379021,,Two,True,True,True/Two,1,True,True
F7,1.0083333802382162,0.6434432340092129,0.09131293188548864,0.7897334649555775,Histidine + mannose,nan,2,1.0083333802382162,,Two,False,True,False/Two,1,True,True
D12,1.0052613247418627,0.5693096511974833,0.2726555212743058,0.7031642390758412,Ribose,Sugar,1,1.0052613247418627,Sugar,One,True,True,True/One,1,True,True
G8,0.9927350952402145,0.6272983120173377,0.1569060773480663,0.7734806629834254,Xylose + histidine,nan,2,0.9927350952402145,,Two,True,True,True/Two,1,True,True
F9,0.9404797856827544,0.6686154797061006,0.08070094535393128,0.8070094535393129,Histidine + mannose,nan,2,0.9404797856827544,,Two,False,True,False/Two,1,True,True
H3,0.9387043235671946,0.5912221589835636,0.2663115845539281,0.7212605415002219,Alanine + glucose,nan,2,0.9387043235671946,,Two,True,True,True/Two,1,True,True
H1,0.9200745994086855,0.6045472775061634,0.2512337371018394,0.7357559443696725,Alanine + glucose,nan,2,0.9200745994086855,,Two,True,True,True/Two,1,True,True
D11,0.9157872507206704,0.6111302029212823,0.2376237623762376,0.7445544554455445,Ribose,Sugar,1,0.9157872507206704,Sugar,One,True,True,True/One,1,True,True
D3,0.6029644910966413,0.8165685890694342,0.05108173076923077,0.9014423076923077,Mannose,Sugar,1,0.6029644910966413,Sugar,One,False,True,False/One,1,True,True
D1,0.5340854302147995,0.8433633003748183,0.042787286063569685,0.9168704156479217,Mannose,Sugar,1,0.5340854302147995,Sugar,One,False,True,False/One,1,True,True
H7,0.5300060100546664,0.8334862792898011,0.01772879731672257,0.9103977000479156,Mannitol + myo-inositol,nan,2,0.5300060100546664,,Two,False,True,False/Two,1,True,True
D5,0.4974959132843003,0.8502749523915119,0.030683403068340307,0.9205020920502092,Myo-inositol,Other,1,0.4974959132843003,Other,One,False,True,False/One,1,True,True
