Sample ID,Medium no. ,Medium,Time,OD600,Hours
1A,1,MM + 15 mM glucose (negative control),OD600 - day 0,0.011,0
1B,1,MM + 15 mM glucose (negative control),OD600 - day 0,0.013,0
2A,2,MM + AA + 15 mM glucose,OD600 - day 0,0.016,0
2B,2,MM + AA + 15 mM glucose,OD600 - day 0,0.014,0
3A,3,MM + Vitamins + 15 mM glucose,OD600 - day 0,0.018,0
3B,3,MM + Vitamins + 15 mM glucose,OD600 - day 0,0.015,0
4A,4,MM + AA + Vitamins + 15 mM glucose,OD600 - day 0,0.012,0
4B,4,MM + AA + Vitamins + 15 mM glucose,OD600 - day 0,0.023,0
5A,5,MM +  25 mM glutamic acid (negative control),OD600 - day 0,0.028,0
5B,5,MM +  25 mM glutamic acid (negative control),OD600 - day 0,0.014,0
6A,6,MM + AA + 25 mM glutamic acid,OD600 - day 0,0.017,0
6B,6,MM + AA + 25 mM glutamic acid,OD600 - day 0,0.011,0
7A,7,MM + Vitamins + 25 mM glutamic acid,OD600 - day 0,0.007,0
7B,7,MM + Vitamins + 25 mM glutamic acid,OD600 - day 0,0.009,0
8A,8,MM + AA + Vitamins + 25 mM glutamic acid,OD600 - day 0,0.018,0
8B,8,MM + AA + Vitamins + 25 mM glutamic acid,OD600 - day 0,0.017,0
9A,9,Medium 4 without Ms (negative control),OD600 - day 0,0.0,0
9B,9,Medium 4 without Ms (negative control),OD600 - day 0,0.0,0
10A,10,Medium 8 without Ms (negative control),OD600 - day 0,0.006,0
10B,10,Medium 8 without Ms (negative control),OD600 - day 0,0.002,0
11A,11,TSB (positive control),OD600 - day 0,0.008,0
11B,11,TSB (positive control),OD600 - day 0,0.007,0
1A,1,MM + 15 mM glucose (negative control),OD600 - day 1 noon,0.007,19
1B,1,MM + 15 mM glucose (negative control),OD600 - day 1 noon,0.007,19
2A,2,MM + AA + 15 mM glucose,OD600 - day 1 noon,0.41,19
2B,2,MM + AA + 15 mM glucose,OD600 - day 1 noon,0.442,19
3A,3,MM + Vitamins + 15 mM glucose,OD600 - day 1 noon,0.019,19
3B,3,MM + Vitamins + 15 mM glucose,OD600 - day 1 noon,0.007,19
4A,4,MM + AA + Vitamins + 15 mM glucose,OD600 - day 1 noon,1.784,19
4B,4,MM + AA + Vitamins + 15 mM glucose,OD600 - day 1 noon,1.933,19
5A,5,MM +  25 mM glutamic acid (negative control),OD600 - day 1 noon,0.038,19
5B,5,MM +  25 mM glutamic acid (negative control),OD600 - day 1 noon,0.022,19
6A,6,MM + AA + 25 mM glutamic acid,OD600 - day 1 noon,0.117,19
