#,Sample ID,Medium no. ,Replicate,Medium,CFU - day 0,CFU - day 3
1,1A,1,A,Δala,14000000,
2,1B,1,B,Δala,14000000,
3,2A,2,A,Δarg,14000000,
4,2B,2,B,Δarg,14000000,
5,3A,3,A,Δasn,14000000,
6,3B,3,B,Δasn,14000000,
7,4A,4,A,Δasp,14000000,
8,4B,4,B,Δasp,14000000,
9,5A,5,A,Δcys,14000000,1039999999.9999999
10,5B,5,B,Δcys,14000000,1859999999.9999998
11,6A,6,A,Δglu,14000000,
12,6B,6,B,Δglu,14000000,
13,7A,7,A,Δgln,14000000,
14,7B,7,B,Δgln,14000000,
15,8A,8,A,Δgly,14000000,
16,8B,8,B,Δgly,14000000,
17,9A,9,A,Δhis,14000000,
18,9B,9,B,Δhis,14000000,
19,10A,10,A,Δile,14000000,
20,10B,10,B,Δile,14000000,
21,11A,11,A,Δleu,14000000,
22,11B,11,B,Δleu,14000000,
23,12A,12,A,Δlys,14000000,
24,12B,12,B,Δlys,14000000,
25,13A,13,A,Δmet,14000000,
26,13B,13,B,Δmet,14000000,
27,14A,14,A,Δphe,14000000,
28,14B,14,B,Δphe,14000000,
29,15A,15,A,Δpro,14000000,5100000000.0
30,15B,15,B,Δpro,14000000,8700000000.0
31,16A,16,A,Δser,14000000,
32,16B,16,B,Δser,14000000,
33,17A,17,A,Δthr,14000000,
34,17B,17,B,Δthr,14000000,
35,18A,18,A,Δtrp,14000000,
36,18B,18,B,Δtrp,14000000,
37,19A,19,A,Δtyr,14000000,
38,19B,19,B,Δtyr,14000000,
39,20A,20,A,Δval,14000000,
40,20B,20,B,Δval,14000000,
41,21A,21,A,all AA,14000000,4100000000.0
42,21B,21,B,all AA,14000000,3600000000.0
43,22A,22,A,No AA,14000000,3600000.0
44,22B,22,B,No AA,14000000,7000000.0
