Sample ID,Medium no. ,Medium,OD600,Hours
1A,1,Δala,0.014,0.0
1B,1,Δala,0.022,0.0
2A,2,Δarg,0.024,0.0
2B,2,Δarg,0.01,0.0
3A,3,Δasn,0.019,0.0
3B,3,Δasn,0.012,0.0
4A,4,Δasp,0.011,0.0
4B,4,Δasp,0.016,0.0
5A,5,Δcys,0.009,0.0
5B,5,Δcys,0.013,0.0
6A,6,Δglu,0.011,0.0
6B,6,Δglu,0.011,0.0
7A,7,Δgln,0.012,0.0
7B,7,Δgln,0.011,0.0
8A,8,Δgly,0.009,0.0
8B,8,Δgly,0.013,0.0
9A,9,Δhis,0.011,0.0
9B,9,Δhis,0.01,0.0
10A,10,Δile,0.01,0.0
10B,10,Δile,0.02,0.0
11A,11,Δleu,0.014,0.0
11B,11,Δleu,0.012,0.0
12A,12,Δlys,0.01,0.0
12B,12,Δlys,0.011,0.0
13A,13,Δmet,0.013,0.0
13B,13,Δmet,0.01,0.0
14A,14,Δphe,0.013,0.0
14B,14,Δphe,0.013,0.0
15A,15,Δpro,0.011,0.0
15B,15,Δpro,0.017,0.0
16A,16,Δser,0.014,0.0
16B,16,Δser,0.019,0.0
17A,17,Δthr,0.008,0.0
17B,17,Δthr,0.009,0.0
18A,18,Δtrp,0.009,0.0
18B,18,Δtrp,0.007,0.0
19A,19,Δtyr,0.007,0.0
19B,19,Δtyr,0.008,0.0
20A,20,Δval,0.009,0.0
20B,20,Δval,0.012,0.0
21A,21,all AA,0.009,0.0
21B,21,all AA,0.01,0.0
22A,22,No AA,0.007,0.0
22B,22,No AA,0.01,0.0
1A,1,Δala,0.604,16.5
1B,1,Δala,0.589,16.5
2A,2,Δarg,0.536,16.5
2B,2,Δarg,0.511,16.5
3A,3,Δasn,0.61,16.5
3B,3,Δasn,0.367,16.5
4A,4,Δasp,0.258,16.5
4B,4,Δasp,0.732,16.5
5A,5,Δcys,0.101,16.5
5B,5,Δcys,0.102,16.5
6A,6,Δglu,0.63,16.5
6B,6,Δglu,0.68,16.5
7A,7,Δgln,0.459,16.5
7B,7,Δgln,0.476,16.5
8A,8,Δgly,0.502,16.5
8B,8,Δgly,0.585,16.5
9A,9,Δhis,0.351,16.5
9B,9,Δhis,0.652,16.5
10A,10,Δile,0.302,16.5
10B,10,Δile,0.357,16.5
11A,11,Δleu,0.299,16.5
11B,11,Δleu,0.568,16.5
12A,12,Δlys,0.284,16.5
12B,12,Δlys,0.297,16.5
13A,13,Δmet,0.632,16.5
13B,13,Δmet,0.672,16.5
14A,14,Δphe,0.701,16.5
14B,14,Δphe,0.702,16.5
15A,15,Δpro,0.27,16.5
15B,15,Δpro,0.237,16.5
16A,16,Δser,0.329,16.5
16B,16,Δser,0.659,16.5
17A,17,Δthr,0.723,16.5
17B,17,Δthr,0.727,16.5
18A,18,Δtrp,0.697,16.5
18B,18,Δtrp,0.767,16.5
19A,19,Δtyr,0.703,16.5
19B,19,Δtyr,0.702,16.5
20A,20,Δval,0.671,16.5
20B,20,Δval,0.728,16.5
21A,21,all AA,0.572,16.5
21B,21,all AA,0.616,16.5
22A,22,No AA,0.005,16.5
22B,22,No AA,0.006,16.5
1A,1,Δala,0.871,20.0
1B,1,Δala,0.855,20.0
2A,2,Δarg,0.866,20.0
2B,2,Δarg,0.977,20.0
3A,3,Δasn,0.926,20.0
3B,3,Δasn,0.599,20.0
4A,4,Δasp,0.568,20.0
4B,4,Δasp,1.028,20.0
5A,5,Δcys,0.111,20.0
5B,5,Δcys,0.108,20.0
6A,6,Δglu,0.934,20.0
6B,6,Δglu,0.935,20.0
7A,7,Δgln,0.745,20.0
7B,7,Δgln,0.675,20.0
8A,8,Δgly,0.785,20.0
8B,8,Δgly,0.844,20.0
9A,9,Δhis,0.605,20.0
9B,9,Δhis,0.97,20.0
10A,10,Δile,0.493,20.0
10B,10,Δile,0.544,20.0
11A,11,Δleu,0.504,20.0
11B,11,Δleu,0.855,20.0
12A,12,Δlys,0.54,20.0
12B,12,Δlys,0.542,20.0
13A,13,Δmet,0.924,20.0
13B,13,Δmet,0.933,20.0
14A,14,Δphe,1.002,20.0
14B,14,Δphe,1.039,20.0
15A,15,Δpro,0.314,20.0
15B,15,Δpro,0.275,20.0
16A,16,Δser,0.62,20.0
16B,16,Δser,0.903,20.0
17A,17,Δthr,1.023,20.0
17B,17,Δthr,1.01,20.0
18A,18,Δtrp,1.043,20.0
18B,18,Δtrp,1.072,20.0
19A,19,Δtyr,0.997,20.0
19B,19,Δtyr,0.984,20.0
20A,20,Δval,0.935,20.0
20B,20,Δval,1.023,20.0
21A,21,all AA,0.876,20.0
21B,21,all AA,0.873,20.0
22A,22,No AA,0.011,20.0
22B,22,No AA,0.01,20.0
1A,1,Δala,1.331,27.0
1B,1,Δala,1.303,27.0
2A,2,Δarg,1.404,27.0
2B,2,Δarg,1.369,27.0
3A,3,Δasn,1.407,27.0
3B,3,Δasn,1.021,27.0
4A,4,Δasp,0.986,27.0
4B,4,Δasp,1.46,27.0
5A,5,Δcys,0.148,27.0
5B,5,Δcys,0.145,27.0
6A,6,Δglu,1.319,27.0
6B,6,Δglu,1.325,27.0
7A,7,Δgln,1.209,27.0
7B,7,Δgln,1.057,27.0
8A,8,Δgly,1.25,27.0
8B,8,Δgly,1.255,27.0
9A,9,Δhis,1.04,27.0
9B,9,Δhis,1.439,27.0
10A,10,Δile,0.88,27.0
10B,10,Δile,0.944,27.0
11A,11,Δleu,0.974,27.0
11B,11,Δleu,1.306,27.0
12A,12,Δlys,0.907,27.0
12B,12,Δlys,0.901,27.0
13A,13,Δmet,1.323,27.0
13B,13,Δmet,1.325,27.0
14A,14,Δphe,1.465,27.0
14B,14,Δphe,1.468,27.0
15A,15,Δpro,0.427,27.0
15B,15,Δpro,0.363,27.0
16A,16,Δser,1.103,27.0
16B,16,Δser,1.314,27.0
17A,17,Δthr,1.41,27.0
17B,17,Δthr,1.471,27.0
18A,18,Δtrp,1.658,27.0
18B,18,Δtrp,1.496,27.0
19A,19,Δtyr,1.67,27.0
19B,19,Δtyr,1.388,27.0
20A,20,Δval,1.41,27.0
20B,20,Δval,1.424,27.0
21A,21,all AA,1.299,27.0
21B,21,all AA,1.319,27.0
22A,22,No AA,0.01,27.0
22B,22,No AA,0.007,27.0
1A,1,Δala,1.636,41.0
1B,1,Δala,1.657,41.0
2A,2,Δarg,1.693,41.0
2B,2,Δarg,1.71,41.0
3A,3,Δasn,1.687,41.0
3B,3,Δasn,1.514,41.0
