,At,Ct,Ml,Oa
Acetate,True,True,True,True
Adenosine,True,False,True,False
Citrate,False,True,True,True
Cysteine,True,True,True,True
D-arabinose,True,False,True,True
D-glucose,True,False,True,True
D-xylose,True,False,True,True
Formate,True,False,True,False
Fumarate,True,True,True,True
Glutarate,True,True,True,True
Glycerol,True,False,True,False
Glycine,False,True,True,True
Inosine,True,False,True,True
L-alanine,True,True,True,True
L-arginine,True,False,True,True
L-aspartate,True,True,True,True
L-glutamate,True,True,True,True
L-glutamine,True,True,True,True
L-histidine,True,True,True,True
L-isoleucine,False,True,True,True
L-lactate,True,True,True,True
L-leucine,True,True,True,True
Malate,True,True,True,True
Mannitol,True,False,True,True
Mannose,True,False,True,True
Myo-inositol,True,False,True,True
Orotate,True,True,False,False
Phenylalanine,False,True,True,False
Proline,True,True,True,True
Pyruvate,True,True,True,True
Ribose,True,False,True,True
Sucrose,True,False,True,True
Uridine,True,False,True,False
No CS,False,False,False,False
