,At,Ct,Ml,Oa
Acetate,0.9498083333333334,1.1728333333333332,0.80765,1.10875
Adenosine,0.06259166666666666,0.0019999999999999927,0.6588666666666666,0.04050000000000001
Alanine,0.8190333333333334,0.09775,0.7742,1.1260833333333333
Arabinose,1.2808083333333333,0.007833333333333331,1.1465416666666666,1.0463333333333333
Arginine,0.9275166666666665,0.008833333333333332,0.590225,0.9353750000000001
Aspartate,0.7930083333333333,1.0433333333333332,0.4575833333333333,1.0668333333333333
Citrate,0.015294444444444444,0.22016666666666665,0.5104833333333333,0.35558333333333336
Cysteine,0.5162749999999999,0.13083333333333333,0.38303333333333334,0.22466666666666665
Formate,0.14200833333333332,0.008583333333333327,0.1618,0.004583333333333338
Fumarate,0.6767333333333334,1.0668333333333333,0.8676916666666666,1.0613333333333335
Glucose,1.3267666666666666,0.016083333333333335,0.9531624999999999,1.1531666666666667
Glutamate,1.0532583333333334,1.3483333333333334,0.6642333333333333,1.032
Glutamine,1.0422833333333335,1.352,0.9347374999999999,1.06975
Glutarate,0.55275,1.0985000000000003,0.78745,1.1260000000000001
Glycerol,1.2749416666666666,0.011666666666666664,1.129125,0.01941666666666667
Glycine,0.0037083333333333343,0.5946666666666666,0.10135,0.135
Histidine,0.8797166666666666,1.0105,0.5332583333333334,1.1055000000000001
Inosine,0.15446666666666667,0.004666666666666657,0.8522166666666666,0.15491666666666667
Isoleucine,0.010358333333333332,0.9981666666666665,0.1676333333333333,0.131
Lactate,1.00015,1.27525,1.0210583333333332,1.0993333333333333
Leucine,0.060274999999999995,1.2132500000000002,0.1604875,0.13899999999999998
Malate,0.7196083333333334,0.9695,0.6265749999999999,1.1896666666666669
Mannitol,0.9512583333333332,0.0076666666666666645,1.1409749999999999,1.2451666666666668
Mannose,1.2201833333333332,0.009583333333333338,1.0394083333333333,1.1166666666666665
Myo-inositol,1.286475,0.016083333333333328,1.2064333333333335,1.0961666666666667
Orotate,0.13128333333333334,0.05758333333333333,0.042091666666666666,0.010916666666666663
Phenylalanine,0.039799999999999995,0.9320833333333333,0.2552833333333333,0.017249999999999998
Proline,1.2251,1.2673333333333332,1.0059833333333332,1.4095833333333332
Pyruvate,1.0040166666666666,0.8995166666666666,0.28145833333333337,0.9902222222222222
Ribose,1.3568166666666668,0.004083333333333328,1.2476833333333335,1.06525
Sucrose,1.0262083333333332,0.008416666666666664,0.9960916666666666,1.26225
Uridine,0.5927749999999999,0.028249999999999997,0.259325,0.016166666666666663
Xylose,1.334925,0.011916666666666667,1.0676916666666667,1.14025
