,Species,Carbon source,Mean log10(CFUs/mL),Std log10(CFUs/mL),Abundance rank,Growth rate rank,max_growth_rate,# CS,Effective growth rate,Effective growth rate rank
0,At,Acetate,8.931298626079506,0.21096830966786098,2.0,3.0,0.0956009647239028,1.0,0.0573557576332326,3.0
1,At,Acetate + Alanine,9.13847163419389,0.09028746720473577,2.0,3.0,0.22873895829804158,2.0,0.15494033531198115,3.0
2,At,Alanine,9.569292173572093,0.05494400936610495,1.0,2.0,0.1331379935741388,1.0,0.09758457767874855,2.0
3,At,Alanine + Glucose,9.794267165987833,0.16875984498427363,1.0,2.0,0.3721520746641836,2.0,0.2787782532779526,2.0
4,At,Citrate,7.976637629775363,0.16738009588393443,4.0,4.0,0.0,1.0,0.0,4.0
5,At,Citrate + Glucose,9.503726776751874,0.0385909725497487,1.0,3.0,0.2390140810900448,2.0,0.18119367559920402,1.0
6,At,Glucose,9.870503351842943,0.29020628714607194,1.0,2.0,0.2390140810900448,1.0,0.18119367559920402,1.0
7,At,Glutamate,8.03926820639428,0.12555412290975632,4.0,3.0,0.2047593389778383,1.0,0.1283233234520382,3.0
8,At,Glutamate + Mannose,9.45881460520521,0.06068043657825134,1.0,3.0,0.3880567124756046,2.0,0.23778058132822466,2.0
9,At,Glutarate,6.929259550010005,0.33382864134955553,4.0,3.0,0.1288193292351389,1.0,0.10338964321704368,2.0
10,At,Glutarate + Inosine,8.46160589073697,0.16695573295579547,3.0,2.0,0.1629434503297681,2.0,0.11904179531637878,2.0
11,At,Glycerol,10.026970504034127,0.13039542259401285,1.0,1.0,0.1908300027711974,1.0,0.1430836335867291,1.0
12,At,Glycerol + Inosine,9.711610979767615,0.08729538500949463,1.0,1.0,0.2249541238658266,2.0,0.1587357856860642,1.0
13,At,Glycerol + Isoleucine,9.423513907670069,0.12252925828815328,2.0,1.0,0.1908300027711974,2.0,0.1430836335867291,1.0
14,At,Histidine,9.363835387212449,0.2545497338205676,1.0,4.0,0.0975911981688088,1.0,0.06643780154921568,3.0
15,At,Histidine + Mannose,9.491050712186022,0.14038852969049695,1.0,2.0,0.2808885716665751,2.0,0.17589505942540212,1.0
16,At,Inosine,9.047508747628575,0.1318520636000964,1.0,3.0,0.0341241210946292,1.0,0.0156521520993351,2.0
17,At,Isoleucine,6.695070532661113,0.3603723447503009,4.0,4.0,0.0,1.0,0.0,4.0
18,At,Malate,8.412771229885884,0.10011183004604209,4.0,3.0,0.2973463692019326,1.0,0.24686817843362005,3.0
19,At,Malate + Citrate,8.577142169978123,0.27705059844549984,3.0,3.0,0.2973463692019326,2.0,0.24686817843362005,3.0
20,At,Malate + Isoleucine,6.83409185034878,0.0696172194624749,4.0,3.0,0.2973463692019326,2.0,0.24686817843362005,3.0
21,At,Mannitol,9.515490289132824,0.0557050702694588,1.0,1.0,0.4258181051959458,1.0,0.30850415150709476,1.0
22,At,Mannitol + Acetate,9.355844156783755,0.16216268977055437,1.0,1.0,0.5214190699198487,2.0,0.36585990914032734,1.0
23,At,Mannitol + Myo-inositol,9.376262228614262,0.13296827792782348,1.0,1.0,0.6647655909998234,2.0,0.4943147661797609,1.0
24,At,Mannose,9.812171247492964,0.13643053008089406,1.0,1.0,0.1832973734977663,1.0,0.10945725787618646,1.0
25,At,Myo-inositol,9.568011035461044,0.09083215787209198,1.0,2.0,0.2389474858038776,1.0,0.18581061467266613,1.0
26,At,Myo-inositol + Glutamate,9.353534195549416,0.11980165836196792,1.0,3.0,0.44370682478171586,2.0,0.31413393812470436,1.0
28,At,Ribose,9.885070946501807,0.28831806371034757,1.0,3.0,0.0854320768539478,1.0,0.058787960112478076,1.0
29,At,Ribose + Glutarate,9.26685928633917,0.17244869081022665,1.0,2.0,0.2142514060890867,2.0,0.16217760332952175,1.0
30,At,Xylose,9.724125617965123,0.18326954096165854,1.0,1.0,0.2422373065121929,1.0,0.18356180482572615,1.0
31,At,Xylose + Histidine,9.498386967066592,0.1086599494365808,1.0,2.0,0.33982850468100173,2.0,0.24999960637494184,1.0
32,Ct,Acetate,8.877731361474074,0.08326175965629146,3.0,1.0,0.3354273673291646,1.0,0.17047905592121174,1.0
33,Ct,Acetate + Alanine,8.981378319439782,0.030620872905438315,3.0,2.0,0.3614589432687885,2.0,0.1808609333096391,2.0
34,Ct,Alanine,7.374300525522358,0.16228580854647454,4.0,4.0,0.0260315759396239,1.0,0.01038187738842735,4.0
35,Ct,Alanine + Glucose,7.616165252417365,0.08593281058407452,4.0,4.0,0.0260315759396239,2.0,0.01038187738842735,4.0
36,Ct,Citrate,8.86468489715824,0.12326306517773467,3.0,3.0,0.1161237953527853,1.0,0.018635709998238704,3.0
37,Ct,Citrate + Glucose,8.939120166381844,0.06211704318502203,3.0,4.0,0.1161237953527853,2.0,0.018635709998238704,4.0
38,Ct,Glucose,7.279742136701349,0.28631925874753794,4.0,4.0,0.0,1.0,0.0,4.0
39,Ct,Glutamate,8.875293925797454,0.1121982245464728,1.0,1.0,0.5689455394645199,1.0,0.30547036963421387,1.0
40,Ct,Glutamate + Mannose,8.796819392471917,0.07189973060389514,2.0,1.0,0.5689455394645199,2.0,0.30547036963421387,1.0
41,Ct,Glutarate,9.419293435966017,0.1707969986572798,2.0,2.0,0.1389531741612039,1.0,0.0974145188148603,3.0
