,Species,Carbon source,Mean CFUs/mL,Std CFUs/mL,Abundance rank,Growth rate rank,max_growth_rate,# CS,Effective growth rate,Effective growth rate rank,Predicted rank
0,At,Acetate,933333333.3333334,393276832.10007006,2.0,3.0,0.0956009647239028,1.0,0.0573557576332326,3.0,3.0
1,At,Acetate + Alanine,1400000000.0,282842712.47461903,2.0,3.0,0.22873895829804158,2.0,0.15494033531198115,3.0,3.0
2,At,Alanine,3733333333.3333335,450185147.0969102,1.0,2.0,0.1331379935741388,1.0,0.09758457767874855,2.0,1.0
3,At,Alanine + Glucose,6666666666.666667,2927570095.9441886,1.0,2.0,0.3721520746641836,2.0,0.2787782532779526,2.0,1.0
4,At,Citrate,100000000.0,36514837.167011075,4.0,4.0,0.0,1.0,0.0,4.0,4.0
5,At,Citrate + Glucose,3200000000.0,282842712.47461903,1.0,3.0,0.2390140810900448,2.0,0.18119367559920402,1.0,1.0
6,At,Glucose,8766666666.666666,4993462392.635661,1.0,2.0,0.2390140810900448,1.0,0.18119367559920402,1.0,1.0
7,At,Glutamate,113333333.33333333,32659863.237109043,3.0,3.0,0.2047593389778383,1.0,0.1283233234520382,3.0,3.0
8,At,Glutamate + Mannose,2900000000.0,414728827.0665544,1.0,3.0,0.3880567124756046,2.0,0.23778058132822466,2.0,2.0
9,At,Glutarate,11000000.0,9186947.262284681,4.0,3.0,0.1288193292351389,1.0,0.10338964321704368,2.0,1.0
10,At,Glutarate + Inosine,306666666.6666667,107082522.69472674,3.0,2.0,0.1629434503297681,2.0,0.11904179531637878,2.0,1.0
11,At,Glycerol,11000000000.0,2756809750.4180446,1.0,1.0,0.1908300027711974,1.0,0.1430836335867291,1.0,1.0
12,At,Glycerol + Inosine,5233333333.333333,1023067283.5481871,1.0,1.0,0.2249541238658266,2.0,0.1587357856860642,1.0,1.0
13,At,Glycerol + Isoleucine,2733333333.3333335,677249338.6240157,2.0,1.0,0.1908300027711974,2.0,0.1430836335867291,1.0,1.0
14,At,Histidine,2600000000.0,1166190378.9690602,1.0,4.0,0.0975911981688088,1.0,0.06643780154921568,3.0,3.0
15,At,Histidine + Mannose,3233333333.3333335,1015217546.4730043,1.0,2.0,0.2808885716665751,2.0,0.17589505942540212,1.0,1.0
16,At,Inosine,1160000000.0,384707681.23342687,1.0,3.0,0.0341241210946292,1.0,0.0156521520993351,2.0,1.0
17,At,Isoleucine,6400000.0,4576461.515188345,4.0,4.0,0.0,1.0,0.0,4.0,4.0
18,At,Malate,264000000.0,57271284.25310542,4.0,3.0,0.2973463692019326,1.0,0.24686817843362005,3.0,3.0
19,At,Malate + Citrate,443333333.3333333,257500809.06021765,3.0,3.0,0.2973463692019326,2.0,0.24686817843362005,3.0,3.0
20,At,Malate + Isoleucine,6900000.0,1143678.2764396637,4.0,3.0,0.2973463692019326,2.0,0.24686817843362005,3.0,3.0
21,At,Mannitol,3300000000.0,433589667.77357596,1.0,1.0,0.4258181051959458,1.0,0.30850415150709476,1.0,1.0
22,At,Mannitol + Acetate,2400000000.0,848528137.423857,1.0,1.0,0.5214190699198487,2.0,0.36585990914032734,1.0,1.0
23,At,Mannitol + Myo-inositol,2466666666.6666665,688960569.7474034,1.0,1.0,0.6647655909998234,2.0,0.4943147661797609,1.0,1.0
24,At,Mannose,6800000000.0,2592296279.363144,1.0,1.0,0.1832973734977663,1.0,0.10945725787618646,1.0,1.0
25,At,Myo-inositol,3766666666.6666665,794145242.8030195,1.0,2.0,0.2389474858038776,1.0,0.18581061467266613,1.0,1.0
26,At,Myo-inositol + Glutamate,2333333333.3333335,688960569.7474034,1.0,3.0,0.44370682478171586,2.0,0.31413393812470436,1.0,1.0
28,At,Ribose,9133333333.333334,5492783143.968699,1.0,3.0,0.0854320768539478,1.0,0.058787960112478076,1.0,1.0
29,At,Ribose + Glutarate,1966666666.6666667,720185161.3763412,1.0,2.0,0.2142514060890867,2.0,0.16217760332952175,1.0,1.0
30,At,Xylose,5733333333.333333,2637170200.5495715,1.0,1.0,0.2422373065121929,1.0,0.18356180482572615,1.0,1.0
31,At,Xylose + Histidine,3233333333.3333335,804155872.120988,1.0,2.0,0.33982850468100173,2.0,0.24999960637494184,1.0,1.0
32,Ct,Acetate,766666666.6666666,154229266.5698267,3.0,1.0,0.3354273673291646,1.0,0.17047905592121174,1.0,1.0
33,Ct,Acetate + Alanine,960000000.0,66932802.12272605,3.0,2.0,0.3614589432687885,2.0,0.1808609333096391,2.0,1.0
34,Ct,Alanine,25000000.0,8461678.320522472,4.0,4.0,0.0260315759396239,1.0,0.01038187738842735,4.0,4.0
35,Ct,Alanine + Glucose,42000000.0,8294576.541331088,4.0,4.0,0.0260315759396239,2.0,0.01038187738842735,4.0,4.0
36,Ct,Citrate,756666666.6666666,206462264.51016822,3.0,3.0,0.1161237953527853,1.0,0.018635709998238704,3.0,1.0
37,Ct,Citrate + Glucose,876666666.6666666,126121634.41165306,3.0,4.0,0.1161237953527853,2.0,0.018635709998238704,4.0,4.0
38,Ct,Glucose,22333333.333333332,13109792.777411345,4.0,4.0,0.0,1.0,0.0,4.0,4.0
39,Ct,Glutamate,770000000.0,177876361.5548733,1.0,1.0,0.5689455394645199,1.0,0.30547036963421387,1.0,1.0
40,Ct,Glutamate + Mannose,633333333.3333334,100133244.5627658,2.0,1.0,0.5689455394645199,2.0,0.30547036963421387,1.0,1.0
41,Ct,Glutarate,2800000000.0,1102723900.1672177,2.0,2.0,0.1389531741612039,1.0,0.0974145188148603,3.0,3.0
42,Ct,Glutarate + Inosine,2266666666.6666665,516397779.4943223,2.0,3.0,0.1389531741612039,2.0,0.0974145188148603,3.0,3.0
43,Ct,Glycerol,200000000.0,81975606.12767678,2.0,3.0,0.0,1.0,0.0,3.0,3.0
44,Ct,Glycerol + Inosine,56666666.666666664,9852241.707685955,3.0,4.0,0.0,2.0,0.0,4.0,4.0
45,Ct,Glycerol + Isoleucine,3400000000.0,473286382.6479693,1.0,3.0,0.0787773307362218,2.0,0.03368116348266113,3.0,3.0
46,Ct,Histidine,733333333.3333334,343550093.38765526,3.0,1.0,0.2118465362489817,1.0,0.09316633806672116,1.0,1.0
47,Ct,Histidine + Mannose,443333333.3333333,38815804.341359034,2.0,4.0,0.2118465362489817,2.0,0.09316633806672116,4.0,4.0
48,Ct,Inosine,7880000.0,1418449.8581197714,4.0,4.0,0.0,1.0,0.0,4.0,4.0
49,Ct,Isoleucine,6866666666.666667,1632993161.855452,1.0,1.0,0.0787773307362218,1.0,0.03368116348266113,1.0,1.0
50,Ct,Malate,804000000.0,118659175.79353061,3.0,1.0,0.8636455588959316,1.0,0.6157448747247196,1.0,1.0
51,Ct,Malate + Citrate,593333333.3333334,201858035.92293936,2.0,1.0,0.9797693542487169,2.0,0.6343805847229583,1.0,1.0
52,Ct,Malate + Isoleucine,5333333333.333333,1312503968.2479694,1.0,1.0,0.9424228896321535,2.0,0.6494260382073808,1.0,1.0
53,Ct,Mannitol,107666666.66666667,19242314.483103808,2.0,4.0,0.0,1.0,0.0,4.0,4.0
54,Ct,Mannitol + Acetate,770000000.0,145189531.30305228,2.0,2.0,0.3354273673291646,2.0,0.17047905592121174,2.0,2.0
55,Ct,Mannitol + Myo-inositol,126000000.0,71777433.77970545,2.0,4.0,0.0,2.0,0.0,4.0,4.0
56,Ct,Mannose,87333333.33333333,6653319.97326648,4.0,4.0,0.0,1.0,0.0,4.0,4.0
57,Ct,Myo-inositol,156666666.66666666,29439202.887759488,2.0,4.0,0.0,1.0,0.0,4.0,4.0
58,Ct,Myo-inositol + Glutamate,690000000.0,75630681.60475615,2.0,2.0,0.5689455394645199,2.0,0.30547036963421387,2.0,2.0
60,Ct,Ribose,12333333.333333334,6623191.577077223,4.0,4.0,0.0,1.0,0.0,4.0,4.0
61,Ct,Ribose + Glutarate,996666666.6666666,200166597.2800324,2.0,4.0,0.1389531741612039,2.0,0.0974145188148603,3.0,3.0
62,Ct,Xylose,32000000.0,8390470.785361212,3.0,4.0,0.0,1.0,0.0,4.0,4.0
63,Ct,Xylose + Histidine,273333333.3333333,46761807.77800049,3.0,4.0,0.2118465362489817,2.0,0.09316633806672116,4.0,4.0
64,Ml,Acetate,151333333.33333334,109993939.22697136,4.0,4.0,0.0690821107069809,1.0,0.036177634234027825,4.0,4.0
65,Ml,Acetate + Alanine,296666666.6666667,69761498.4548545,4.0,4.0,0.1336244247669502,2.0,0.07921872378127556,4.0,4.0
66,Ml,Alanine,32666666.666666668,7118052.168020874,3.0,3.0,0.0645423140599693,1.0,0.04304108954724774,3.0,3.0
67,Ml,Alanine + Glucose,79666666.66666667,26665833.320312094,3.0,3.0,0.1881508365816557,2.0,0.14870034957068057,3.0,3.0
68,Ml,Citrate,1633333333.3333333,950087715.2487904,2.0,2.0,0.1189197584227339,1.0,0.06521493814652604,1.0,2.0
69,Ml,Citrate + Glucose,160000000.0,55136195.008360885,4.0,2.0,0.2425282809444203,2.0,0.17087419816995886,3.0,3.0
70,Ml,Glucose,110000000.0,43358966.7773576,3.0,3.0,0.1236085225216864,1.0,0.10565926002343283,3.0,3.0
71,Ml,Glutamate,430000000.0,76681158.05072325,2.0,4.0,0.0898601383222476,1.0,0.06892882793528675,4.0,4.0
72,Ml,Glutamate + Mannose,210000000.0,51768716.42217914,3.0,4.0,0.2168577946791787,2.0,0.17400093216358056,4.0,4.0
73,Ml,Glutarate,130000000.0,58991524.81501051,3.0,4.0,0.0470957686527817,1.0,0.03468979436047095,4.0,4.0
74,Ml,Glutarate + Inosine,2633333333.3333335,637704215.6569663,1.0,4.0,0.1090748292626974,2.0,0.07471003801979557,4.0,4.0
75,Ml,Glycerol,120000000.0,55136195.008360885,3.0,2.0,0.0658508869554015,1.0,0.04889398345459579,2.0,2.0
76,Ml,Glycerol + Inosine,140000000.0,40000000.0,2.0,2.0,0.1278299475653172,2.0,0.08891422711392041,2.0,2.0
77,Ml,Glycerol + Isoleucine,333333333.3333333,61535897.382476404,3.0,2.0,0.1105303502471336,2.0,0.06283847291448573,2.0,2.0
78,Ml,Histidine,30666666.666666668,6282250.127674531,4.0,3.0,0.1142103314940971,1.0,0.048017884448100595,4.0,4.0
79,Ml,Histidine + Mannose,47333333.333333336,20026648.912553158,4.0,3.0,0.2412079878510282,2.0,0.1530899886763944,2.0,2.0
80,Ml,Inosine,424000000.0,86486993.24175861,2.0,1.0,0.0619790606099157,1.0,0.04002024365932463,1.0,2.0
81,Ml,Isoleucine,203333333.33333334,109848380.35522722,2.0,2.0,0.0446794632917321,1.0,0.013944489459889941,3.0,3.0
82,Ml,Malate,1566666666.6666667,794145242.8030195,1.0,4.0,0.056886878716593,1.0,0.040039388893168645,4.0,4.0
83,Ml,Malate + Citrate,2066666666.6666667,450185147.0969102,1.0,4.0,0.1758066371393269,2.0,0.10525432703969469,4.0,4.0
84,Ml,Malate + Isoleucine,170000000.0,83666002.65340756,3.0,4.0,0.1015663420083251,2.0,0.05398387835305859,4.0,4.0
85,Ml,Mannitol,19000000.0,9099450.53286186,4.0,3.0,0.0762517913090457,1.0,0.056604432085238555,2.0,2.0
86,Ml,Mannitol + Acetate,75000000.0,32242828.660029195,4.0,4.0,0.1453339020160266,2.0,0.09278206631926639,4.0,4.0
87,Ml,Mannitol + Myo-inositol,13000000.0,2756809.750418044,4.0,3.0,0.19622188079222042,2.0,0.10812219623737503,3.0,3.0
88,Ml,Mannose,233333333.33333334,84537959.91545257,3.0,3.0,0.1269976563569311,1.0,0.10507210422829381,2.0,2.0
89,Ml,Myo-inositol,14666666.666666666,3932768.3210007004,4.0,3.0,0.1199700894831747,1.0,0.05151776415213647,3.0,3.0
90,Ml,Myo-inositol + Glutamate,38333333.333333336,8140434.058861153,4.0,4.0,0.2098302278054223,2.0,0.12044659208742323,4.0,4.0
92,Ml,Ribose,266666666.66666666,60221812.21672648,3.0,2.0,0.1022928058679579,1.0,0.04532084547536107,3.0,3.0
93,Ml,Ribose + Glutarate,253333333.33333334,89144078.13571616,3.0,3.0,0.14938857452073961,2.0,0.08001063983583201,4.0,4.0
94,Ml,Xylose,15000000.0,4516635.916254486,4.0,3.0,0.1176410210681009,1.0,0.052003451969319284,3.0,3.0
95,Ml,Xylose + Histidine,16000000.0,3577708.7639996633,4.0,3.0,0.231851352562198,2.0,0.10002133641741988,3.0,3.0
96,Oa,Acetate,1470000000.0,749799973.3262198,1.0,2.0,0.2272757762829565,1.0,0.09933800026553612,2.0,2.0
97,Oa,Acetate + Alanine,2100000000.0,501996015.9204453,1.0,1.0,0.6454097885713223,2.0,0.39521671254591006,1.0,2.0
98,Oa,Alanine,3400000000.0,829457654.1331089,2.0,1.0,0.4181340122883658,1.0,0.29587871228037393,1.0,2.0
99,Oa,Alanine + Glucose,2600000000.0,438178046.0041329,2.0,1.0,0.757449100300382,2.0,0.42284454462345,1.0,2.0
100,Oa,Citrate,2300000000.0,846167832.0522472,1.0,1.0,0.1374950090199441,1.0,0.046449776093366354,2.0,3.0
101,Oa,Citrate + Glucose,2600000000.0,489897948.5566356,2.0,1.0,0.4768100970319603,2.0,0.17341560843644244,2.0,2.0
102,Oa,Glucose,413333333.3333333,117075474.23208101,2.0,1.0,0.3393150880120162,1.0,0.12696583234307607,2.0,2.0
103,Oa,Glutamate,113333333.33333333,27325202.04255893,3.0,2.0,0.3089784809244337,1.0,0.13810918200546415,2.0,2.0
104,Oa,Glutamate + Mannose,76666666.66666667,15055453.05418162,4.0,2.0,0.4693662449344777,2.0,0.2006601653800224,3.0,3.0
105,Oa,Glutarate,3500000000.0,846167832.0522472,1.0,1.0,0.3119626232916361,1.0,0.1092620285128143,1.0,2.0
106,Oa,Glutarate + Inosine,236666666.66666666,75277265.2709081,4.0,1.0,0.3670956435400654,2.0,0.12380879471990708,1.0,2.0
107,Oa,Glycerol,38333333.333333336,18173240.400838446,4.0,3.0,0.0,1.0,0.0,3.0,3.0
108,Oa,Glycerol + Inosine,25000000.0,12116104.984688768,4.0,3.0,0.0551330202484293,2.0,0.014546766207092774,3.0,3.0
109,Oa,Glycerol + Isoleucine,106000000.0,40119820.53798347,4.0,4.0,0.0258146723068748,2.0,0.014397729533190861,4.0,4.0
110,Oa,Histidine,2233333333.3333335,557374799.0954262,2.0,2.0,0.1876262665138769,1.0,0.08765156883385021,2.0,2.0
111,Oa,Histidine + Mannose,376666666.6666667,66231915.770772226,3.0,1.0,0.3480140305239209,2.0,0.15020255220840845,3.0,3.0
112,Oa,Inosine,232000000.0,131605471.0108968,3.0,2.0,0.0551330202484293,1.0,0.014546766207092774,3.0,3.0
113,Oa,Isoleucine,153333333.33333334,125645002.55349062,3.0,3.0,0.0258146723068748,1.0,0.014397729533190861,2.0,2.0
114,Oa,Malate,1500000000.0,846167832.0522472,2.0,2.0,0.5270545370125138,1.0,0.2680599895731971,2.0,2.0
115,Oa,Malate + Citrate,236666666.66666666,80415587.21209879,4.0,2.0,0.664549546032458,2.0,0.31450976566656347,2.0,2.0
116,Oa,Malate + Isoleucine,1133333333.3333333,467618077.78000486,2.0,2.0,0.5528692093193887,2.0,0.28245771910638795,2.0,2.0
117,Oa,Mannitol,25333333.333333332,7447594.6900101025,3.0,2.0,0.1060378728341957,1.0,0.038952818903217605,3.0,3.0
118,Oa,Mannitol + Acetate,90000000.0,27568097.504180443,3.0,3.0,0.3333136491171522,2.0,0.13829081916875371,3.0,3.0
119,Oa,Mannitol + Myo-inositol,39333333.333333336,6153589.738247641,3.0,2.0,0.41097441003220997,2.0,0.1453015055563364,2.0,2.0
120,Oa,Mannose,236666666.66666666,82381227.63510305,2.0,2.0,0.160387764010044,1.0,0.06255098337455825,3.0,3.0
121,Oa,Myo-inositol,106666666.66666667,30110906.10836324,3.0,1.0,0.3049365371980143,1.0,0.10634868665311878,2.0,2.0
122,Oa,Myo-inositol + Glutamate,153333333.33333334,43204937.98938574,3.0,1.0,0.613915018122448,2.0,0.24445786865858293,3.0,3.0
124,Oa,Ribose,3760000000.0,864869932.4175861,2.0,1.0,0.1030320422900883,1.0,0.0472573243967983,2.0,2.0
125,Oa,Ribose + Glutarate,150000000.0,86486993.24175861,4.0,1.0,0.4149946655817244,2.0,0.1565193529096126,2.0,2.0
126,Oa,Xylose,52666666.666666664,15731073.284002801,2.0,2.0,0.2153841472585395,1.0,0.08399290262445712,2.0,2.0
127,Oa,Xylose + Histidine,866666666.6666666,462630161.8643846,2.0,1.0,0.4030104137724164,2.0,0.17164447145830733,2.0,2.0
