,Shannon index,Simpson index,Auxotroph index,Prototroph index,CS,CS class,N CS
A1,1.1465796137296032,0.3665200775868205,0.5196032120925839,0.23618327822390175,Acetate,Organic acid,1
A2,1.2299465609358775,0.3085106382978724,0.32269503546099293,0.3546099290780142,Acetate,Organic acid,1
A3,1.18770870377698,0.33307353479529056,0.44673539518900346,0.27491408934707906,Acetate,Organic acid,1
A4,0.25836528739060305,0.8914848367976,0.04087193460490463,0.9431984908824146,Glucose,Sugar,1
A5,0.26859427149536763,0.8838484872874833,0.04839334107626791,0.9388308168795974,Glucose,Sugar,1
A6,0.25672958140700763,0.8904924722399963,0.043408160734218035,0.9425772045144487,Glucose,Sugar,1
A7,1.1123512828687834,0.36440775993125785,0.46747967479674796,0.16056910569105692,Citrate,Organic acid,1
A8,1.1033479984216428,0.35864050041611856,0.44041450777202074,0.18134715025906736,Citrate,Organic acid,1
A9,1.0411702337473172,0.39674447492365816,0.5215827338129496,0.14028776978417265,Citrate,Organic acid,1
A10,0.7666534364984121,0.5020947251851131,0.5993340732519423,0.37735849056603776,Glutarate,Organic acid,1
A11,0.7637142612984756,0.48839860279630587,0.5367526464887431,0.4472938720739526,Glutarate,Organic acid,1
A12,0.8021942115734413,0.47677977676311273,0.517815312538528,0.45617063247441747,Glutarate,Organic acid,1
B1,0.22371301330174126,0.9141437505723443,0.016724405686297933,0.9556803249313105,Glycerol,Other,1
B2,0.11319179340085654,0.9621937945898056,0.006035913686434284,0.9808359740455711,Glycerol,Other,1
B3,0.18747572586867137,0.929624360897405,0.011244979919678716,0.963855421686747,Glycerol,Other,1
B4,0.8780787105153279,0.48963360119960114,0.26324237560192615,0.6420545746388443,Inosine,Other,1
B5,0.8876299056072772,0.4966482464608643,0.17713484389991882,0.6642556646246955,Inosine,Other,1
B6,0.9480514629333143,0.44997586579989546,0.24889212651004675,0.607053967097675,Inosine,Other,1
B7,0.7352373800294814,0.4935629254866474,0.47650562541363334,0.5162144275314361,Alanine,Amino acid,1
B8,0.7392011550099282,0.49291222172242943,0.47372316802368614,0.5181347150259067,Alanine,Amino acid,1
B9,0.7414226500192577,0.49291777780318,0.4681261186837395,0.5231997797053559,Alanine,Amino acid,1
