,Well,Plate,CFUs/mL,Species,Inoculated species,Medium,Initial OD,spent,Base carbon source,Short name,Background,Partner
0,B10,2,200000000.0,At,At+Ct,Ml_mannose,0.001,True,Mannose,Ml (Ct),Ml,Ct
1,C11,2,300000000.0,At,At+Oa,Ml_mannose,0.001,True,Mannose,Ml (Oa),Ml,Oa
2,D1,2,520000000.0,At,At,Ct_isoleucine,0.001,True,Isoleucine,Ct,Ct,No partner
3,D4,2,260000000.0,At,At+Ml,Ct_isoleucine,0.001,True,Isoleucine,Ct (Ml),Ct,Ml
4,D5,2,300000000.0,At,At+Oa,Ct_isoleucine,0.001,True,Isoleucine,Ct (Oa),Ct,Oa
5,D11,2,98000000.0,At,At+Ml,Oa_mannose,0.001,True,Mannose,Oa (Ml),Oa,Ml
6,E4,2,240000000.0,At,At+Ml,Ct_isoleucine,0.001,True,Isoleucine,Ct (Ml),Ct,Ml
7,E11,2,180000000.0,At,At+Ml,Oa_mannose,0.001,True,Mannose,Oa (Ml),Oa,Ml
8,F4,2,240000000.0,At,At+Ml,Ct_isoleucine,0.001,True,Isoleucine,Ct (Ml),Ct,Ml
9,F11,2,200000000.0,At,At+Ml,Oa_mannose,0.001,True,Mannose,Oa (Ml),Oa,Ml
10,G1,2,44000000.0,At,At,No CS,0.001,True,No CS,No CS,No CS,No partner
11,G2,2,52000000.0,At,At,No CS,0.001,True,No CS,No CS,No CS,No partner
12,G3,2,52000000.0,At,At,No CS,0.001,True,No CS,No CS,No CS,No partner
13,H3,2,82000000.0,At,At,At_mannose,0.001,True,Mannose,At,At,No partner
14,A1,2,11000000.0,Ct,Ct,At_mannose,0.001,True,Mannose,At,At,No partner
15,A4,2,10000000.0,Ct,Ct+Ml,At_mannose,0.001,True,Mannose,At (Ml),At,Ml
16,A5,2,9000000.0,Ct,Ct+Oa,At_mannose,0.001,True,Mannose,At (Oa),At,Oa
17,A8,2,700000000.0,Ct,Ct,Ml_mannose,0.001,True,Mannose,Ml,Ml,No partner
18,B1,2,11200000.0,Ct,Ct,At_mannose,0.001,True,Mannose,At,At,No partner
19,B4,2,11400000.0,Ct,Ct+Ml,At_mannose,0.001,True,Mannose,At (Ml),At,Ml
20,B5,2,10200000.0,Ct,Ct+Oa,At_mannose,0.001,True,Mannose,At (Oa),At,Oa
21,B8,2,580000000.0,Ct,Ct,Ml_mannose,0.001,True,Mannose,Ml,Ml,No partner
22,B10,2,320000000.0,Ct,At+Ct,Ml_mannose,0.001,True,Mannose,Ml (At),Ml,At
23,C1,2,11600000.0,Ct,Ct,At_mannose,0.001,True,Mannose,At,At,No partner
24,C4,2,11400000.0,Ct,Ct+Ml,At_mannose,0.001,True,Mannose,At (Ml),At,Ml
25,C5,2,11600000.0,Ct,Ct+Oa,At_mannose,0.001,True,Mannose,At (Oa),At,Oa
26,C8,2,400000000.0,Ct,Ct,Ml_mannose,0.001,True,Mannose,Ml,Ml,No partner
27,D8,2,42000000.0,Ct,Ct,Oa_mannose,0.001,True,Mannose,Oa,Oa,No partner
28,D12,2,18000000.0,Ct,Ct+Ml,Oa_mannose,0.001,True,Mannose,Oa (Ml),Oa,Ml
29,G4,2,7800000.0,Ct,Ct,No CS,0.001,True,No CS,No CS,No CS,No partner
30,G5,2,8000000.0,Ct,Ct,No CS,0.001,True,No CS,No CS,No CS,No partner
31,G6,2,11000000.0,Ct,Ct,No CS,0.001,True,No CS,No CS,No CS,No partner
32,H4,2,20000000.0,Ct,Ct,Ct_isoleucine,0.001,True,Isoleucine,Ct,Ct,No partner
33,H5,2,16000000.0,Ct,Ct,Ct_isoleucine,0.001,True,Isoleucine,Ct,Ct,No partner
34,H6,2,30000000.0,Ct,Ct,Ct_isoleucine,0.001,True,Isoleucine,Ct,Ct,No partner
35,A2,2,7400000.0,Ml,Ml,At_mannose,0.001,True,Mannose,At,At,No partner
36,A4,2,13400000.0,Ml,Ct+Ml,At_mannose,0.001,True,Mannose,At (Ct),At,Ct
37,A6,2,10600000.0,Ml,Ml+Oa,At_mannose,0.001,True,Mannose,At (Oa),At,Oa
38,B2,2,11400000.0,Ml,Ml,At_mannose,0.001,True,Mannose,At,At,No partner
39,B4,2,58000000.0,Ml,Ct+Ml,At_mannose,0.001,True,Mannose,At (Ct),At,Ct
40,B6,2,48000000.0,Ml,Ml+Oa,At_mannose,0.001,True,Mannose,At (Oa),At,Oa
41,C2,2,11800000.0,Ml,Ml,At_mannose,0.001,True,Mannose,At,At,No partner
42,C4,2,48000000.0,Ml,Ct+Ml,At_mannose,0.001,True,Mannose,At (Ct),At,Ct
43,C6,2,44000000.0,Ml,Ml+Oa,At_mannose,0.001,True,Mannose,At (Oa),At,Oa
44,D2,2,66000000.0,Ml,Ml,Ct_isoleucine,0.001,True,Isoleucine,Ct,Ct,No partner
45,D4,2,146000000.0,Ml,At+Ml,Ct_isoleucine,0.001,True,Isoleucine,Ct (At),Ct,At
46,D6,2,118000000.0,Ml,Ml+Oa,Ct_isoleucine,0.001,True,Isoleucine,Ct (Oa),Ct,Oa
47,D11,2,44000000.0,Ml,At+Ml,Oa_mannose,0.001,True,Mannose,Oa (At),Oa,At
48,D12,2,36000000.0,Ml,Ct+Ml,Oa_mannose,0.001,True,Mannose,Oa (Ct),Oa,Ct
49,E2,2,104000000.0,Ml,Ml,Ct_isoleucine,0.001,True,Isoleucine,Ct,Ct,No partner
50,E4,2,280000000.0,Ml,At+Ml,Ct_isoleucine,0.001,True,Isoleucine,Ct (At),Ct,At
51,E6,2,300000000.0,Ml,Ml+Oa,Ct_isoleucine,0.001,True,Isoleucine,Ct (Oa),Ct,Oa
52,E11,2,60000000.0,Ml,At+Ml,Oa_mannose,0.001,True,Mannose,Oa (At),Oa,At
53,F2,2,68000000.0,Ml,Ml,Ct_isoleucine,0.001,True,Isoleucine,Ct,Ct,No partner
54,F4,2,240000000.0,Ml,At+Ml,Ct_isoleucine,0.001,True,Isoleucine,Ct (At),Ct,At
55,F6,2,150000000.0,Ml,Ml+Oa,Ct_isoleucine,0.001,True,Isoleucine,Ct (Oa),Ct,Oa
56,F11,2,60000000.0,Ml,At+Ml,Oa_mannose,0.001,True,Mannose,Oa (At),Oa,At
57,G7,2,12000.0,Ml,Ml,No CS,0.001,True,No CS,No CS,No CS,No partner
58,G8,2,18000.0,Ml,Ml,No CS,0.001,True,No CS,No CS,No CS,No partner
59,G9,2,120000.0,Ml,Ml,No CS,0.001,True,No CS,No CS,No CS,No partner
60,H7,2,9200000.0,Ml,Ml,Ml_mannose,0.001,True,Mannose,Ml,Ml,No partner
61,H8,2,10600000.0,Ml,Ml,Ml_mannose,0.001,True,Mannose,Ml,Ml,No partner
62,H9,2,8400000.0,Ml,Ml,Ml_mannose,0.001,True,Mannose,Ml,Ml,No partner
63,A3,2,440000000.0,Oa,Oa,At_mannose,0.001,True,Mannose,At,At,No partner
64,A5,2,420000000.0,Oa,Ct+Oa,At_mannose,0.001,True,Mannose,At (Ct),At,Ct
65,A6,2,420000000.0,Oa,Ml+Oa,At_mannose,0.001,True,Mannose,At (Ml),At,Ml
