,Well,Plate,CFUs/mL,Species,Inoculated species,Medium
0,Inoculum,0,1853658.536585366,At,,
1,Inoculum,0,1609756.0975609757,At,,
2,Inoculum,0,1317073.1707317072,At,,
3,Inoculum,0,1658536.5853658537,At,,
4,A1,5,7600000000.0,At,At+Ct,M9_mannose
5,A2,5,5600000000.0,At,At+Ml,M9_mannose
6,A3,5,7000000000.0,At,At+Oa,M9_mannose
7,A4,5,,At,Ct+Ml,M9_mannose
8,A5,5,,At,Ct+Oa,M9_mannose
9,A6,5,,At,Ml+Oa,M9_mannose
10,A7,5,8400000000.0,At,At+Oa,M9_mannose+thiamine
11,A8,5,,At,Ct+Oa,M9_mannose+thiamine
12,A9,5,,At,Ml+Oa,M9_mannose+thiamine
13,A10,5,4000000000.0,At,At+Ml,M9_mannose+thiamine+biotin+cysteine+proline
14,A11,5,,At,Ct+Ml,M9_mannose+thiamine+biotin+cysteine+proline
15,A12,5,,At,Ml+Oa,M9_mannose+thiamine+biotin+cysteine+proline
16,B1,5,7600000000.0,At,At+Ct,M9_mannose
17,B2,5,5600000000.0,At,At+Ml,M9_mannose
18,B3,5,5600000000.0,At,At+Oa,M9_mannose
19,B4,5,,At,Ct+Ml,M9_mannose
20,B5,5,,At,Ct+Oa,M9_mannose
21,B6,5,,At,Ml+Oa,M9_mannose
22,B7,5,7800000000.0,At,At+Oa,M9_mannose+thiamine
23,B8,5,,At,Ct+Oa,M9_mannose+thiamine
24,B9,5,,At,Ml+Oa,M9_mannose+thiamine
25,B10,5,3800000000.0,At,At+Ml,M9_mannose+thiamine+biotin+cysteine+proline
26,B11,5,,At,Ct+Ml,M9_mannose+thiamine+biotin+cysteine+proline
27,B12,5,,At,Ml+Oa,M9_mannose+thiamine+biotin+cysteine+proline
28,C1,5,9800000000.0,At,At+Ct,M9_mannose
29,C2,5,6600000000.0,At,At+Ml,M9_mannose
30,C3,5,6000000000.0,At,At+Oa,M9_mannose
31,C4,5,,At,Ct+Ml,M9_mannose
32,C5,5,,At,Ct+Oa,M9_mannose
33,C6,5,,At,Ml+Oa,M9_mannose
34,C7,5,7400000000.0,At,At+Oa,M9_mannose+thiamine
35,C8,5,,At,Ct+Oa,M9_mannose+thiamine
36,C9,5,,At,Ml+Oa,M9_mannose+thiamine
37,C10,5,3200000000.0,At,At+Ml,M9_mannose+thiamine+biotin+cysteine+proline
38,C11,5,,At,Ct+Ml,M9_mannose+thiamine+biotin+cysteine+proline
39,C12,5,,At,Ml+Oa,M9_mannose+thiamine+biotin+cysteine+proline
40,D1,5,7400000000.0,At,At+Ct,M9_mannose
41,D2,5,5600000000.0,At,At+Ml,M9_mannose
42,D3,5,7000000000.0,At,At+Oa,M9_mannose
43,D4,5,,At,Ct+Ml,M9_mannose
44,D5,5,,At,Ct+Oa,M9_mannose
45,D6,5,,At,Ml+Oa,M9_mannose
46,D7,5,5600000000.0,At,At+Oa,M9_mannose+thiamine
47,D8,5,,At,Ct+Oa,M9_mannose+thiamine
48,D9,5,,At,Ml+Oa,M9_mannose+thiamine
49,D10,5,2400000000.0,At,At+Ml,M9_mannose+thiamine+biotin+cysteine+proline
50,D11,5,,At,Ct+Ml,M9_mannose+thiamine+biotin+cysteine+proline
51,D12,5,,At,Ml+Oa,M9_mannose+thiamine+biotin+cysteine+proline
52,E1,5,12000000000.0,At,At,M9_mannose
53,E2,5,,At,Ct,M9_mannose
54,E3,5,,At,Ml,M9_mannose
55,E4,5,,At,Oa,M9_mannose
56,E5,5,6200000000.0,At,At,M9_mannose+thiamine
57,E6,5,,At,Ct,M9_mannose+thiamine
58,E7,5,,At,Ml,M9_mannose+thiamine
59,E8,5,,At,Oa,M9_mannose+thiamine
60,E9,5,4400000000.0,At,At,M9_mannose+thiamine+biotin+cysteine+proline
61,E10,5,,At,Ct,M9_mannose+thiamine+biotin+cysteine+proline
62,E11,5,,At,Ml,M9_mannose+thiamine+biotin+cysteine+proline
63,E12,5,,At,Oa,M9_mannose+thiamine+biotin+cysteine+proline
64,F1,5,18000000000.0,At,At,M9_mannose
65,F2,5,,At,Ct,M9_mannose
66,F3,5,,At,Ml,M9_mannose
67,F4,5,,At,Oa,M9_mannose
68,F5,5,4200000000.0,At,At,M9_mannose+thiamine
69,F6,5,,At,Ct,M9_mannose+thiamine
70,F7,5,,At,Ml,M9_mannose+thiamine
71,F8,5,,At,Oa,M9_mannose+thiamine
72,F9,5,4200000000.0,At,At,M9_mannose+thiamine+biotin+cysteine+proline
73,F10,5,,At,Ct,M9_mannose+thiamine+biotin+cysteine+proline
