,Well,Plate,CFUs/mL,Species,Inoculated species,Medium
0,Inoculum,0,864197.5308641975,At,,
1,Inoculum,0,666666.6666666666,At,,
2,Inoculum,0,641975.3086419753,At,,
3,Inoculum,0,617283.9506172839,At,,
4,Inoculum,0,,At,,
5,Inoculum,0,,At,,
6,Inoculum,0,,At,,
7,Inoculum,0,,At,,
8,Inoculum,0,,At,,
9,Inoculum,0,,At,,
10,Inoculum,0,,At,,
11,Inoculum,0,,At,,
12,Inoculum,0,,At,,
13,Inoculum,0,,At,,
14,Inoculum,0,,At,,
15,Inoculum,0,,At,,
16,A1,2,,At,Ct,At_mannose
17,A2,2,,At,Ml,At_mannose
18,A3,2,,At,Oa,At_mannose
19,A4,2,,At,Ct+Ml,At_mannose
20,A5,2,,At,Ct+Oa,At_mannose
21,A6,2,,At,Ml+Oa,At_mannose
22,A8,2,,At,Ct,Ml_mannose
23,A9,2,,At,Oa,Ml_mannose
24,B1,2,,At,Ct,At_mannose
25,B2,2,,At,Ml,At_mannose
26,B3,2,,At,Oa,At_mannose
27,B4,2,,At,Ct+Ml,At_mannose
28,B5,2,,At,Ct+Oa,At_mannose
29,B6,2,,At,Ml+Oa,At_mannose
30,B8,2,,At,Ct,Ml_mannose
31,B10,2,200000000.0,At,At+Ct,Ml_mannose
32,C1,2,,At,Ct,At_mannose
33,C2,2,,At,Ml,At_mannose
34,C3,2,,At,Oa,At_mannose
35,C4,2,,At,Ct+Ml,At_mannose
36,C5,2,,At,Ct+Oa,At_mannose
37,C6,2,,At,Ml+Oa,At_mannose
38,C8,2,,At,Ct,Ml_mannose
39,C9,2,,At,Oa,Ml_mannose
40,C11,2,300000000.0,At,At+Oa,Ml_mannose
41,D1,2,520000000.0,At,At,Ct_isoleucine
42,D2,2,,At,Ml,Ct_isoleucine
43,D3,2,,At,Oa,Ct_isoleucine
44,D4,2,260000000.0,At,At+Ml,Ct_isoleucine
45,D5,2,300000000.0,At,At+Oa,Ct_isoleucine
46,D6,2,,At,Ml+Oa,Ct_isoleucine
47,D8,2,,At,Ct,Oa_mannose
48,D11,2,98000000.0,At,At+Ml,Oa_mannose
49,D12,2,,At,Ct+Ml,Oa_mannose
50,E2,2,,At,Ml,Ct_isoleucine
51,E3,2,,At,Oa,Ct_isoleucine
52,E4,2,240000000.0,At,At+Ml,Ct_isoleucine
53,E6,2,,At,Ml+Oa,Ct_isoleucine
54,E11,2,180000000.0,At,At+Ml,Oa_mannose
55,F2,2,,At,Ml,Ct_isoleucine
56,F3,2,,At,Oa,Ct_isoleucine
57,F4,2,240000000.0,At,At+Ml,Ct_isoleucine
58,F6,2,,At,Ml+Oa,Ct_isoleucine
59,F11,2,200000000.0,At,At+Ml,Oa_mannose
60,G1,2,44000000.0,At,At,No_CS
61,G2,2,52000000.0,At,At,No_CS
62,G3,2,52000000.0,At,At,No_CS
63,G4,2,,At,Ct,No_CS
64,G5,2,,At,Ct,No_CS
65,G6,2,,At,Ct,No_CS
66,G7,2,,At,Ml,No_CS
67,G8,2,,At,Ml,No_CS
68,G9,2,,At,Ml,No_CS
69,G10,2,,At,Oa,No_CS
70,G11,2,,At,Oa,No_CS
71,G12,2,,At,Oa,No_CS
72,H3,2,82000000.0,At,At,At_mannose
73,H4,2,,At,Ct,Ct_isoleucine
74,H5,2,,At,Ct,Ct_isoleucine
75,H6,2,,At,Ct,Ct_isoleucine
76,H7,2,,At,Ml,Ml_mannose
77,H8,2,,At,Ml,Ml_mannose
78,H9,2,,At,Ml,Ml_mannose
79,H11,2,,At,Oa,Oa_mannose
80,H12,2,,At,Oa,Oa_mannose
81,Inoculum,0,,Ct,,
82,Inoculum,0,,Ct,,
83,Inoculum,0,,Ct,,
84,Inoculum,0,,Ct,,
85,Inoculum,0,459472.8990551965,Ct,,
86,Inoculum,0,503232.222774739,Ct,,
87,Inoculum,0,492292.3918448534,Ct,,
88,Inoculum,0,295375.43510691205,Ct,,
89,Inoculum,0,,Ct,,
90,Inoculum,0,,Ct,,
91,Inoculum,0,,Ct,,
92,Inoculum,0,,Ct,,
93,Inoculum,0,,Ct,,
94,Inoculum,0,,Ct,,
95,Inoculum,0,,Ct,,
96,Inoculum,0,,Ct,,
97,A1,2,11000000.0,Ct,Ct,At_mannose
98,A2,2,,Ct,Ml,At_mannose
99,A3,2,,Ct,Oa,At_mannose
100,A4,2,10000000.0,Ct,Ct+Ml,At_mannose
101,A5,2,9000000.0,Ct,Ct+Oa,At_mannose
102,A6,2,,Ct,Ml+Oa,At_mannose
103,A8,2,700000000.0,Ct,Ct,Ml_mannose
104,A9,2,,Ct,Oa,Ml_mannose
105,B1,2,11200000.0,Ct,Ct,At_mannose
106,B2,2,,Ct,Ml,At_mannose
107,B3,2,,Ct,Oa,At_mannose
108,B4,2,11400000.0,Ct,Ct+Ml,At_mannose
109,B5,2,10200000.0,Ct,Ct+Oa,At_mannose
110,B6,2,,Ct,Ml+Oa,At_mannose
111,B8,2,580000000.0,Ct,Ct,Ml_mannose
112,B10,2,320000000.0,Ct,At+Ct,Ml_mannose
113,C1,2,11600000.0,Ct,Ct,At_mannose
114,C2,2,,Ct,Ml,At_mannose
115,C3,2,,Ct,Oa,At_mannose
116,C4,2,11400000.0,Ct,Ct+Ml,At_mannose
117,C5,2,11600000.0,Ct,Ct+Oa,At_mannose
118,C6,2,,Ct,Ml+Oa,At_mannose
119,C8,2,400000000.0,Ct,Ct,Ml_mannose
120,C9,2,,Ct,Oa,Ml_mannose
121,C11,2,,Ct,At+Oa,Ml_mannose
122,D1,2,,Ct,At,Ct_isoleucine
123,D2,2,,Ct,Ml,Ct_isoleucine
124,D3,2,,Ct,Oa,Ct_isoleucine
125,D4,2,,Ct,At+Ml,Ct_isoleucine
126,D5,2,,Ct,At+Oa,Ct_isoleucine
127,D6,2,,Ct,Ml+Oa,Ct_isoleucine
128,D8,2,42000000.0,Ct,Ct,Oa_mannose
129,D11,2,,Ct,At+Ml,Oa_mannose
130,D12,2,18000000.0,Ct,Ct+Ml,Oa_mannose
131,E2,2,,Ct,Ml,Ct_isoleucine
132,E3,2,,Ct,Oa,Ct_isoleucine
133,E4,2,,Ct,At+Ml,Ct_isoleucine
134,E6,2,,Ct,Ml+Oa,Ct_isoleucine
135,E11,2,,Ct,At+Ml,Oa_mannose
136,F2,2,,Ct,Ml,Ct_isoleucine
137,F3,2,,Ct,Oa,Ct_isoleucine
138,F4,2,,Ct,At+Ml,Ct_isoleucine
139,F6,2,,Ct,Ml+Oa,Ct_isoleucine
140,F11,2,,Ct,At+Ml,Oa_mannose
141,G1,2,,Ct,At,No_CS
142,G2,2,,Ct,At,No_CS
143,G3,2,,Ct,At,No_CS
144,G4,2,7800000.0,Ct,Ct,No_CS
145,G5,2,8000000.0,Ct,Ct,No_CS
146,G6,2,11000000.0,Ct,Ct,No_CS
147,G7,2,,Ct,Ml,No_CS
148,G8,2,,Ct,Ml,No_CS
149,G9,2,,Ct,Ml,No_CS
150,G10,2,,Ct,Oa,No_CS
151,G11,2,,Ct,Oa,No_CS
152,G12,2,,Ct,Oa,No_CS
153,H3,2,,Ct,At,At_mannose
154,H4,2,20000000.0,Ct,Ct,Ct_isoleucine
155,H5,2,16000000.0,Ct,Ct,Ct_isoleucine
156,H6,2,30000000.0,Ct,Ct,Ct_isoleucine
157,H7,2,,Ct,Ml,Ml_mannose
158,H8,2,,Ct,Ml,Ml_mannose
159,H9,2,,Ct,Ml,Ml_mannose
160,H11,2,,Ct,Oa,Oa_mannose
161,H12,2,,Ct,Oa,Oa_mannose
162,Inoculum,0,,Ml,,
163,Inoculum,0,,Ml,,
164,Inoculum,0,,Ml,,
165,Inoculum,0,,Ml,,
166,Inoculum,0,,Ml,,
167,Inoculum,0,,Ml,,
168,Inoculum,0,,Ml,,
169,Inoculum,0,,Ml,,
170,Inoculum,0,1686545.0961064564,Ml,,
171,Inoculum,0,1486446.5253819616,Ml,,
172,Inoculum,0,1457861.0152784623,Ml,,
173,Inoculum,0,1600788.5657959585,Ml,,
174,Inoculum,0,,Ml,,
175,Inoculum,0,,Ml,,
176,Inoculum,0,,Ml,,
177,Inoculum,0,,Ml,,
