,Carbon source,Class
0,Acetate,Organic acid
1,Adenosine,Other
2,Cysteine,Amino acid
3,D-Arabinose,Sugar
4,D-Glucose,Sugar
5,D-Xylose,Sugar
6,Formate,Organic acid
7,Fumarate,Organic acid
8,Glutarate,Organic acid
9,Glycerol,Other
10,Glycine,Amino acid
11,Inosine,Other
12,L-alanine,Amino acid
13,L-arginine,Amino acid
14,L-aspartate,Amino acid
15,L-glutamate,Amino acid
16,L-glutamine,Amino acid
17,L-histidine,Amino acid
18,L-isoleucine,Amino acid
19,L-Lactate,Organic acid
20,L-leucine,Amino acid
21,Malate,Organic acid
22,Mannitol,Other
23,Mannose,Sugar
24,myo-inositol,Other
25,Orotate,Other
26,Phenylalanine,Amino acid
27,Proline,Amino acid
28,Ribose,Sugar
29,Sucrose,Sugar
30,Uridine,Other
31,No CS,
32,Citrate,Organic acid
33,Pyruvate,Organic acid
