,Hours,Well,OD600,Carbon source,Supplement,Concentration [mM],Species,Replicate,Experiment
0,0.2763888888888889,A1,0.1009,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
1,0.6097222222222222,A1,0.0997,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
2,0.9430555555555555,A1,0.0994,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
3,1.2763888888888888,A1,0.1013,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
4,1.6097222222222223,A1,0.1011,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
5,1.9430555555555555,A1,0.1006,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
6,2.276388888888889,A1,0.1005,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
7,2.6097222222222225,A1,0.1004,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
8,2.943055555555556,A1,0.1008,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
9,3.276388888888889,A1,0.101,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
10,3.6097222222222225,A1,0.1009,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
11,3.943055555555556,A1,0.1016,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
12,4.276388888888889,A1,0.1009,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
13,4.609722222222222,A1,0.1008,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
14,4.9430555555555555,A1,0.1012,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
15,5.276388888888889,A1,0.1013,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
16,5.609722222222222,A1,0.1016,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
17,5.9430555555555555,A1,0.1019,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
18,6.276388888888889,A1,0.102,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
19,6.609722222222222,A1,0.1025,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
20,6.9430555555555555,A1,0.1033,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
21,7.276388888888889,A1,0.1038,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
22,7.609722222222222,A1,0.1043,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
23,7.9430555555555555,A1,0.1047,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
24,8.27638888888889,A1,0.1052,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
25,8.609722222222222,A1,0.1054,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
26,8.943055555555556,A1,0.1057,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
27,9.27638888888889,A1,0.1063,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
28,9.609722222222222,A1,0.1062,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
29,9.943055555555556,A1,0.1074,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
30,10.27638888888889,A1,0.1096,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
31,10.609722222222222,A1,0.1108,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
32,10.943055555555556,A1,0.1144,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
33,11.27638888888889,A1,0.1123,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
34,11.609722222222222,A1,0.113,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
35,11.943055555555556,A1,0.1139,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
36,12.27638888888889,A1,0.1141,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
37,12.609722222222222,A1,0.1114,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
38,12.943055555555556,A1,0.1127,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
39,13.27638888888889,A1,0.1136,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
40,13.609722222222222,A1,0.1125,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
41,13.943055555555556,A1,0.114,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
42,14.27638888888889,A1,0.1138,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
43,14.609722222222222,A1,0.1137,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
44,14.943055555555556,A1,0.1141,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
45,15.27638888888889,A1,0.1144,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
46,15.609722222222222,A1,0.1138,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
47,15.943055555555556,A1,0.1149,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
48,16.27638888888889,A1,0.1149,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
49,16.609722222222224,A1,0.115,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
50,16.943055555555556,A1,0.115,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
51,17.27638888888889,A1,0.1155,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
52,17.609722222222224,A1,0.1148,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
53,17.943055555555556,A1,0.1156,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
54,18.27638888888889,A1,0.1152,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
55,18.609722222222224,A1,0.115,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
56,18.943055555555556,A1,0.1152,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
57,19.27638888888889,A1,0.1156,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
58,19.609722222222224,A1,0.1153,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
59,19.943055555555556,A1,0.1152,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
60,20.27638888888889,A1,0.1159,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
61,20.609722222222224,A1,0.1156,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
62,20.943055555555556,A1,0.1158,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
63,21.27638888888889,A1,0.1154,Citrate,,15.0,At,1.0,070524_growth_phenotyping_4species
