,Hours,Well,OD600,Sample ID,Medium no. ,Replicate,Medium,Species,Blank
0,0.4861111111111111,B2,0.083,12A,6,A,MM-,Oa from 6ABC,B11
1,0.9861111111111109,B2,0.084,12A,6,A,MM-,Oa from 6ABC,B11
2,1.4861111111111112,B2,0.084,12A,6,A,MM-,Oa from 6ABC,B11
3,1.9861111111111112,B2,0.085,12A,6,A,MM-,Oa from 6ABC,B11
4,2.486111111111111,B2,0.085,12A,6,A,MM-,Oa from 6ABC,B11
5,2.986111111111111,B2,0.086,12A,6,A,MM-,Oa from 6ABC,B11
6,3.4861111111111107,B2,0.087,12A,6,A,MM-,Oa from 6ABC,B11
7,3.986111111111111,B2,0.087,12A,6,A,MM-,Oa from 6ABC,B11
8,4.486111111111111,B2,0.087,12A,6,A,MM-,Oa from 6ABC,B11
9,4.986111111111111,B2,0.086,12A,6,A,MM-,Oa from 6ABC,B11
10,5.486111111111111,B2,0.086,12A,6,A,MM-,Oa from 6ABC,B11
11,5.986111111111111,B2,0.086,12A,6,A,MM-,Oa from 6ABC,B11
12,6.486111111111111,B2,0.086,12A,6,A,MM-,Oa from 6ABC,B11
13,6.986111111111111,B2,0.086,12A,6,A,MM-,Oa from 6ABC,B11
14,7.486111111111111,B2,0.086,12A,6,A,MM-,Oa from 6ABC,B11
15,7.986111111111111,B2,0.088,12A,6,A,MM-,Oa from 6ABC,B11
16,8.48611111111111,B2,0.089,12A,6,A,MM-,Oa from 6ABC,B11
17,8.98611111111111,B2,0.091,12A,6,A,MM-,Oa from 6ABC,B11
18,9.48611111111111,B2,0.087,12A,6,A,MM-,Oa from 6ABC,B11
19,9.98611111111111,B2,0.091,12A,6,A,MM-,Oa from 6ABC,B11
20,10.48611111111111,B2,0.093,12A,6,A,MM-,Oa from 6ABC,B11
21,10.98611111111111,B2,0.093,12A,6,A,MM-,Oa from 6ABC,B11
22,11.48611111111111,B2,0.095,12A,6,A,MM-,Oa from 6ABC,B11
23,11.98611111111111,B2,0.096,12A,6,A,MM-,Oa from 6ABC,B11
24,12.48611111111111,B2,0.096,12A,6,A,MM-,Oa from 6ABC,B11
25,12.98611111111111,B2,0.1,12A,6,A,MM-,Oa from 6ABC,B11
26,13.48611111111111,B2,0.099,12A,6,A,MM-,Oa from 6ABC,B11
27,13.98611111111111,B2,0.101,12A,6,A,MM-,Oa from 6ABC,B11
28,14.48611111111111,B2,0.1,12A,6,A,MM-,Oa from 6ABC,B11
29,14.98611111111111,B2,0.1,12A,6,A,MM-,Oa from 6ABC,B11
