,At,Ct,Ml,Oa
Acetate,3.925609676457434e-07,7.695860200693023e-08,3.823464730086626e-05,9.998691135138456e-07
Adenosine,0.00016302652299049012,0.2414319377208372,2.1429245170324178e-05,1.5226655742626641e-05
Citrate,0.002729266681160938,3.31995357728067e-06,8.031554610230193e-06,6.829595491322064e-08
Cysteine,0.00018226288050362174,0.0006006393342521195,2.902834726859664e-05,2.773041143064231e-05
D-arabinose,3.2951474615557194e-06,0.2843850524937031,5.903443646611274e-06,2.4533620320668093e-06
D-glucose,4.1461443107779505e-08,0.062314354539280324,1.4573294844804121e-06,8.209818007447663e-13
D-xylose,5.798068390500714e-10,0.08591538083679878,1.0024638081648301e-08,9.233198238499792e-10
Formate,3.1936237725103344e-06,0.2277887818391467,3.464214103829889e-05,0.0015847449593809975
Fumarate,4.681480832162737e-09,3.127254496027845e-06,5.183105852500147e-06,2.983203689745527e-08
Glutarate,1.8308151456400876e-08,8.437832979700309e-10,2.0520013365100707e-06,8.196686544443845e-09
Glycerol,9.677755449808444e-08,0.09400890400074832,3.7664107386113315e-08,0.0003684875095422798
Glycine,0.4558901992175303,2.328701045673166e-07,0.006568412768125764,2.0485299798046503e-05
Inosine,0.0006364651136714718,0.45440344382459363,9.286684024911658e-05,1.0251255201724105e-07
L-alanine,1.7256022147457235e-10,2.9388826293594765e-05,1.6484822220015038e-06,5.945832608394629e-09
L-arginine,2.897829210038934e-09,0.2088270698846475,6.380274841182361e-07,8.096175492870963e-06
L-aspartate,9.53614104817277e-08,1.4353049233553241e-09,3.6721305247241926e-07,2.1167055452846832e-05
L-glutamate,5.75539029033486e-07,9.893271850470284e-10,8.061124371495283e-06,4.747675299597855e-09
L-glutamine,8.207853463967193e-10,1.7271471816912558e-09,9.824995719203823e-07,8.823871252918195e-09
L-histidine,2.3487744587033546e-10,2.17484599478307e-09,3.5037134858050575e-06,8.307852827995607e-09
L-isoleucine,0.09390653978881638,3.5431385655354833e-06,0.0008190340147361859,0.0004922535135391435
L-lactate,1.5965005005932973e-07,6.380276170999973e-08,1.7563150229203695e-05,4.6791372487810224e-07
L-leucine,0.0009692131002145148,1.5672869500285265e-09,0.00045493497024210605,0.004962826172174373
Malate,1.9359136147398197e-09,4.868036394504566e-09,2.1884131257473716e-06,4.4814244978062925e-07
Mannitol,2.0636319219992757e-10,0.29649551839864036,4.522169971235598e-09,3.768130587664157e-11
Mannose,5.40216656560881e-06,0.17939496726624043,2.30152380820554e-05,3.2725952125140144e-11
Myo-inositol,2.8815283613840043e-08,0.039687788668334174,4.9252338064772284e-05,1.916768568967805e-09
Orotate,0.00017828562405284432,0.00014745277310648655,0.14281426115376325,0.003834010629109829
Phenylalanine,0.00021807177427229685,1.1025850145304261e-08,4.2810063997835624e-06,2.9259242977476866e-05
Proline,8.613424617045925e-06,3.520179744372177e-09,0.000223283434892163,3.878000393948737e-07
Pyruvate,1.4211895607813975e-07,1.6400343325345319e-09,7.443662575019372e-05,1.2509881784738264e-08
Ribose,1.2238084078253463e-06,0.4031306218667022,2.3024092744537824e-06,2.810707294812717e-08
Sucrose,8.952830904343153e-09,0.24638731382716464,1.0681882495959751e-07,1.9778526474508573e-10
Uridine,1.054466983543336e-06,0.002428622737073995,7.65248377260041e-06,0.09371825468844847
No CS,0.5,0.5,0.5,0.5
