,Well,Plate,CFUs/mL,Species,Inoculated species,Medium,Initial OD,spent,fn,Base carbon source,Short name,Background,Partner,log2 fold change,log10 fold change
0,B10,2,200000000.0,At,At+Ct,Ml_mannose,0.001,True,cfus_spent_mannose,Mannose,Ml (Ct),Ml,Ct,7.91990275069128,2.3841282906997487
1,C11,2,300000000.0,At,At+Oa,Ml_mannose,0.001,True,cfus_spent_mannose,Mannose,Ml (Oa),Ml,Oa,8.504865251412436,2.56021954975543
2,D1,2,520000000.0,At,At,Ct_isoleucine,0.001,True,cfus_spent_mannose,Isoleucine,Ct,Ct,No partner,9.29841437394501,2.7991016386705665
3,D4,2,260000000.0,At,At+Ml,Ct_isoleucine,0.001,True,cfus_spent_mannose,Isoleucine,Ct (Ml),Ct,Ml,8.29841437394501,2.4980716430065857
4,D5,2,300000000.0,At,At+Oa,Ct_isoleucine,0.001,True,cfus_spent_mannose,Isoleucine,Ct (Oa),Ct,Oa,8.504865251412436,2.56021954975543
5,D11,2,98000000.0,At,At+Ml,Oa_mannose,0.001,True,cfus_spent_mannose,Mannose,Oa (Ml),Oa,Ml,6.890756405031763,2.0743243707282626
6,E4,2,240000000.0,At,At+Ml,Ct_isoleucine,0.001,True,cfus_spent_mannose,Isoleucine,Ct (Ml),Ct,Ml,8.182937156525073,2.4633095367473734
7,E11,2,180000000.0,At,At+Ml,Oa_mannose,0.001,True,cfus_spent_mannose,Mannose,Oa (Ml),Oa,Ml,7.76789965724623,2.3383708001390735
8,F4,2,240000000.0,At,At+Ml,Ct_isoleucine,0.001,True,cfus_spent_mannose,Isoleucine,Ct (Ml),Ct,Ml,8.182937156525073,2.4633095367473734
9,F11,2,200000000.0,At,At+Ml,Oa_mannose,0.001,True,cfus_spent_mannose,Mannose,Oa (Ml),Oa,Ml,7.91990275069128,2.3841282906997487
10,G1,2,44000000.0,At,At,No CS,0.001,True,cfus_spent_mannose,No CS,No CS,No CS,No partner,5.735478179553852,1.726550971521955
11,G2,2,52000000.0,At,At,No CS,0.001,True,cfus_spent_mannose,No CS,No CS,No CS,No partner,5.976486279057648,1.7991016386705667
12,G3,2,52000000.0,At,At,No CS,0.001,True,cfus_spent_mannose,No CS,No CS,No CS,No partner,5.976486279057648,1.7991016386705667
13,H3,2,82000000.0,At,At,At_mannose,0.001,True,cfus_spent_mannose,Mannose,At,At,No partner,6.633598565534639,1.9969121474194842
14,A1,2,11000000.0,Ct,Ct,At_mannose,0.001,True,cfus_spent_mannose,Mannose,At,At,No partner,4.886234525055013,1.4709031578905056
15,A4,2,10000000.0,Ct,Ct+Ml,At_mannose,0.001,True,cfus_spent_mannose,Mannose,At (Ml),At,Ml,4.748731001305078,1.4295104727322807
16,A5,2,9000000.0,Ct,Ct+Oa,At_mannose,0.001,True,cfus_spent_mannose,Mannose,At (Oa),At,Oa,4.596727907860028,1.3837529821716055
17,A8,2,700000000.0,Ct,Ct,Ml_mannose,0.001,True,cfus_spent_mannose,Mannose,Ml,Ml,No partner,10.878014018250044,3.2746085127465374
18,B1,2,11200000.0,Ct,Ct,At_mannose,0.001,True,cfus_spent_mannose,Mannose,At,At,No partner,4.9122297335879574,1.4787284954024622
19,B4,2,11400000.0,Ct,Ct+Ml,At_mannose,0.001,True,cfus_spent_mannose,Mannose,At (Ml),At,Ml,4.937764825695094,1.4864153240687532
20,B5,2,10200000.0,Ct,Ct+Oa,At_mannose,0.001,True,cfus_spent_mannose,Mannose,At (Oa),At,Oa,4.777300153501848,1.4381106444941982
21,B8,2,580000000.0,Ct,Ct,Ml_mannose,0.001,True,cfus_spent_mannose,Mannose,Ml,Ml,No partner,10.606711996432649,3.192938466295218
22,B10,2,320000000.0,Ct,At+Ct,Ml_mannose,0.001,True,cfus_spent_mannose,Mannose,Ml (At),Ml,At,9.748731001305078,2.9346604510521868
23,C1,2,11600000.0,Ct,Ct,At_mannose,0.001,True,cfus_spent_mannose,Mannose,At,At,No partner,4.962855806657925,1.493968461959199
24,C4,2,11400000.0,Ct,Ct+Ml,At_mannose,0.001,True,cfus_spent_mannose,Mannose,At (Ml),At,Ml,4.937764825695094,1.4864153240687532
25,C5,2,11600000.0,Ct,Ct+Oa,At_mannose,0.001,True,cfus_spent_mannose,Mannose,At (Oa),At,Oa,4.962855806657925,1.493968461959199
26,C8,2,400000000.0,Ct,Ct,Ml_mannose,0.001,True,cfus_spent_mannose,Mannose,Ml,Ml,No partner,10.07065909619244,3.031570464060243
27,D8,2,42000000.0,Ct,Ct,Oa_mannose,0.001,True,cfus_spent_mannose,Mannose,Oa,Oa,No partner,6.819120329196475,2.0527597631301813
28,D12,2,18000000.0,Ct,Ct+Ml,Oa_mannose,0.001,True,cfus_spent_mannose,Mannose,Oa (Ml),Oa,Ml,5.596727907860028,1.6847829778355867
29,G4,2,7800000.0,Ct,Ct,No CS,0.001,True,cfus_spent_mannose,No CS,No CS,No CS,No partner,4.3902770303926015,1.321605075422761
30,G5,2,8000000.0,Ct,Ct,No CS,0.001,True,cfus_spent_mannose,No CS,No CS,No CS,No partner,4.4268029064177155,1.3326004597242243
31,G6,2,11000000.0,Ct,Ct,No CS,0.001,True,cfus_spent_mannose,No CS,No CS,No CS,No partner,4.886234525055013,1.4709031578905056
32,H4,2,20000000.0,Ct,Ct,Ct_isoleucine,0.001,True,cfus_spent_mannose,Isoleucine,Ct,Ct,No partner,5.748731001305078,1.7305404683962617
33,H5,2,16000000.0,Ct,Ct,Ct_isoleucine,0.001,True,cfus_spent_mannose,Isoleucine,Ct,Ct,No partner,5.4268029064177155,1.6336304553882053
34,H6,2,30000000.0,Ct,Ct,Ct_isoleucine,0.001,True,cfus_spent_mannose,Isoleucine,Ct,Ct,No partner,6.333693502026234,1.906631727451943
35,A2,2,7400000.0,Ml,Ml,At_mannose,0.001,True,cfus_spent_mannose,Mannose,At,At,No partner,2.2087425033130703,0.6648977461951845
36,A4,2,13400000.0,Ml,Ct+Ml,At_mannose,0.001,True,cfus_spent_mannose,Mannose,At (Ct),At,Ct,3.0653783281418927,0.922770824829016
37,A6,2,10600000.0,Ml,Ml+Oa,At_mannose,0.001,True,cfus_spent_mannose,Mannose,At (Oa),At,Oa,2.7272095922473194,0.8209718917289786
38,B2,2,11400000.0,Ml,Ml,At_mannose,0.001,True,cfus_spent_mannose,Mannose,At,At,No partner,2.8321791518488624,0.852570877800681
39,B4,2,58000000.0,Ml,Ct+Ml,At_mannose,0.001,True,cfus_spent_mannose,Mannose,At (Ct),At,Ct,5.179198227699055,1.5590940200271457
40,B6,2,48000000.0,Ml,Ml+Oa,At_mannose,0.001,True,cfus_spent_mannose,Mannose,At (Oa),At,Oa,4.906179733292639,1.4769072638397955
41,C2,2,11800000.0,Ml,Ml,At_mannose,0.001,True,cfus_spent_mannose,Mannose,At,At,No partner,2.8819321870459618,0.8675480337703337
42,C4,2,48000000.0,Ml,Ct+Ml,At_mannose,0.001,True,cfus_spent_mannose,Mannose,At (Ct),At,Ct,4.906179733292639,1.4769072638397955
43,C6,2,44000000.0,Ml,Ml+Oa,At_mannose,0.001,True,cfus_spent_mannose,Mannose,At (Oa),At,Oa,4.78064885120878,1.4391187029503958
44,D2,2,66000000.0,Ml,Ml,Ct_isoleucine,0.001,True,cfus_spent_mannose,Isoleucine,Ct,Ct,No partner,5.365611351929936,1.615209962006077
45,D4,2,146000000.0,Ml,At+Ml,Ct_isoleucine,0.001,True,cfus_spent_mannose,Isoleucine,Ct (At),Ct,At,6.5110417914514995,1.9600188822486453
46,D6,2,118000000.0,Ml,Ml+Oa,Ct_isoleucine,0.001,True,cfus_spent_mannose,Isoleucine,Ct (Oa),Ct,Oa,6.203860281933324,1.8675480337703336
47,D11,2,44000000.0,Ml,At+Ml,Oa_mannose,0.001,True,cfus_spent_mannose,Mannose,Oa (At),Oa,At,4.78064885120878,1.4391187029503958
48,D12,2,36000000.0,Ml,Ct+Ml,Oa_mannose,0.001,True,cfus_spent_mannose,Mannose,Oa (Ct),Oa,Ct,4.491142234013795,1.3519685272314956
49,E2,2,104000000.0,Ml,Ml,Ct_isoleucine,0.001,True,cfus_spent_mannose,Isoleucine,Ct,Ct,No partner,6.021656950712575,1.8126993657629886
50,E4,2,280000000.0,Ml,At+Ml,Ct_isoleucine,0.001,True,cfus_spent_mannose,Isoleucine,Ct (At),Ct,At,7.450500249516449,2.2428240578064274
51,E6,2,300000000.0,Ml,Ml+Oa,Ct_isoleucine,0.001,True,cfus_spent_mannose,Isoleucine,Ct (Oa),Ct,Oa,7.550035923067363,2.2727872811838705
52,E11,2,60000000.0,Ml,At+Ml,Oa_mannose,0.001,True,cfus_spent_mannose,Mannose,Oa (At),Oa,At,5.2281078281800015,1.573817276847852
53,F2,2,68000000.0,Ml,Ml,Ct_isoleucine,0.001,True,cfus_spent_mannose,Isoleucine,Ct,Ct,No partner,5.408680073821822,1.6281749391704445
54,F4,2,240000000.0,Ml,At+Ml,Ct_isoleucine,0.001,True,cfus_spent_mannose,Isoleucine,Ct (At),Ct,At,7.2281078281800015,2.1758772681758143
55,F6,2,150000000.0,Ml,Ml+Oa,Ct_isoleucine,0.001,True,cfus_spent_mannose,Isoleucine,Ct (Oa),Ct,Oa,6.550035923067363,1.9717572855198895
56,F11,2,60000000.0,Ml,At+Ml,Oa_mannose,0.001,True,cfus_spent_mannose,Mannose,Oa (At),Oa,At,5.2281078281800015,1.573817276847852
57,G7,2,12000.0,Ml,Ml,No CS,0.001,True,cfus_spent_mannose,No CS,No CS,No CS,No partner,-7.059604551369448,-2.125152727488167
58,G8,2,18000.0,Ml,Ml,No CS,0.001,True,cfus_spent_mannose,No CS,No CS,No CS,No partner,-6.474642050648292,-1.9490614684324856
59,G9,2,120000.0,Ml,Ml,No CS,0.001,True,cfus_spent_mannose,No CS,No CS,No CS,No partner,-3.7376764564820855,-1.1251527274881667
60,H7,2,9200000.0,Ml,Ml,Ml_mannose,0.001,True,cfus_spent_mannose,Mannose,Ml,Ml,No partner,2.5228510937411333,0.7594538538097636
61,H8,2,10600000.0,Ml,Ml,Ml_mannose,0.001,True,cfus_spent_mannose,Mannose,Ml,Ml,No partner,2.7272095922473194,0.8209718917289786
62,H9,2,8400000.0,Ml,Ml,Ml_mannose,0.001,True,cfus_spent_mannose,Mannose,Ml,Ml,No partner,2.391606560462881,0.71994531252609
63,A3,2,440000000.0,Oa,Oa,At_mannose,0.001,True,cfus_spent_mannose,Mannose,At,At,No partner,9.20585754205257,2.7712392559673136
64,A5,2,420000000.0,Oa,Ct+Oa,At_mannose,0.001,True,cfus_spent_mannose,Mannose,At (Ct),At,Ct,9.138743346194033,2.751035869879027
65,A6,2,420000000.0,Oa,Ml+Oa,At_mannose,0.001,True,cfus_spent_mannose,Mannose,At (Ml),At,Ml,9.138743346194033,2.751035869879027
66,A9,2,1080000000.0,Oa,Oa,Ml_mannose,0.001,True,cfus_spent_mannose,Mannose,Ml,Ml,No partner,10.501313425578742,3.161210334968076
67,B3,2,460000000.0,Oa,Oa,At_mannose,0.001,True,cfus_spent_mannose,Mannose,At,At,No partner,9.269987879472286,2.7905444111627005
68,B5,2,168000000.0,Oa,Ct+Oa,At_mannose,0.001,True,cfus_spent_mannose,Mannose,At (Ct),At,Ct,7.816815251306671,2.353095861206989
69,B6,2,380000000.0,Oa,Ml+Oa,At_mannose,0.001,True,cfus_spent_mannose,Mannose,At (Ml),At,Ml,8.994353436858859,2.7075701760979363
70,C3,2,340000000.0,Oa,Oa,At_mannose,0.001,True,cfus_spent_mannose,Mannose,At,At,No partner,8.833888764665613,2.6592654965233815
71,C5,2,178000000.0,Oa,Ct+Oa,At_mannose,0.001,True,cfus_spent_mannose,Mannose,At (Ct),At,Ct,7.900231259494308,2.37820658179002
72,C6,2,180000000.0,Oa,Ml+Oa,At_mannose,0.001,True,cfus_spent_mannose,Mannose,At (Ml),At,Ml,7.916350924857585,2.383059084584432
73,C9,2,920000000.0,Oa,Oa,Ml_mannose,0.001,True,cfus_spent_mannose,Mannose,Ml,Ml,No partner,10.269987879472286,3.0915744068266813
74,C11,2,920000000.0,Oa,At+Oa,Ml_mannose,0.001,True,cfus_spent_mannose,Mannose,Ml (At),Ml,At,10.269987879472286,3.0915744068266813
75,D3,2,380000000.0,Oa,Oa,Ct_isoleucine,0.001,True,cfus_spent_mannose,Isoleucine,Ct,Ct,No partner,8.994353436858859,2.7075701760979363
76,D5,2,460000000.0,Oa,At+Oa,Ct_isoleucine,0.001,True,cfus_spent_mannose,Isoleucine,Ct (At),Ct,At,9.269987879472286,2.7905444111627005
77,D6,2,380000000.0,Oa,Ml+Oa,Ct_isoleucine,0.001,True,cfus_spent_mannose,Isoleucine,Ct (Ml),Ct,Ml,8.994353436858859,2.7075701760979363
78,E3,2,700000000.0,Oa,Oa,Ct_isoleucine,0.001,True,cfus_spent_mannose,Isoleucine,Ct,Ct,No partner,9.875708940360239,2.972884619495383
79,E6,2,460000000.0,Oa,Ml+Oa,Ct_isoleucine,0.001,True,cfus_spent_mannose,Isoleucine,Ct (Ml),Ct,Ml,9.269987879472286,2.7905444111627005
80,F3,2,600000000.0,Oa,Oa,Ct_isoleucine,0.001,True,cfus_spent_mannose,Isoleucine,Ct,Ct,No partner,9.653316519023791,2.90593782986477
81,F6,2,500000000.0,Oa,Ml+Oa,Ct_isoleucine,0.001,True,cfus_spent_mannose,Isoleucine,Ct (Ml),Ct,Ml,9.390282113189997,2.826756583817145
82,G10,2,32000000.0,Oa,Oa,No CS,0.001,True,cfus_spent_mannose,No CS,No CS,No CS,No partner,5.42449782852791,1.6329365578010322
83,G11,2,32000000.0,Oa,Oa,No CS,0.001,True,cfus_spent_mannose,No CS,No CS,No CS,No partner,5.42449782852791,1.6329365578010322
84,G12,2,32000000.0,Oa,Oa,No CS,0.001,True,cfus_spent_mannose,No CS,No CS,No CS,No partner,5.42449782852791,1.6329365578010322
85,H11,2,132000000.0,Oa,Oa,Oa_mannose,0.001,True,cfus_spent_mannose,Mannose,Oa,Oa,No partner,7.468891947886363,2.248360510686976
86,H12,2,112000000.0,Oa,Oa,Oa_mannose,0.001,True,cfus_spent_mannose,Mannose,Oa,Oa,No partner,7.231852750585515,2.1770046021513076
87,A7,2,480000000.0,At,At,Ml_mannose,0.001,True,cfus_spent_mannose,Mannose,Ml,Ml,No partner,9.182937156525073,2.7643395324113547
88,A10,2,400000000.0,At,At+Ct,Ml_mannose,0.001,True,cfus_spent_mannose,Mannose,Ml (Ct),Ml,Ct,8.91990275069128,2.68515828636373
89,A11,2,320000000.0,At,At+Oa,Ml_mannose,0.001,True,cfus_spent_mannose,Mannose,Ml (Oa),Ml,Oa,8.597974655803917,2.5882482733556733
90,B7,2,480000000.0,At,At,Ml_mannose,0.001,True,cfus_spent_mannose,Mannose,Ml,Ml,No partner,9.182937156525073,2.7643395324113547
91,B10,2,500000000.0,At,At+Ct,Ml_mannose,0.001,True,cfus_spent_mannose,Mannose,Ml (Ct),Ml,Ct,9.241830845578642,2.7820682993717862
92,B11,2,280000000.0,At,At+Oa,Ml_mannose,0.001,True,cfus_spent_mannose,Mannose,Ml (Oa),Ml,Oa,8.405329577861522,2.530256326377987
93,C7,2,520000000.0,At,At,Ml_mannose,0.001,True,cfus_spent_mannose,Mannose,Ml,Ml,No partner,9.29841437394501,2.7991016386705665
94,C10,2,360000000.0,At,At+Ct,Ml_mannose,0.001,True,cfus_spent_mannose,Mannose,Ml (Ct),Ml,Ct,8.76789965724623,2.6394007958030548
95,C11,2,260000000.0,At,At+Oa,Ml_mannose,0.001,True,cfus_spent_mannose,Mannose,Ml (Oa),Ml,Oa,8.29841437394501,2.4980716430065857
96,D1,2,440000000.0,At,At,Ct_isoleucine,0.001,True,cfus_spent_mannose,Isoleucine,Ct,Ct,No partner,9.057406274441215,2.726550971521955
97,D4,2,240000000.0,At,At+Ml,Ct_isoleucine,0.001,True,cfus_spent_mannose,Isoleucine,Ct (Ml),Ct,Ml,8.182937156525073,2.4633095367473734
98,D5,2,440000000.0,At,At+Oa,Ct_isoleucine,0.001,True,cfus_spent_mannose,Isoleucine,Ct (Oa),Ct,Oa,9.057406274441215,2.726550971521955
99,D7,2,280000000.0,At,At,Oa_mannose,0.001,True,cfus_spent_mannose,Mannose,Oa,Oa,No partner,8.405329577861522,2.530256326377987
100,D10,2,160000000.0,At,At+Ct,Oa_mannose,0.001,True,cfus_spent_mannose,Mannose,Oa (Ct),Oa,Ct,7.597974655803918,2.2872182776916925
101,D11,2,220000000.0,At,At+Ml,Oa_mannose,0.001,True,cfus_spent_mannose,Mannose,Oa (Ml),Oa,Ml,8.057406274441215,2.4255209758579737
102,E1,2,460000000.0,At,At,Ct_isoleucine,0.001,True,cfus_spent_mannose,Isoleucine,Ct,Ct,No partner,9.12153661186093,2.745856126717342
103,E4,2,180000000.0,At,At+Ml,Ct_isoleucine,0.001,True,cfus_spent_mannose,Isoleucine,Ct (Ml),Ct,Ml,7.76789965724623,2.3383708001390735
104,E5,2,280000000.0,At,At+Oa,Ct_isoleucine,0.001,True,cfus_spent_mannose,Isoleucine,Ct (Oa),Ct,Oa,8.405329577861522,2.530256326377987
105,E7,2,180000000.0,At,At,Oa_mannose,0.001,True,cfus_spent_mannose,Mannose,Oa,Oa,No partner,7.76789965724623,2.3383708001390735
106,E10,2,220000000.0,At,At+Ct,Oa_mannose,0.001,True,cfus_spent_mannose,Mannose,Oa (Ct),Oa,Ct,8.057406274441215,2.4255209758579737
107,E11,2,180000000.0,At,At+Ml,Oa_mannose,0.001,True,cfus_spent_mannose,Mannose,Oa (Ml),Oa,Ml,7.76789965724623,2.3383708001390735
108,F1,2,420000000.0,At,At,Ct_isoleucine,0.001,True,cfus_spent_mannose,Isoleucine,Ct,Ct,No partner,8.990292078582678,2.706347585433668
109,F4,2,340000000.0,At,At+Ml,Ct_isoleucine,0.001,True,cfus_spent_mannose,Isoleucine,Ct (Ml),Ct,Ml,8.685437497054258,2.614577212078023
110,F5,2,440000000.0,At,At+Oa,Ct_isoleucine,0.001,True,cfus_spent_mannose,Isoleucine,Ct (Oa),Ct,Oa,9.057406274441215,2.726550971521955
111,F7,2,240000000.0,At,At,Oa_mannose,0.001,True,cfus_spent_mannose,Mannose,Oa,Oa,No partner,8.182937156525073,2.4633095367473734
112,F10,2,200000000.0,At,At+Ct,Oa_mannose,0.001,True,cfus_spent_mannose,Mannose,Oa (Ct),Oa,Ct,7.91990275069128,2.3841282906997487
113,F11,2,220000000.0,At,At+Ml,Oa_mannose,0.001,True,cfus_spent_mannose,Mannose,Oa (Ml),Oa,Ml,8.057406274441215,2.4255209758579737
114,G1,2,30000000.0,At,At,No CS,0.001,True,cfus_spent_mannose,No CS,No CS,No CS,No partner,5.182937156525074,1.5602195497554299
115,G2,2,40000000.0,At,At,No CS,0.001,True,cfus_spent_mannose,No CS,No CS,No CS,No partner,5.597974655803918,1.68515828636373
116,G3,2,44000000.0,At,At,No CS,0.001,True,cfus_spent_mannose,No CS,No CS,No CS,No partner,5.735478179553852,1.726550971521955
117,H1,2,54000000.0,At,At,At_mannose,0.001,True,cfus_spent_mannose,Mannose,At,At,No partner,6.030934063080024,1.815492054858736
118,H2,2,62000000.0,At,At,At_mannose,0.001,True,cfus_spent_mannose,Mannose,At,At,No partner,6.230242871303431,1.8754899845340214
119,H3,2,220000000.0,At,At,At_mannose,0.001,True,cfus_spent_mannose,Mannose,At,At,No partner,8.057406274441215,2.4255209758579737
120,A1,2,10600000.0,Ct,Ct,At_mannose,0.001,True,cfus_spent_mannose,Mannose,At,At,No partner,4.8327952660935525,1.454816337997051
121,A4,2,9000000.0,Ct,Ct+Ml,At_mannose,0.001,True,cfus_spent_mannose,Mannose,At (Ml),At,Ml,4.596727907860028,1.3837529821716055
122,A5,2,9000000.0,Ct,Ct+Oa,At_mannose,0.001,True,cfus_spent_mannose,Mannose,At (Oa),At,Oa,4.596727907860028,1.3837529821716055
123,A8,2,860000000.0,Ct,Ct,Ml_mannose,0.001,True,cfus_spent_mannose,Mannose,Ml,Ml,No partner,11.174995756007176,3.3640089239758484
124,A10,2,840000000.0,Ct,At+Ct,Ml_mannose,0.001,True,cfus_spent_mannose,Mannose,Ml (At),Ml,At,11.141048424083838,3.353789758794162
125,A12,2,400000000.0,Ct,Ct+Oa,Ml_mannose,0.001,True,cfus_spent_mannose,Mannose,Ml (Oa),Ml,Oa,10.07065909619244,3.031570464060243
126,B1,2,8200000.0,Ct,Ct,At_mannose,0.001,True,cfus_spent_mannose,Mannose,At,At,No partner,4.462426816148437,1.3433243251159972
127,B4,2,7800000.0,Ct,Ct+Ml,At_mannose,0.001,True,cfus_spent_mannose,Mannose,At (Ml),At,Ml,4.3902770303926015,1.321605075422761
128,B5,2,9000000.0,Ct,Ct+Oa,At_mannose,0.001,True,cfus_spent_mannose,Mannose,At (Oa),At,Oa,4.596727907860028,1.3837529821716055
