Focal species,Partner species,Medium,log10 ratio,log10 ratio std,T-test pvalue,Corrected pvalue,log10 pval,log10 adj. pval,Significance annot,Fresh
At,Ct,Ml_mannose,-0.15323798310484626,0.17098057684952314,0.1683782436164446,0.2552831435475128,-0.7737140249963234,-0.5929778608948786,,Spent
Ct,At,Ml_mannose,-0.08255900636820712,0.20896656381008483,0.4424453522554432,0.5452879055424845,-0.3541403626600069,-0.26337413483547994,,Spent
At,Oa,Ml_mannose,-0.2317279530405063,0.04369413286366534,0.0002324707107019099,0.0024280274228866143,-3.6336317566743372,-2.6147464125139632,**,Spent
Oa,At,Ml_mannose,-0.2708470025128147,0.17753651011390145,0.01368611209028239,0.04288315121621815,-1.8637199074208295,-1.3677133085407933,*,Spent
Ct,Oa,Ml_mannose,-0.11513356569466104,0.14777192366243996,0.15933251695932718,0.24552879662584845,-0.7976955833019014,-0.6098975647129696,,Spent
Oa,Ct,Ml_mannose,-0.5068606190712384,0.15826409015952084,0.0005665088438914367,0.004437652610482921,-3.2467933058830742,-2.3528466983310006,**,Spent
At,Ml,Ct_isoleucine,-0.5306466761412612,0.3393096727816026,0.004487454489996017,0.018340031393896766,-2.3479999428356466,-1.7365999252535407,*,Spent
Ml,At,Ct_isoleucine,-0.03207890667522939,0.695160977556134,0.8951248340904162,0.9246344440054849,-0.048116393761125996,-0.03402993248252093,,Spent
At,Oa,Ct_isoleucine,-0.36824359892456293,0.34412676262457864,0.02602702007725762,0.06739363771173222,-1.5845755529083334,-1.1713811010478885,,Spent
Oa,At,Ct_isoleucine,-0.45816239379574064,0.4139213520621576,0.11956709178119544,0.19049672249885377,-0.9223883339296801,-0.7201124919721257,,Spent
Ml,Oa,Ct_isoleucine,0.0642802094121464,0.6752800805539321,0.7840287248868051,0.8280752824647155,-0.10566802554094143,-0.08193017858615555,,Spent
Oa,Ml,Ct_isoleucine,-0.20151361024369763,0.27108609709676385,0.11549939170063904,0.18718866930793224,-0.9374203030597286,-0.7277204430229672,,Spent
At,Ml,Oa_mannose,-0.11293951885112463,0.16377326901431782,0.20117148531682055,0.28977428271158034,-0.6964335775285055,-0.5379401605213348,,Spent
Ml,At,Oa_mannose,0.26241603184682916,0.11988894108333766,0.027162478168264004,0.06739363771173222,-1.5660306097337764,-1.1713811010478885,,Spent
Ct,Ml,Oa_mannose,-0.12278876846902342,0.2854597460180898,0.4364030503659789,0.5452879055424845,-0.3601122224455598,-0.26337413483547994,,Spent
Ml,Ct,Oa_mannose,-0.4277423721262217,0.35320334174615053,0.08110796977366526,0.14688711477888003,-1.0909364693564534,-0.8330162996887662,,Spent
At,Ct,Oa_mannose,-0.07835637300500586,0.12051566775943245,0.32853084470222843,0.42303971783574623,-0.48342384968071406,-0.37361885620147123,,Spent
Ct,At,Oa_mannose,-0.06038335192757405,0.26310809016468795,0.6769473011687978,0.73141432540077,-0.16944513885165668,-0.13583653787057653,,Spent
Ct,Ml,At_mannose,-0.04534428176017258,0.09842193136857966,0.30481524468760146,0.40959773752601364,-0.5159633164723939,-0.38764245091572525,,Spent
Ml,Ct,At_mannose,0.1961757523955434,0.4411626447557714,0.3206353124486922,0.4186072134746815,-0.4939886493022717,-0.37819329213384145,,Spent
Ct,Oa,At_mannose,-0.07687284411716178,0.13355642645487506,0.206006477412583,0.28977428271158034,-0.6861191239982474,-0.5379401605213348,,Spent
Oa,Ct,At_mannose,-0.30905051279219364,0.21604923406215737,0.010528119675972645,0.03665345368671957,-1.9776491869596857,-1.4358850975189743,*,Spent
Ml,Oa,At_mannose,0.2775409421389945,0.33528931216099817,0.08825530171181942,0.1565282709605854,-1.0542591960248096,-0.8054072120258999,,Spent
Oa,Ml,At_mannose,-0.27931106683420737,0.2527734592644201,0.03390411532578345,0.0796746710155911,-1.469747583366109,-1.0986797210943726,,Spent
At,Ct,M9_mannose,-0.1538646895394553,0.25787217386890704,0.3111590473025113,0.411957048541353,-0.5070175668908771,-0.3851480620102537,,Fresh
Ct,At,M9_mannose,1.8056558959665807,0.1654274032068069,1.6659826829124206e-06,3.915059304844189e-05,-5.778329517187734,-4.407261654915997,***,Fresh
At,Ml,M9_mannose,-0.2933589303956019,0.2539223894393548,0.10057161248700165,0.1688166352460385,-0.9975245866759537,-0.7725847600824554,,Fresh
Ml,At,M9_mannose,3.692150276739092,0.5007704365411924,0.0006243034067642585,0.0045141938642954075,-3.2046042951586005,-2.3454197938657386,**,Fresh
At,Oa,M9_mannose,-0.25525209518112923,0.25610684660500993,0.13377986365624228,0.20958845306144622,-0.8736092510009053,-0.6786326477848502,,Fresh
Oa,At,M9_mannose,1.4149049000430622,0.051715404820074494,3.0546471494483027e-09,2.8713683204814044e-07,-8.515038949054109,-6.5419110954544095,***,Fresh
Ct,Ml,M9_mannose,1.0425108690406386,0.15676114041177333,4.897619804712703e-05,0.0005754703270537426,-4.310014931568193,-3.2399770649604385,***,Fresh
