,Well,Plate,CFUs/mL,Species,Inoculated species,Medium
0,Inoculum,0,945812.8078817734,At,,
1,Inoculum,0,798029.5566502463,At,,
2,Inoculum,0,827586.2068965518,At,,
3,Inoculum,0,679802.9556650246,At,,
4,A1,6,360000000.0,At,At+Ct,M9-malate
5,A2,6,12000000000.0,At,At+Ml,M9-malate
6,A3,6,10600000000.0,At,At+Oa,M9-malate
7,A4,6,,At,Ct+Ml,M9-malate
8,A5,6,,At,Ct+Oa,M9-malate
9,A6,6,,At,Ml+Oa,M9-malate
10,A7,6,5800000000.0,At,At+Oa,M9-malate+thiamine
11,A8,6,,At,Ct+Oa,M9-malate+thiamine
12,A9,6,,At,Ml+Oa,M9-malate+thiamine
13,A10,6,10600000000.0,At,At+Ml,M9-malate+thiamine+biotin+cysteine+proline
14,A11,6,,At,Ct+Ml,M9-malate+thiamine+biotin+cysteine+proline
15,A12,6,,At,Ml+Oa,M9-malate+thiamine+biotin+cysteine+proline
16,B1,6,260000000.0,At,At+Ct,M9-malate
17,B2,6,6600000000.0,At,At+Ml,M9-malate
18,B3,6,6200000000.0,At,At+Oa,M9-malate
19,B4,6,,At,Ct+Ml,M9-malate
20,B5,6,,At,Ct+Oa,M9-malate
21,B6,6,,At,Ml+Oa,M9-malate
22,B7,6,3600000000.0,At,At+Oa,M9-malate+thiamine
23,B8,6,,At,Ct+Oa,M9-malate+thiamine
24,B9,6,,At,Ml+Oa,M9-malate+thiamine
25,B10,6,8000000000.0,At,At+Ml,M9-malate+thiamine+biotin+cysteine+proline
26,B11,6,,At,Ct+Ml,M9-malate+thiamine+biotin+cysteine+proline
27,B12,6,,At,Ml+Oa,M9-malate+thiamine+biotin+cysteine+proline
28,C1,6,280000000.0,At,At+Ct,M9-malate
29,C2,6,7200000000.0,At,At+Ml,M9-malate
30,C3,6,3400000000.0,At,At+Oa,M9-malate
31,C4,6,,At,Ct+Ml,M9-malate
32,C5,6,,At,Ct+Oa,M9-malate
33,C6,6,,At,Ml+Oa,M9-malate
34,C7,6,3000000000.0,At,At+Oa,M9-malate+thiamine
35,C8,6,,At,Ct+Oa,M9-malate+thiamine
36,C9,6,,At,Ml+Oa,M9-malate+thiamine
37,C10,6,2200000000.0,At,At+Ml,M9-malate+thiamine+biotin+cysteine+proline
38,C11,6,,At,Ct+Ml,M9-malate+thiamine+biotin+cysteine+proline
39,C12,6,,At,Ml+Oa,M9-malate+thiamine+biotin+cysteine+proline
40,D1,6,160000000.0,At,At+Ct,M9-malate
41,D2,6,6000000000.0,At,At+Ml,M9-malate
