,Well,Plate,CFUs/mL,Species,Inoculated species,Medium,Initial OD
4,A1,5,7600000000.0,At,At+Ct,M9_mannose,0.001
5,A2,5,5600000000.0,At,At+Ml,M9_mannose,0.001
6,A3,5,7000000000.0,At,At+Oa,M9_mannose,0.001
10,A7,5,8400000000.0,At,At+Oa,M9_mannose+thiamine,0.001
13,A10,5,4000000000.0,At,At+Ml,M9_mannose+thiamine+biotin+cysteine+proline,0.001
16,B1,5,7600000000.0,At,At+Ct,M9_mannose,0.001
17,B2,5,5600000000.0,At,At+Ml,M9_mannose,0.001
18,B3,5,5600000000.0,At,At+Oa,M9_mannose,0.001
22,B7,5,7800000000.0,At,At+Oa,M9_mannose+thiamine,0.001
25,B10,5,3800000000.0,At,At+Ml,M9_mannose+thiamine+biotin+cysteine+proline,0.001
28,C1,5,9800000000.0,At,At+Ct,M9_mannose,0.001
29,C2,5,6600000000.0,At,At+Ml,M9_mannose,0.001
30,C3,5,6000000000.0,At,At+Oa,M9_mannose,0.001
34,C7,5,7400000000.0,At,At+Oa,M9_mannose+thiamine,0.001
37,C10,5,3200000000.0,At,At+Ml,M9_mannose+thiamine+biotin+cysteine+proline,0.001
40,D1,5,7400000000.0,At,At+Ct,M9_mannose,0.001
41,D2,5,5600000000.0,At,At+Ml,M9_mannose,0.001
42,D3,5,7000000000.0,At,At+Oa,M9_mannose,0.001
46,D7,5,5600000000.0,At,At+Oa,M9_mannose+thiamine,0.001
49,D10,5,2400000000.0,At,At+Ml,M9_mannose+thiamine+biotin+cysteine+proline,0.001
52,E1,5,12000000000.0,At,At,M9_mannose,0.001
56,E5,5,6200000000.0,At,At,M9_mannose+thiamine,0.001
60,E9,5,4400000000.0,At,At,M9_mannose+thiamine+biotin+cysteine+proline,0.001
64,F1,5,18000000000.0,At,At,M9_mannose,0.001
68,F5,5,4200000000.0,At,At,M9_mannose+thiamine,0.001
72,F9,5,4200000000.0,At,At,M9_mannose+thiamine+biotin+cysteine+proline,0.001
76,G1,5,16000000000.0,At,At,M9_mannose,0.001
80,G5,5,4400000000.0,At,At,M9_mannose+thiamine,0.001
84,G9,5,5200000000.0,At,At,M9_mannose+thiamine+biotin+cysteine+proline,0.001
88,H1,5,5000000000.0,At,At,M9_mannose,0.001
92,H5,5,4400000000.0,At,At,M9_mannose+thiamine,0.001
96,H9,5,5600000000.0,At,At,M9_mannose+thiamine+biotin+cysteine+proline,0.001
104,A1,5,480000000.0,Ct,At+Ct,M9_mannose,0.001
107,A4,5,70000000.0,Ct,Ct+Ml,M9_mannose,0.001
108,A5,5,180000000.0,Ct,Ct+Oa,M9_mannose,0.001
111,A8,5,14000000.0,Ct,Ct+Oa,M9_mannose+thiamine,0.001
114,A11,5,2200000000.0,Ct,Ct+Ml,M9_mannose+thiamine+biotin+cysteine+proline,0.001
116,B1,5,340000000.0,Ct,At+Ct,M9_mannose,0.001
119,B4,5,68000000.0,Ct,Ct+Ml,M9_mannose,0.001
120,B5,5,180000000.0,Ct,Ct+Oa,M9_mannose,0.001
123,B8,5,18000000.0,Ct,Ct+Oa,M9_mannose+thiamine,0.001
126,B11,5,2000000000.0,Ct,Ct+Ml,M9_mannose+thiamine+biotin+cysteine+proline,0.001
128,C1,5,440000000.0,Ct,At+Ct,M9_mannose,0.001
131,C4,5,76000000.0,Ct,Ct+Ml,M9_mannose,0.001
132,C5,5,220000000.0,Ct,Ct+Oa,M9_mannose,0.001
135,C8,5,24000000.0,Ct,Ct+Oa,M9_mannose+thiamine,0.001
138,C11,5,2800000000.0,Ct,Ct+Ml,M9_mannose+thiamine+biotin+cysteine+proline,0.001
140,D1,5,580000000.0,Ct,At+Ct,M9_mannose,0.001
143,D4,5,102000000.0,Ct,Ct+Ml,M9_mannose,0.001
144,D5,5,160000000.0,Ct,Ct+Oa,M9_mannose,0.001
147,D8,5,20000000.0,Ct,Ct+Oa,M9_mannose+thiamine,0.001
150,D11,5,1400000000.0,Ct,Ct+Ml,M9_mannose+thiamine+biotin+cysteine+proline,0.001
153,E2,5,5800000.0,Ct,Ct,M9_mannose,0.001
157,E6,5,3400000.0,Ct,Ct,M9_mannose+thiamine,0.001
161,E10,5,520000000.0,Ct,Ct,M9_mannose+thiamine+biotin+cysteine+proline,0.001
165,F2,5,6400000.0,Ct,Ct,M9_mannose,0.001
169,F6,5,5400000.0,Ct,Ct,M9_mannose+thiamine,0.001
173,F10,5,460000000.0,Ct,Ct,M9_mannose+thiamine+biotin+cysteine+proline,0.001
177,G2,5,6000000.0,Ct,Ct,M9_mannose,0.001
181,G6,5,4200000.0,Ct,Ct,M9_mannose+thiamine,0.001
185,G10,5,420000000.0,Ct,Ct,M9_mannose+thiamine+biotin+cysteine+proline,0.001
189,H2,5,11200000.0,Ct,Ct,M9_mannose,0.001
193,H6,5,10000000.0,Ct,Ct,M9_mannose+thiamine,0.001
197,H10,5,500000000.0,Ct,Ct,M9_mannose+thiamine+biotin+cysteine+proline,0.001
205,A2,5,960000000.0,Ml,At+Ml,M9_mannose,0.001
207,A4,5,2000000.0,Ml,Ct+Ml,M9_mannose,0.001
209,A6,5,80000000.0,Ml,Ml+Oa,M9_mannose,0.001
212,A9,5,580000000.0,Ml,Ml+Oa,M9_mannose+thiamine,0.001
213,A10,5,6400000000.0,Ml,At+Ml,M9_mannose+thiamine+biotin+cysteine+proline,0.001
214,A11,5,6600000000.0,Ml,Ct+Ml,M9_mannose+thiamine+biotin+cysteine+proline,0.001
215,A12,5,14000000000.0,Ml,Ml+Oa,M9_mannose+thiamine+biotin+cysteine+proline,0.001
217,B2,5,840000000.0,Ml,At+Ml,M9_mannose,0.001
219,B4,5,1800000.0,Ml,Ct+Ml,M9_mannose,0.001
221,B6,5,54000000.0,Ml,Ml+Oa,M9_mannose,0.001
224,B9,5,480000000.0,Ml,Ml+Oa,M9_mannose+thiamine,0.001
225,B10,5,4000000000.0,Ml,At+Ml,M9_mannose+thiamine+biotin+cysteine+proline,0.001
226,B11,5,4200000000.0,Ml,Ct+Ml,M9_mannose+thiamine+biotin+cysteine+proline,0.001
227,B12,5,6000000000.0,Ml,Ml+Oa,M9_mannose+thiamine+biotin+cysteine+proline,0.001
229,C2,5,860000000.0,Ml,At+Ml,M9_mannose,0.001
231,C4,5,1800000.0,Ml,Ct+Ml,M9_mannose,0.001
233,C6,5,46000000.0,Ml,Ml+Oa,M9_mannose,0.001
236,C9,5,300000000.0,Ml,Ml+Oa,M9_mannose+thiamine,0.001
237,C10,5,5000000000.0,Ml,At+Ml,M9_mannose+thiamine+biotin+cysteine+proline,0.001
238,C11,5,5400000000.0,Ml,Ct+Ml,M9_mannose+thiamine+biotin+cysteine+proline,0.001
239,C12,5,16000000000.0,Ml,Ml+Oa,M9_mannose+thiamine+biotin+cysteine+proline,0.001
241,D2,5,1040000000.0,Ml,At+Ml,M9_mannose,0.001
243,D4,5,2000000.0,Ml,Ct+Ml,M9_mannose,0.001
245,D6,5,48000000.0,Ml,Ml+Oa,M9_mannose,0.001
248,D9,5,260000000.0,Ml,Ml+Oa,M9_mannose+thiamine,0.001
249,D10,5,3600000000.0,Ml,At+Ml,M9_mannose+thiamine+biotin+cysteine+proline,0.001
250,D11,5,4800000000.0,Ml,Ct+Ml,M9_mannose+thiamine+biotin+cysteine+proline,0.001
251,D12,5,14000000000.0,Ml,Ml+Oa,M9_mannose+thiamine+biotin+cysteine+proline,0.001
254,E3,5,200000.0,Ml,Ml,M9_mannose,0.001
258,E7,5,240000.0,Ml,Ml,M9_mannose+thiamine,0.001
262,E11,5,4200000000.0,Ml,Ml,M9_mannose+thiamine+biotin+cysteine+proline,0.001
266,F3,5,40000.0,Ml,Ml,M9_mannose,0.001
270,F7,5,180000.0,Ml,Ml,M9_mannose+thiamine,0.001
274,F11,5,2600000000.0,Ml,Ml,M9_mannose+thiamine+biotin+cysteine+proline,0.001
278,G3,5,240000.0,Ml,Ml,M9_mannose,0.001
282,G7,5,260000.0,Ml,Ml,M9_mannose+thiamine,0.001
286,G11,5,2600000000.0,Ml,Ml,M9_mannose+thiamine+biotin+cysteine+proline,0.001
