,Well,Plate,CFUs/mL,Species,Inoculated species,Medium,Initial OD
0,Inoculum,0,864197.5308641975,At,,,0.001
1,Inoculum,0,666666.6666666666,At,,,0.001
2,Inoculum,0,641975.3086419753,At,,,0.001
3,Inoculum,0,617283.9506172839,At,,,0.001
31,B10,2,200000000.0,At,At+Ct,Ml_mannose,0.001
40,C11,2,300000000.0,At,At+Oa,Ml_mannose,0.001
41,D1,2,520000000.0,At,At,Ct_isoleucine,0.001
44,D4,2,260000000.0,At,At+Ml,Ct_isoleucine,0.001
45,D5,2,300000000.0,At,At+Oa,Ct_isoleucine,0.001
48,D11,2,98000000.0,At,At+Ml,Oa_mannose,0.001
52,E4,2,240000000.0,At,At+Ml,Ct_isoleucine,0.001
54,E11,2,180000000.0,At,At+Ml,Oa_mannose,0.001
57,F4,2,240000000.0,At,At+Ml,Ct_isoleucine,0.001
59,F11,2,200000000.0,At,At+Ml,Oa_mannose,0.001
60,G1,2,44000000.0,At,At,No_CS,0.001
61,G2,2,52000000.0,At,At,No_CS,0.001
62,G3,2,52000000.0,At,At,No_CS,0.001
72,H3,2,82000000.0,At,At,At_mannose,0.001
85,Inoculum,0,459472.8990551965,Ct,,,0.001
86,Inoculum,0,503232.222774739,Ct,,,0.001
87,Inoculum,0,492292.3918448534,Ct,,,0.001
88,Inoculum,0,295375.43510691205,Ct,,,0.001
97,A1,2,11000000.0,Ct,Ct,At_mannose,0.001
100,A4,2,10000000.0,Ct,Ct+Ml,At_mannose,0.001
101,A5,2,9000000.0,Ct,Ct+Oa,At_mannose,0.001
103,A8,2,700000000.0,Ct,Ct,Ml_mannose,0.001
105,B1,2,11200000.0,Ct,Ct,At_mannose,0.001
108,B4,2,11400000.0,Ct,Ct+Ml,At_mannose,0.001
109,B5,2,10200000.0,Ct,Ct+Oa,At_mannose,0.001
111,B8,2,580000000.0,Ct,Ct,Ml_mannose,0.001
112,B10,2,320000000.0,Ct,At+Ct,Ml_mannose,0.001
113,C1,2,11600000.0,Ct,Ct,At_mannose,0.001
116,C4,2,11400000.0,Ct,Ct+Ml,At_mannose,0.001
117,C5,2,11600000.0,Ct,Ct+Oa,At_mannose,0.001
119,C8,2,400000000.0,Ct,Ct,Ml_mannose,0.001
128,D8,2,42000000.0,Ct,Ct,Oa_mannose,0.001
130,D12,2,18000000.0,Ct,Ct+Ml,Oa_mannose,0.001
144,G4,2,7800000.0,Ct,Ct,No_CS,0.001
145,G5,2,8000000.0,Ct,Ct,No_CS,0.001
146,G6,2,11000000.0,Ct,Ct,No_CS,0.001
154,H4,2,20000000.0,Ct,Ct,Ct_isoleucine,0.001
155,H5,2,16000000.0,Ct,Ct,Ct_isoleucine,0.001
156,H6,2,30000000.0,Ct,Ct,Ct_isoleucine,0.001
170,Inoculum,0,1686545.0961064564,Ml,,,0.001
171,Inoculum,0,1486446.5253819616,Ml,,,0.001
172,Inoculum,0,1457861.0152784623,Ml,,,0.001
173,Inoculum,0,1600788.5657959585,Ml,,,0.001
179,A2,2,7400000.0,Ml,Ml,At_mannose,0.001
181,A4,2,13400000.0,Ml,Ct+Ml,At_mannose,0.001
183,A6,2,10600000.0,Ml,Ml+Oa,At_mannose,0.001
187,B2,2,11400000.0,Ml,Ml,At_mannose,0.001
189,B4,2,58000000.0,Ml,Ct+Ml,At_mannose,0.001
191,B6,2,48000000.0,Ml,Ml+Oa,At_mannose,0.001
195,C2,2,11800000.0,Ml,Ml,At_mannose,0.001
197,C4,2,48000000.0,Ml,Ct+Ml,At_mannose,0.001
199,C6,2,44000000.0,Ml,Ml+Oa,At_mannose,0.001
204,D2,2,66000000.0,Ml,Ml,Ct_isoleucine,0.001
206,D4,2,146000000.0,Ml,At+Ml,Ct_isoleucine,0.001
208,D6,2,118000000.0,Ml,Ml+Oa,Ct_isoleucine,0.001
210,D11,2,44000000.0,Ml,At+Ml,Oa_mannose,0.001
211,D12,2,36000000.0,Ml,Ct+Ml,Oa_mannose,0.001
212,E2,2,104000000.0,Ml,Ml,Ct_isoleucine,0.001
214,E4,2,280000000.0,Ml,At+Ml,Ct_isoleucine,0.001
215,E6,2,300000000.0,Ml,Ml+Oa,Ct_isoleucine,0.001
216,E11,2,60000000.0,Ml,At+Ml,Oa_mannose,0.001
217,F2,2,68000000.0,Ml,Ml,Ct_isoleucine,0.001
219,F4,2,240000000.0,Ml,At+Ml,Ct_isoleucine,0.001
220,F6,2,150000000.0,Ml,Ml+Oa,Ct_isoleucine,0.001
221,F11,2,60000000.0,Ml,At+Ml,Oa_mannose,0.001
228,G7,2,12000.0,Ml,Ml,No_CS,0.001
229,G8,2,18000.0,Ml,Ml,No_CS,0.001
230,G9,2,120000.0,Ml,Ml,No_CS,0.001
238,H7,2,9200000.0,Ml,Ml,Ml_mannose,0.001
239,H8,2,10600000.0,Ml,Ml,Ml_mannose,0.001
240,H9,2,8400000.0,Ml,Ml,Ml_mannose,0.001
