species,reactor,sample_time,dilution,count,average,stdev
ct,ribose,0,-3,4|4|5,866666.6667,115470.0538
ct,acetate,0,-3,16|9|12,2466666.667,702376.9169
ct,histidine,0,-3,17|18|10,3000000,871779.7887
ct,glutaric acid,0,-3,6|5|4,1000000,200000
ct,ribose,15.5,-3,4|6|12,1466666.667,832666.3998
ct,acetate,15.5,-4,20|19|26,43333333.33,7571877.794
ct,histidine,15.5,-3,8|10|10,1866666.667,230940.1077
ct,glutaric acid,15.5,-3,18|16|24,3866666.667,832666.3998
ct,ribose,24,-3,11|10|10,2066666.667,115470.0538
ct,acetate,24,-5,21|23|19,420000000,40000000
ct,histidine,24,-3,22|19|26,4466666.667,702376.9169
ct,glutaric acid,24,-4,9|22|22,35333333.33,15011107
ct,ribose,39.5,-3,2|1|1,266666.6667,115470.0538
ct,acetate,39.5,-5,30|30|16,506666666.7,161658075.4
ct,histidine,39.5,-3,17|5|12,2266666.667,1205542.755
ct,glutaric acid,39.5,-4,6|23|13,28000000,17088007.49
ct,ribose,46.5,-3,11|14|18,2866666.667,702376.9169
ct,histidine,46.5,-4,6|12|7,16666666.67,6429100.507
ct,glutaric acid,46.5,-5,5|6|11,146666666.7,64291005.07
ct,ribose,63.5,-3,14|16|11,2733333.333,503322.2957
ct,acetate,63.5,-5,9|11|12,213333333.3,30550504.63
ct,histidine,63.5,-3,38|39|26,6866666.667,1446835.628
ct,glutaric acid,63.5,-4,22|20|21,42000000,2000000
ct,ribose,70.5,-3,5|5|3,866666.6667,230940.1077
ct,acetate,70.5,-5,44|49|50,953333333.3,64291005.07
ct,histidine,70.5,-4,10|5|8,15333333.33,5033222.957
ct,glutaric acid,70.5,-5,4|9|4,113333333.3,57735026.92
at,ribose,0,-3,14|18|15,3133333.333,416333.1999
at,acetate,0,-3,5|5|8,1200000,346410.1615
at,histidine,0,-3,8|9|5,1466666.667,416333.1999
at,glutaric acid,0,-3,10|15|13,2533333.333,503322.2957
at,ribose,15.5,-4,13|16|10,26000000,6000000
