metabolite_id,charge,comment
2ptcoa,-4,
osuc,-3,
3o6athcoa,-4,
2hh24dd,-2,
acysbmn,0,
prealginate_G,-5,
2ddecg3p,-1,
m2butp,0,
4abzglu,-2,
3ophxacoa,-4,
S2hglut,-2,
prealg_MG_14,-5,
3hdd6coa,-4,
2agpe161,0,
alltn__R,0,
gccoa,0,
alatrp,0,
3otdccoa,-4,
ala_L_glu__L,-1,
3mba,-1,
hdd4coa,-4,
ib_p,-1,
al26da,-2,
alahis,0,
glucan4,0,
omaketo,-3,
gg15dap,1,
isocaprecoa,0,
5cmhmsa,-2,
salchs2,0,
tag180,0,
ggala_B,-1,
gcvHalip,-4,
2dhguln,-1,
2mb_p,-3,
ldpcde,0,
ibtol,0,
3hphpcoa,-4,
ocholc5coa,0,
pdca2coa,-4,
fe3mcbtt,5,
istfrnA,2,
R_3hdd6e,-1,
u45imzc,0,
achms,0,
madg,0,
pocta2coa,-4,
doscoa,0,
R_3hnonacoa,-6,
3hhpcoa,-4,
aacp,0,
phehxa,-1,
cdpoctdecglc,0,
2tdec7eg3p,-1,
3ovacccoa,-4,
R_3h4atbcoa,-4,
dec4_2_coa,-4,
i4mzo,0,
airs,0,
tnt,0,
lipopb,1,
3hpnonacoa,-4,
aad,-2,
dextrin,0,
gly_pro__L,1,
3opoctacoa,-6,
3hpdecacoa,-4,
malt1p,-2,
manb,0,
R_3hpbcoa,-4,
gg13dampp,1,
1ag182d9d12,0,
nona2coa,-6,
glyser,0,
metglcur,-1,
pvdiq,-1,
buts,-1,
2hdec9eg3p,-1,
3optcoa,-4,
33hmeoxobut,-1,
pea,-1,
R_3hpnona,-1,
dh3mchc,-1,
cdpc16c19g,0,
3odd5coa,-4,
glycol,0,
nadhx__S,-2,
htdol__L,1,
stfrnB,0,
tag160,0,
mmalsa__S,-1,
octscoa,0,
cspmd,2,
R_3hcmrs7ecoa,-4,
malttrtre,0,
uaGgla,-3,
cdpc19c19g,0,
prealgac_M3,-5,
R_3hphxacoa,-4,
cpp3,-5,
2dhphaccoa,-4,
4oxptn,-1,
mbdg,0,
dhptdd,-2,
prealg_MG_23,-5,
manur,-1,
sdhlam,-1,
R_3hcmrs7e,-1,
3ononacoa,-6,
4oxptcoa,-4,
pptcoa,-6,
metox__R,0,
ptslacoa,-6,
aac24dab,0,
nacg,0,
2a3o4pob,-2,
ptsla2coa,-4,
3opdecacoa,-4,
hkmpp,-2,
isocapcoa,0,
R_3hocta,-1,
R_3hpptcoa,-4,
1ag181d9,0,
balagly,0,
histda,1,
stfrnA,0,
ala_his,0,
cholenec5coa,0,
dhex12decg3p,0,
ddcap,-1,
shcl,-8,
h2isocap,0,
2hmc,-2,
cholc3coa,0,
isocap,0,
lacgth,0,
urdgci,0,
3odd6coa,-4,
ptsla,-3,
R_3h6athcoa,-4,
salchs1,0,
glymet,0,
prealg_MG_32,-5,
dec4coa,-4,
phxa2coa,-4,
n2,0,
R_3hhxa,-1,
2mpa,-1,
3hpoctacoa,-4,
R_3hnonaa,-3,
4hptcoa,-4,
prealgac_M1,-5,
glc__aD,0,
2mba,-1,
phe__D,-2,
barb,0,
glcman6,0,
gcvHL_nhLA,-3,
prealgac_M4,-5,
4atbcoa,-4,
pbcoa,-6,
fcmcbtt,4,
4hoxpac,-1,
