CompoundID,ChemOntID,ClassifiedResults
Tetracycline,CHEMONTID:0000000,Kingdom: Organic compounds
Tetracycline,CHEMONTID:0000012,Superclass: Lipids and lipid-like molecules
Tetracycline,CHEMONTID:0003909,Class: Fatty Acyls
Tetracycline,CHEMONTID:0003327,Subclass: Fatty acyl thioesters
Tetracycline,CHEMONTID:0001090,Intermediate_nodes: Acyl CoAs
Tetracycline,CHEMONTID:0002960,Intermediate_nodes: 3-hydroxyacyl CoAs
Tetracycline,CHEMONTID:0004301,Direct_parent: 3-hydroxy-3-alkylglutaryl CoAs
Tetracycline,CHEMONTID:0003208,"alternative_parents: 2,3,4-saturated fatty acyl CoAs"
Tetracycline,CHEMONTID:0001143,alternative_parents: Coenzyme A and derivatives
Tetracycline,CHEMONTID:0001618,alternative_parents: Purine ribonucleoside diphosphates
Tetracycline,CHEMONTID:0004404,alternative_parents: Ribonucleoside 3'-phosphates
Tetracycline,CHEMONTID:0002259,alternative_parents: Pentose phosphates
Tetracycline,CHEMONTID:0002203,alternative_parents: Glycosylamines
Tetracycline,CHEMONTID:0001878,alternative_parents: Beta amino acids and derivatives
Tetracycline,CHEMONTID:0001541,alternative_parents: Monosaccharide phosphates
Tetracycline,CHEMONTID:0001804,alternative_parents: Organic pyrophosphates
Tetracycline,CHEMONTID:0002987,alternative_parents: 6-aminopurines
Tetracycline,CHEMONTID:0001262,alternative_parents: Aminopyrimidines and derivatives
Tetracycline,CHEMONTID:0001096,alternative_parents: N-acyl amines
Tetracycline,CHEMONTID:0002311,alternative_parents: N-substituted imidazoles
Tetracycline,CHEMONTID:0003886,alternative_parents: Imidolactams
Tetracycline,CHEMONTID:0003457,alternative_parents: Alkyl phosphates
Tetracycline,CHEMONTID:0004144,alternative_parents: Heteroaromatic compounds
Tetracycline,CHEMONTID:0001670,alternative_parents: Tertiary alcohols
Tetracycline,CHEMONTID:0002648,alternative_parents: Tetrahydrofurans
Tetracycline,CHEMONTID:0001200,alternative_parents: Thioesters
Tetracycline,CHEMONTID:0001663,alternative_parents: Secondary carboxylic acid amides
Tetracycline,CHEMONTID:0004176,alternative_parents: Amino acids
Tetracycline,CHEMONTID:0001661,alternative_parents: Secondary alcohols
Tetracycline,CHEMONTID:0003872,alternative_parents: Carbothioic S-esters
Tetracycline,CHEMONTID:0004140,alternative_parents: Oxacyclic compounds
Tetracycline,CHEMONTID:0001205,alternative_parents: Carboxylic acids
Tetracycline,CHEMONTID:0003260,alternative_parents: Sulfenyl compounds
Tetracycline,CHEMONTID:0004139,alternative_parents: Azacyclic compounds
Tetracycline,CHEMONTID:0001137,alternative_parents: Monocarboxylic acids and derivatives
Tetracycline,CHEMONTID:0001831,alternative_parents: Carbonyl compounds
Tetracycline,CHEMONTID:0002450,alternative_parents: Primary amines
Tetracycline,CHEMONTID:0004557,alternative_parents: Organopnictogen compounds
Tetracycline,CHEMONTID:0003940,alternative_parents: Organic oxides
Tetracycline,CHEMONTID:0004150,alternative_parents: Hydrocarbon derivatives
Tetracycline,CHEMONTID:0003608,alternative_parents: Organic anions
Tetracycline,NotAvailable,mMlecular_framework: Aromatic heteropolycyclic compounds
Tetracycline,NotAvailable,"Substituents: [""Coenzyme a or derivatives"", ""Purine ribonucleoside 3',5'-bisphosphate"", ""Purine ribonucleoside bisphosphate"", ""Purine ribonucleoside diphosphate"", ""Pentose phosphate"", ""Pentose-5-phosphate"", ""Ribonucleoside 3'-phosphate"", ""Beta amino acid or derivatives"", ""Glycosyl compound"", ""N-glycosyl compound"", ""6-aminopurine"", ""Monosaccharide phosphate"", ""Organic pyrophosphate"", ""Imidazopyrimidine"", ""Purine"", ""Aminopyrimidine"", ""Imidolactam"", ""Fatty amide"", ""Monosaccharide"", ""N-acyl-amine"", ""N-substituted imidazole"", ""Organic phosphoric acid derivative"", ""Alkyl phosphate"", ""Phosphoric acid ester"", ""Pyrimidine"", ""Imidazole"", ""Azole"", ""Tertiary alcohol"", ""Tetrahydrofuran"", ""Heteroaromatic compound"", ""Secondary carboxylic acid amide"", ""Secondary alcohol"", ""Carboxamide group"", ""Amino acid or derivatives"", ""Carbothioic s-ester"", ""Thiocarboxylic acid ester"", ""Amino acid"", ""Oxacycle"", ""Sulfenyl compound"", ""Carboxylic acid"", ""Organoheterocyclic compound"", ""Azacycle"", ""Carboxylic acid derivative"", ""Monocarboxylic acid or derivatives"", ""Thiocarboxylic acid or derivatives"", ""Organic oxide"", ""Primary amine"", ""Alcohol"", ""Organic nitrogen compound"", ""Amine"", ""Hydrocarbon derivative"", ""Organonitrogen compound"", ""Carbonyl group"", ""Organooxygen compound"", ""Organosulfur compound"", ""Organic oxygen compound"", ""Organopnictogen compound"", ""Organic anion"", ""Aromatic heteropolycyclic compound""]"
Tetracycline,NotAvailable,"External_descriptors: [[""source: META CYC"", ""source_id: 3-HYDROXY-3-METHYL-GLUTARYL-COA"", ""annotation: [\""a CoA derivative\""]""]]"
