Name	Canonical_smiles
Tetracycline	CC(C)(COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])C(C(=O)NCCC(=O)NCCSC(=O)CC(C)(CC(=O)[O-])O)O
Xanthosine 5'-phosphate	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)O)O)O)N=C(N=C2[O-])[O-]
D-Lysine	C(CCN)CC(C(=O)O)[NH3+]
D-Aspartate	C(C(C(=O)O)N)C(=O)[O-]
3-Sulfino-L-alanine	C(C(C(=O)[O-])N)S(=O)O
L-Glutamate 5-phosphate	C(CC(=O)OP(=O)([O-])[O-])C(C(=O)O)N
7,8-Dihydrofolate	C1C(=NC2=C(N1)N=C(N=C2[O-])N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)[O-])C(=O)O
Selenocysteine	C(C(C(=O)[O-])[NH3+])[SeH]
2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)	CCCCCCCCCCCCCC(=O)OC(CO)COP(=O)(O)OCCN
Trans-Dec-2-enoyl-CoA	CCCCCCCC=CC(=O)SCCN=C(CCN=C(C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O)[O-])[O-]
6-hydroxymethyl-dihydropterin pyrophosphate	C1C(=NC2=C(N1)N=C(N=C2[O-])N)COP(=O)(O)OP(=O)([O-])[O-]
Tyramine	C1=CC(=CC=C1CCN)[OH2+]
Pyridoxamine 5'-phosphate	CC1=NC=C(C(=C1O)CN)COP(=O)(O)[O-]
Siroheme C42H36FeN4O16	CC1(C(C2=NC1=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=C2)[N-]5)CC(=O)[O-])CCC(=O)[O-])CCC(=O)[O-])CC(=O)[O-])C(C3CCC(=O)[O-])(C)CC(=O)[O-])CCC(=O)[O-])CC(=O)[O-].[Fe+2]
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine	C(C1C(C(C(O1)[NH+]=C(CNC=O)N)O)O)OP(=O)([O-])[O-]
1-(5-Phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide	C1=NC(=C(N1C2C(C(C(O2)COP(=O)([O-])[O-])O)O)NC=NC3C(C(C(O3)COP(=O)([O-])[O-])O)O)C(=O)N
