Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
NZ_CP130429.1	191	733		minus	DUF501 domain-containing protein			protein-coding			WP_055864616.1	DUF501 domain-containing protein	180	QYR02_RS00010
NZ_CP130429.1	780	1358		minus	FtsB family cell division protein			protein-coding			WP_200942432.1	FtsB family cell division protein	192	QYR02_RS00015
NZ_CP130429.1	1435	2715		minus	phosphopyruvate hydratase	eno		protein-coding			WP_055864618.1	phosphopyruvate hydratase	426	QYR02_RS00020
NZ_CP130429.1	2848	3507		minus	O-methyltransferase			protein-coding			WP_141386712.1	O-methyltransferase	219	QYR02_RS00025
NZ_CP130429.1	3539	4489		minus	CPBP family intramembrane glutamic endopeptidase			protein-coding			WP_302792977.1	CPBP family intramembrane glutamic endopeptidase	316	QYR02_RS00030
NZ_CP130429.1	4486	5556		minus	DUF1648 domain-containing protein			protein-coding			WP_302792978.1	DUF1648 domain-containing protein	356	QYR02_RS00035
NZ_CP130429.1	5553	5951		minus	GntR family transcriptional regulator			protein-coding			WP_055864631.1	GntR family transcriptional regulator	132	QYR02_RS00040
NZ_CP130429.1	6060	6530		plus	PaaI family thioesterase			protein-coding			WP_017828732.1	PaaI family thioesterase	156	QYR02_RS00045
NZ_CP130429.1	6511	7509		minus	LacI family DNA-binding transcriptional regulator			protein-coding			WP_302792979.1	LacI family DNA-binding transcriptional regulator	332	QYR02_RS00050
NZ_CP130429.1	7613	8623		plus	alpha/beta hydrolase			protein-coding			WP_055873462.1	alpha/beta hydrolase	336	QYR02_RS00055
NZ_CP130429.1	8620	9636		plus	alpha/beta hydrolase			protein-coding			WP_055873465.1	alpha/beta hydrolase	338	QYR02_RS00060
NZ_CP130429.1	9672	10970		plus	MFS transporter			protein-coding			WP_055875937.1	MFS transporter	432	QYR02_RS00065
NZ_CP130429.1	10967	12652		plus	CocE/NonD family hydrolase			protein-coding			WP_055873468.1	CocE/NonD family hydrolase	561	QYR02_RS00070
NZ_CP130429.1	12657	13886		plus	APC family permease			protein-coding			WP_055873471.1	APC family permease	409	QYR02_RS00075
NZ_CP130429.1	13924	14718		minus	AraC family transcriptional regulator			protein-coding			WP_055873474.1	AraC family transcriptional regulator	264	QYR02_RS00080
NZ_CP130429.1	14806	15351		plus	VOC family protein			protein-coding			WP_055873477.1	VOC family protein	181	QYR02_RS00085
NZ_CP130429.1	15320	16114		minus	SGNH/GDSL hydrolase family protein			protein-coding			WP_151486640.1	SGNH/GDSL hydrolase family protein	264	QYR02_RS00090
NZ_CP130429.1	16338	17588		minus	histidine--tRNA ligase	hisS		protein-coding			WP_055873483.1	histidine--tRNA ligase	416	QYR02_RS00095
NZ_CP130429.1	17657	18331		minus	MazG family protein			protein-coding			WP_055873486.1	MazG family protein	224	QYR02_RS00100
NZ_CP130429.1	18368	19537		minus	Na+/H+ antiporter NhaA	nhaA		protein-coding			WP_055864677.1	Na+/H+ antiporter NhaA	389	QYR02_RS00105
NZ_CP130429.1	19649	22342		plus	phosphoenolpyruvate carboxylase			protein-coding			WP_055873489.1	phosphoenolpyruvate carboxylase	897	QYR02_RS00110
NZ_CP130429.1	22475	23845		plus	NADP-specific glutamate dehydrogenase	gdhA		protein-coding			WP_017828746.1	NADP-specific glutamate dehydrogenase	456	QYR02_RS00115
NZ_CP130429.1	23930	25357		minus	APC family permease			protein-coding			WP_235562436.1	APC family permease	475	QYR02_RS00120
NZ_CP130429.1	25517	28486		minus	aminotransferase			protein-coding			WP_055873492.1	aminotransferase	989	QYR02_RS00125
NZ_CP130429.1	28483	29109		minus	gamma carbonic anhydrase family protein			protein-coding			WP_017828749.1	gamma carbonic anhydrase family protein	208	QYR02_RS00130
NZ_CP130429.1	29144	32719		minus	transcription-repair coupling factor	mfd		protein-coding			WP_055873494.1	transcription-repair coupling factor	1191	QYR02_RS00135
NZ_CP130429.1	32797	33360		plus	GNAT family N-acetyltransferase			protein-coding			WP_055864695.1	GNAT family N-acetyltransferase	187	QYR02_RS00140
NZ_CP130429.1	33442	34305		plus	Fpg/Nei family DNA glycosylase			protein-coding			WP_055873497.1	Fpg/Nei family DNA glycosylase	287	QYR02_RS00145
NZ_CP130429.1	34591	35634		plus	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD	ribD		protein-coding			WP_055873500.1	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD	347	QYR02_RS00150
NZ_CP130429.1	35634	36263		plus	riboflavin synthase			protein-coding			WP_055864704.1	riboflavin synthase	209	QYR02_RS00155
NZ_CP130429.1	36260	37528		plus	bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II			protein-coding			WP_055864707.1	bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II	422	QYR02_RS00160
NZ_CP130429.1	37525	37998		plus	6,7-dimethyl-8-ribityllumazine synthase	ribH		protein-coding			WP_055864713.1	6,7-dimethyl-8-ribityllumazine synthase	157	QYR02_RS00165
NZ_CP130429.1	38052	38405		plus	hypothetical protein			protein-coding			WP_017828757.1	hypothetical protein	117	QYR02_RS00170
NZ_CP130429.1	38460	39446		minus	LacI family DNA-binding transcriptional regulator			protein-coding			WP_275093845.1	LacI family DNA-binding transcriptional regulator	328	QYR02_RS00175
NZ_CP130429.1	39606	40523		plus	carbohydrate ABC transporter permease			protein-coding			WP_017828770.1	carbohydrate ABC transporter permease	305	QYR02_RS00180
NZ_CP130429.1	40570	41415		plus	carbohydrate ABC transporter permease			protein-coding			WP_017828771.1	carbohydrate ABC transporter permease	281	QYR02_RS00185
NZ_CP130429.1	41485	42840		plus	ABC transporter substrate-binding protein			protein-coding			WP_055873532.1	ABC transporter substrate-binding protein	451	QYR02_RS00190
NZ_CP130429.1	42925	44694		plus	glycoside hydrolase family 35 protein			protein-coding			WP_302792980.1	glycoside hydrolase family 35 protein	589	QYR02_RS00195
NZ_CP130429.1	44810	46270		plus	MFS transporter			protein-coding			WP_055864728.1	MFS transporter	486	QYR02_RS00200
NZ_CP130429.1	46370	46894		minus	HAD-IA family hydrolase			protein-coding			WP_302792981.1	HAD-IA family hydrolase	174	QYR02_RS00205
NZ_CP130429.1	47068	47274		plus	transcriptional regulator			protein-coding			WP_082531360.1	transcriptional regulator	68	QYR02_RS00210
NZ_CP130429.1	47352	49238		plus	ABC transporter ATP-binding protein			protein-coding			WP_302792982.1	ABC transporter ATP-binding protein	628	QYR02_RS00215
NZ_CP130429.1	49382	51244		minus	phosphoenolpyruvate carboxykinase (GTP)			protein-coding			WP_055864739.1	phosphoenolpyruvate carboxykinase (GTP)	620	QYR02_RS00220
NZ_CP130429.1	51357	52799		plus	helix-turn-helix transcriptional regulator			protein-coding			WP_017828778.1	helix-turn-helix transcriptional regulator	480	QYR02_RS00225
NZ_CP130429.1	52929	53975		minus	winged helix DNA-binding domain-containing protein			protein-coding			WP_302792983.1	winged helix DNA-binding domain-containing protein	348	QYR02_RS00230
NZ_CP130429.1	54020	55468		minus	glyceraldehyde-3-phosphate dehydrogenase			protein-coding			WP_055873543.1	glyceraldehyde-3-phosphate dehydrogenase	482	QYR02_RS00235
NZ_CP130429.1	55663	56031		plus	DMT family transporter			protein-coding			WP_055864747.1	DMT family transporter	122	QYR02_RS00240
NZ_CP130429.1	56028	56351		plus	DMT family transporter			protein-coding			WP_017828782.1	DMT family transporter	107	QYR02_RS00245
NZ_CP130429.1	56424	57770		plus	amidohydrolase			protein-coding			WP_302792984.1	amidohydrolase	448	QYR02_RS00250
NZ_CP130429.1	57957	58946		minus	methyltransferase family protein			protein-coding			WP_302792985.1	methyltransferase family protein	329	QYR02_RS00255
NZ_CP130429.1	59018	59716		minus	alpha/beta fold hydrolase			protein-coding			WP_302792986.1	alpha/beta fold hydrolase	232	QYR02_RS00260
NZ_CP130429.1	59751	60338		minus	TetR/AcrR family transcriptional regulator			protein-coding			WP_017828786.1	TetR/AcrR family transcriptional regulator	195	QYR02_RS00265
NZ_CP130429.1	60386	61219		minus	ATP-binding cassette domain-containing protein			protein-coding			WP_288967715.1	ATP-binding cassette domain-containing protein	277	QYR02_RS00270
NZ_CP130429.1	61216	63000		minus	dipeptide/oligopeptide/nickel ABC transporter permease/ATP-binding protein			protein-coding			WP_302792987.1	dipeptide/oligopeptide/nickel ABC transporter permease/ATP-binding protein	594	QYR02_RS00275
NZ_CP130429.1	62997	63938		minus	ABC transporter permease			protein-coding			WP_302792988.1	ABC transporter permease	313	QYR02_RS00280
NZ_CP130429.1	64015	65544		minus	ABC transporter substrate-binding protein			protein-coding			WP_288967858.1	ABC transporter substrate-binding protein	509	QYR02_RS00285
NZ_CP130429.1	65860	67200		minus	HNH endonuclease signature motif containing protein			protein-coding			WP_302792989.1	HNH endonuclease signature motif containing protein	446	QYR02_RS00290
NZ_CP130429.1	67343	67723		plus	DUF4259 domain-containing protein			protein-coding			WP_055873567.1	DUF4259 domain-containing protein	126	QYR02_RS00295
NZ_CP130429.1	67730	68692		minus	aldo/keto reductase			protein-coding			WP_302792990.1	aldo/keto reductase	320	QYR02_RS00300
NZ_CP130429.1	68792	69526		plus	SDR family NAD(P)-dependent oxidoreductase			protein-coding			WP_055873573.1	SDR family NAD(P)-dependent oxidoreductase	244	QYR02_RS00305
NZ_CP130429.1	69548	70672		plus	zinc-binding dehydrogenase			protein-coding			WP_302792991.1	zinc-binding dehydrogenase	374	QYR02_RS00310
NZ_CP130429.1	70669	71628		plus	aldo/keto reductase			protein-coding			WP_302792992.1	aldo/keto reductase	319	QYR02_RS00315
NZ_CP130429.1	71662	72660		plus	alpha/beta hydrolase fold domain-containing protein			protein-coding			WP_302792993.1	alpha/beta hydrolase fold domain-containing protein	332	QYR02_RS00320
NZ_CP130429.1	72657	73640		plus	alpha/beta hydrolase			protein-coding			WP_302792994.1	alpha/beta hydrolase	327	QYR02_RS00325
NZ_CP130429.1	73637	74854		plus	multidrug effflux MFS transporter			protein-coding			WP_235563107.1	multidrug effflux MFS transporter	405	QYR02_RS00330
NZ_CP130429.1	74866	75408		minus	hypothetical protein			protein-coding			WP_302792995.1	hypothetical protein	180	QYR02_RS00335
NZ_CP130429.1	75475	76059		plus	TetR/AcrR family transcriptional regulator			protein-coding			WP_302792996.1	TetR/AcrR family transcriptional regulator	194	QYR02_RS00340
NZ_CP130429.1	76163	78151		plus	primary-amine oxidase			protein-coding			WP_302792997.1	primary-amine oxidase	662	QYR02_RS00345
NZ_CP130429.1	78233	78898		minus	SDR family oxidoreductase			protein-coding			WP_055873600.1	SDR family oxidoreductase	221	QYR02_RS00350
NZ_CP130429.1	78939	79874		minus	N-acetylmuramic acid 6-phosphate etherase	murQ		protein-coding			WP_055873602.1	N-acetylmuramic acid 6-phosphate etherase	311	QYR02_RS00355
NZ_CP130429.1	79864	80757		minus	BadF/BadG/BcrA/BcrD ATPase family protein			protein-coding			WP_055873605.1	BadF/BadG/BcrA/BcrD ATPase family protein	297	QYR02_RS00360
NZ_CP130429.1	80855	81712		plus	MurR/RpiR family transcriptional regulator			protein-coding			WP_288969386.1	MurR/RpiR family transcriptional regulator	285	QYR02_RS00365
NZ_CP130429.1	81827	82942		minus	substrate-binding domain-containing protein			protein-coding			WP_055864815.1	substrate-binding domain-containing protein	371	QYR02_RS00370
NZ_CP130429.1	83002	84372		minus	multiple monosaccharide ABC transporter permease	mmsB		protein-coding			WP_302792998.1	multiple monosaccharide ABC transporter permease	456	QYR02_RS00375
NZ_CP130429.1	84369	85850		minus	uncharacterized gene	mmsA		pseudogene						QYR02_RS00380
NZ_CP130429.1	86095	87108		minus	LacI family DNA-binding transcriptional regulator			protein-coding			WP_017828810.1	LacI family DNA-binding transcriptional regulator	337	QYR02_RS00385
NZ_CP130429.1	87289	88773		plus	amidohydrolase family protein			protein-coding			WP_302792999.1	amidohydrolase family protein	494	QYR02_RS00390
NZ_CP130429.1	88770	90101		plus	serine hydrolase domain-containing protein			protein-coding			WP_302793000.1	serine hydrolase domain-containing protein	443	QYR02_RS00395
NZ_CP130429.1	90243	91631		plus	serine hydrolase domain-containing protein			protein-coding			WP_288969394.1	serine hydrolase domain-containing protein	462	QYR02_RS00400
NZ_CP130429.1	91628	92551		plus	serine hydrolase			protein-coding			WP_302793001.1	serine hydrolase	307	QYR02_RS00405
NZ_CP130429.1	92627	94222		plus	ABC transporter substrate-binding protein			protein-coding			WP_055864833.1	ABC transporter substrate-binding protein	531	QYR02_RS00410
NZ_CP130429.1	94244	95242		plus	ABC transporter permease			protein-coding			WP_055864836.1	ABC transporter permease	332	QYR02_RS00415
NZ_CP130429.1	95239	97170		plus	dipeptide/oligopeptide/nickel ABC transporter permease/ATP-binding protein			protein-coding			WP_302793002.1	dipeptide/oligopeptide/nickel ABC transporter permease/ATP-binding protein	643	QYR02_RS00420
