Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
NZ_CP130430.1	327	1373	1	minus	ABC transporter ATP-binding protein			protein-coding			WP_029928672.1	ABC transporter ATP-binding protein	348	QYR01_RS00010
NZ_CP130430.1	1741	2571	1	plus	IclR family transcriptional regulator			protein-coding			WP_010660553.1	IclR family transcriptional regulator	276	QYR01_RS00015
NZ_CP130430.1	2758	3864	1	plus	BMP family ABC transporter substrate-binding protein			protein-coding			WP_010660552.1	BMP family ABC transporter substrate-binding protein	368	QYR01_RS00020
NZ_CP130430.1	3867	5438	1	plus	ABC transporter ATP-binding protein			protein-coding			WP_010660551.1	ABC transporter ATP-binding protein	523	QYR01_RS00025
NZ_CP130430.1	5500	6591	1	plus	ABC transporter permease			protein-coding			WP_010660550.1	ABC transporter permease	363	QYR01_RS00030
NZ_CP130430.1	6588	7484	1	plus	ABC transporter permease			protein-coding			WP_010660549.1	ABC transporter permease	298	QYR01_RS00035
NZ_CP130430.1	7507	8892	1	plus	ADP-ribosylglycohydrolase family protein			protein-coding			WP_029376160.1	ADP-ribosylglycohydrolase family protein	461	QYR01_RS00040
NZ_CP130430.1	8915	9850	1	plus	nucleoside hydrolase			protein-coding			WP_029376159.1	nucleoside hydrolase	311	QYR01_RS00045
NZ_CP130430.1	10039	10977	1	minus	ribokinase	rbsK		protein-coding			WP_010660546.1	ribokinase	312	QYR01_RS00050
NZ_CP130430.1	11207	11479	1	plus	hypothetical protein			protein-coding			WP_010660545.1	hypothetical protein	90	QYR01_RS00055
NZ_CP130430.1	11559	12923	1	minus	esterase-like activity of phytase family protein			protein-coding			WP_010660544.1	esterase-like activity of phytase family protein	454	QYR01_RS00060
NZ_CP130430.1	13054	15045	1	minus	PhoX family protein			protein-coding			WP_010660543.1	PhoX family protein	663	QYR01_RS00065
NZ_CP130430.1	15323	15676	1	plus	hypothetical protein			protein-coding			WP_010660542.1	hypothetical protein	117	QYR01_RS00070
NZ_CP130430.1	15856	17052	1	plus	MFS transporter			protein-coding			WP_010660541.1	MFS transporter	398	QYR01_RS00075
NZ_CP130430.1	17057	17716	1	minus	adenosylcobinamide amidohydrolase			protein-coding			WP_010660540.1	adenosylcobinamide amidohydrolase	219	QYR01_RS00080
NZ_CP130430.1	17917	18093	1	plus	hypothetical protein			protein-coding			WP_158304336.1	hypothetical protein	58	QYR01_RS00085
NZ_CP130430.1	18368	19549	1	minus	plasmid replication protein RepC	repC		protein-coding			WP_010660539.1	plasmid replication protein RepC	393	QYR01_RS00090
NZ_CP130430.1	19903	20889	1	minus	plasmid partitioning protein RepB	repB		protein-coding			WP_010660538.1	plasmid partitioning protein RepB	328	QYR01_RS00095
NZ_CP130430.1	20954	22150	1	minus	plasmid partitioning protein RepA	repA		protein-coding			WP_010660537.1	plasmid partitioning protein RepA	398	QYR01_RS00100
NZ_CP130430.1	23415	24467	1	minus	helix-turn-helix domain-containing protein			protein-coding			WP_010660535.1	helix-turn-helix domain-containing protein	350	QYR01_RS00105
NZ_CP130430.1	24543	24743	1	minus	hypothetical protein			protein-coding			WP_146113249.1	hypothetical protein	66	QYR01_RS00110
NZ_CP130430.1	25046	25321	1	plus	hypothetical protein			protein-coding			WP_010660533.1	hypothetical protein	91	QYR01_RS00115
NZ_CP130430.1	25536	26690	1	minus	nucleoside hydrolase			protein-coding			WP_235691813.1	nucleoside hydrolase	384	QYR01_RS00120
NZ_CP130430.1	28176	29246	1	plus	LacI family DNA-binding transcriptional regulator			protein-coding			WP_010660529.1	LacI family DNA-binding transcriptional regulator	356	QYR01_RS00125
NZ_CP130430.1	29366	30112	1	plus	transporter substrate-binding domain-containing protein			protein-coding			WP_010660528.1	transporter substrate-binding domain-containing protein	248	QYR01_RS00130
NZ_CP130430.1	30329	31975	1	plus	amino acid ABC transporter permease			protein-coding			WP_010660527.1	amino acid ABC transporter permease	548	QYR01_RS00135
NZ_CP130430.1	31953	33368	1	plus	GH1 family beta-glucosidase			protein-coding			WP_235691806.1	GH1 family beta-glucosidase	471	QYR01_RS00140
NZ_CP130430.1	33361	34047	1	plus	SDR family oxidoreductase			protein-coding			WP_010660525.1	SDR family oxidoreductase	228	QYR01_RS00145
NZ_CP130430.1	34832	37888	1	plus	autotransporter family protein			protein-coding			WP_010660524.1	autotransporter family protein	1018	QYR01_RS00150
NZ_CP130430.1	38068	39294	1	minus	M24 family metallopeptidase			protein-coding			WP_010660523.1	M24 family metallopeptidase	408	QYR01_RS00155
NZ_CP130430.1	39513	41036	1	plus	ABC transporter substrate-binding protein			protein-coding			WP_010660522.1	ABC transporter substrate-binding protein	507	QYR01_RS00160
NZ_CP130430.1	41194	42126	1	plus	ABC transporter permease			protein-coding			WP_010660521.1	ABC transporter permease	310	QYR01_RS00165
NZ_CP130430.1	42123	42989	1	plus	ABC transporter permease			protein-coding			WP_010660520.1	ABC transporter permease	288	QYR01_RS00170
NZ_CP130430.1	42986	43795	1	plus	ATP-binding cassette domain-containing protein			protein-coding			WP_302701141.1	ATP-binding cassette domain-containing protein	269	QYR01_RS00175
NZ_CP130430.1	43792	44544	1	plus	ABC transporter ATP-binding protein			protein-coding			WP_010660518.1	ABC transporter ATP-binding protein	250	QYR01_RS00180
NZ_CP130430.1	44859	45362	1	plus	RNA polymerase sigma factor			protein-coding			WP_010660517.1	RNA polymerase sigma factor	167	QYR01_RS00185
NZ_CP130430.1	45389	46333	1	plus	FecR family protein			protein-coding			WP_010660516.1	FecR family protein	314	QYR01_RS00190
NZ_CP130430.1	46485	48938	1	plus	TonB-dependent siderophore receptor			protein-coding			WP_302701142.1	TonB-dependent siderophore receptor	817	QYR01_RS00195
NZ_CP130430.1	48949	49842	1	plus	ABC transporter substrate-binding protein			protein-coding			WP_226622698.1	ABC transporter substrate-binding protein	297	QYR01_RS00200
NZ_CP130430.1	49839	51836	1	plus	Fe(3+)-hydroxamate ABC transporter permease FhuB	fhuB		protein-coding			WP_010660513.1	Fe(3+)-hydroxamate ABC transporter permease FhuB	665	QYR01_RS00205
NZ_CP130430.1	52124	53020	1	plus	LysR family transcriptional regulator			protein-coding			WP_010660512.1	LysR family transcriptional regulator	298	QYR01_RS00210
NZ_CP130430.1	53045	53311	1	minus	CBU_0592 family membrane protein			protein-coding			WP_010660511.1	CBU_0592 family membrane protein	88	QYR01_RS00215
NZ_CP130430.1	53561	55138	1	plus	ABC transporter substrate-binding protein			protein-coding			WP_010660510.1	ABC transporter substrate-binding protein	525	QYR01_RS00220
NZ_CP130430.1	55138	56085	1	plus	ABC transporter permease			protein-coding			WP_010660509.1	ABC transporter permease	315	QYR01_RS00225
NZ_CP130430.1	56082	56900	1	plus	ABC transporter permease			protein-coding			WP_010660508.1	ABC transporter permease	272	QYR01_RS00230
NZ_CP130430.1	56897	58504	1	plus	ABC transporter ATP-binding protein			protein-coding			WP_010660507.1	ABC transporter ATP-binding protein	535	QYR01_RS00235
NZ_CP130430.1	58563	60569	1	plus	CocE/NonD family hydrolase			protein-coding			WP_010660506.1	CocE/NonD family hydrolase	668	QYR01_RS00240
NZ_CP130430.1	60653	62209	1	minus	calcium-binding protein			protein-coding			WP_010660505.1	calcium-binding protein	518	QYR01_RS00245
NZ_CP130430.1	62540	63448	1	plus	LysR family transcriptional regulator			protein-coding			WP_010660504.1	LysR family transcriptional regulator	302	QYR01_RS00250
