Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
CP129667.1	1040	1375	1	minus	Na+/H+ antiporter subunit C			protein-coding			WKL20209.1	Na+/H+ antiporter subunit C	111	QYR00_00010
CP129667.1	1375	4293	1	minus	monovalent cation/H+ antiporter subunit A			protein-coding			WKL20210.1	monovalent cation/H+ antiporter subunit A	972	QYR00_00015
CP129667.1	4400	4741	1	minus	hypothetical protein			protein-coding			WKL20211.1	hypothetical protein	113	QYR00_00020
CP129667.1	5346	6890	1	plus	globin-coupled sensor protein			protein-coding			WKL20212.1	globin-coupled sensor protein	514	QYR00_00025
CP129667.1	6890	7189	1	plus	STAS domain-containing protein			protein-coding			WKL20213.1	STAS domain-containing protein	99	QYR00_00030
CP129667.1	7186	7551	1	plus	chemotaxis response regulator CheY1	cheY1		protein-coding			WKL20214.1	chemotaxis response regulator CheY1	121	QYR00_00035
CP129667.1	7568	9835	1	plus	chemotaxis protein CheA			protein-coding			WKL20215.1	chemotaxis protein CheA	755	QYR00_00040
CP129667.1	9849	10757	1	plus	protein-glutamate O-methyltransferase CheR	cheR		protein-coding			WKL20216.1	protein-glutamate O-methyltransferase CheR	302	QYR00_00045
CP129667.1	10754	11809	1	plus	protein-glutamate O-methylesterase CheB	cheB		protein-coding			WKL20217.1	protein-glutamate O-methylesterase CheB	351	QYR00_00050
CP129667.1	11809	12198	1	plus	chemotaxis response regulator CheY2	cheY2		protein-coding			WKL20218.1	chemotaxis response regulator CheY2	129	QYR00_00055
CP129667.1	12195	12740	1	plus	chemoreceptor glutamine deamidase CheD	cheD		protein-coding			WKL20219.1	chemoreceptor glutamine deamidase CheD	181	QYR00_00060
CP129667.1	12755	13138	1	plus	hypothetical protein			protein-coding			WKL20220.1	hypothetical protein	127	QYR00_00065
CP129667.1	13267	14949	1	plus	flagellar basal-body MS-ring/collar protein FliF	fliF		protein-coding			WKL20221.1	flagellar basal-body MS-ring/collar protein FliF	560	QYR00_00070
CP129667.1	15320	16051	1	plus	helix-turn-helix transcriptional regulator			protein-coding			WKL20222.1	helix-turn-helix transcriptional regulator	243	QYR00_00075
CP129667.1	16104	16805	1	plus	helix-turn-helix transcriptional regulator			protein-coding			WKL21686.1	helix-turn-helix transcriptional regulator	233	QYR00_00080
CP129667.1	16963	18810	1	plus	methyl-accepting chemotaxis protein			protein-coding			WKL20223.1	methyl-accepting chemotaxis protein	615	QYR00_00085
CP129667.1	19024	22533	1	minus	PAS domain-containing hybrid sensor histidine kinase/response regulator			protein-coding			WKL20224.1	PAS domain-containing hybrid sensor histidine kinase/response regulator	1169	QYR00_00090
CP129667.1	22817	23245	1	plus	large conductance mechanosensitive channel protein MscL	mscL		protein-coding			WKL20225.1	large conductance mechanosensitive channel protein MscL	142	QYR00_00095
CP129667.1	23399	24565	1	plus	pyridoxal phosphate-dependent aminotransferase			protein-coding			WKL20226.1	pyridoxal phosphate-dependent aminotransferase	388	QYR00_00100
CP129667.1	24881	25912	1	plus	UDP-glucose 4-epimerase GalE	galE		protein-coding			WKL20227.1	UDP-glucose 4-epimerase GalE	343	QYR00_00105
CP129667.1	25942	26757	1	minus	DUF6030 family protein			protein-coding			WKL20228.1	DUF6030 family protein	271	QYR00_00110
CP129667.1	26906	27133	1	minus	DNA gyrase inhibitor YacG	yacG		protein-coding			WKL20229.1	DNA gyrase inhibitor YacG	75	QYR00_00115
CP129667.1	27137	27760	1	minus	Maf-like protein			protein-coding			WKL20230.1	Maf-like protein	207	QYR00_00120
CP129667.1	27793	28011	1	minus	translation initiation factor IF-1	infA		protein-coding			WKL20231.1	translation initiation factor IF-1	72	QYR00_00125
CP129667.1	28155	28643	1	minus	low molecular weight phosphatase family protein			protein-coding			WKL20232.1	low molecular weight phosphatase family protein	162	QYR00_00130
CP129667.1	28646	29119	1	minus	UPF0262 family protein			protein-coding			WKL20233.1	UPF0262 family protein	157	QYR00_00135
CP129667.1	29123	30421	1	minus	histidinol dehydrogenase	hisD		protein-coding			WKL20234.1	histidinol dehydrogenase	432	QYR00_00140
CP129667.1	30556	30996	1	minus	DUF2948 family protein			protein-coding			WKL20235.1	DUF2948 family protein	146	QYR00_00145
CP129667.1	31111	32403	1	minus	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	murA		protein-coding			WKL20236.1	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	430	QYR00_00150
CP129667.1	32506	32772	1	minus	hypothetical protein			protein-coding			WKL20237.1	hypothetical protein	88	QYR00_00155
CP129667.1	32928	33002	1	plus	tRNA-Thr			tRNA						QYR00_00160
CP129667.1	33208	34539	1	minus	flagellin			protein-coding			WKL20238.1	flagellin	443	QYR00_00165
CP129667.1	34799	35986	1	minus	flagellin			protein-coding			WKL20239.1	flagellin	395	QYR00_00170
CP129667.1	36388	37575	1	minus	flagellin			protein-coding			WKL20240.1	flagellin	395	QYR00_00175
CP129667.1	37948	38685	1	minus	flagellar type III secretion system pore protein FliP	fliP		protein-coding			WKL20241.1	flagellar type III secretion system pore protein FliP	245	QYR00_00180
CP129667.1	38682	39188	1	minus	flagellar basal body-associated FliL family protein			protein-coding			WKL20242.1	flagellar basal body-associated FliL family protein	168	QYR00_00185
CP129667.1	39217	39933	1	minus	flagellar basal body L-ring protein FlgH	flgH		protein-coding			WKL20243.1	flagellar basal body L-ring protein FlgH	238	QYR00_00190
CP129667.1	39930	40466	1	minus	MotE family protein			protein-coding			WKL20244.1	MotE family protein	178	QYR00_00195
CP129667.1	40463	41584	1	minus	flagellar basal body P-ring protein FlgI			protein-coding			WKL20245.1	flagellar basal body P-ring protein FlgI	373	QYR00_00200
CP129667.1	41581	42069	1	minus	flagellar basal body P-ring formation chaperone FlgA	flgA		protein-coding			WKL20246.1	flagellar basal body P-ring formation chaperone FlgA	162	QYR00_00205
CP129667.1	42090	42878	1	minus	flagellar basal-body rod protein FlgG	flgG		protein-coding			WKL20247.1	flagellar basal-body rod protein FlgG	262	QYR00_00210
CP129667.1	42897	43235	1	minus	flagellar hook-basal body complex protein FliE			protein-coding			WKL20248.1	flagellar hook-basal body complex protein FliE	112	QYR00_00215
CP129667.1	43232	43651	1	minus	flagellar basal body rod protein FlgC	flgC		protein-coding			WKL20249.1	flagellar basal body rod protein FlgC	139	QYR00_00220
CP129667.1	43655	44047	1	minus	flagellar basal body rod protein FlgB	flgB		protein-coding			WKL20250.1	flagellar basal body rod protein FlgB	130	QYR00_00225
CP129667.1	44384	44932	1	minus	hypothetical protein			protein-coding			WKL21687.1	hypothetical protein	182	QYR00_00230
CP129667.1	44951	46357	1	minus	flagellar protein export ATPase FliI	fliI		protein-coding			WKL20251.1	flagellar protein export ATPase FliI	468	QYR00_00235
CP129667.1	46369	47103	1	minus	flagellar basal-body rod protein FlgF	flgF		protein-coding			WKL20252.1	flagellar basal-body rod protein FlgF	244	QYR00_00240
CP129667.1	47105	47884	1	minus	DUF1217 domain-containing protein			protein-coding			WKL21688.1	DUF1217 domain-containing protein	259	QYR00_00245
CP129667.1	48070	48942	1	plus	flagellar motor stator protein MotA	motA		protein-coding			WKL20253.1	flagellar motor stator protein MotA	290	QYR00_00250
CP129667.1	48939	49898	1	plus	FliM/FliN family flagellar motor switch protein			protein-coding			WKL20254.1	FliM/FliN family flagellar motor switch protein	319	QYR00_00255
CP129667.1	49963	50502	1	plus	flagellar motor switch protein FliN	fliN		protein-coding			WKL20255.1	flagellar motor switch protein FliN	179	QYR00_00260
