Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
NZ_CP129672.1	806	4060		plus	efflux RND transporter permease subunit			protein-coding			WP_302090857.1	efflux RND transporter permease subunit	1084	QYQ99_RS00010
NZ_CP129672.1	4083	4793		plus	protein-L-isoaspartate O-methyltransferase family protein			protein-coding			WP_114862508.1	protein-L-isoaspartate O-methyltransferase family protein	236	QYQ99_RS00015
NZ_CP129672.1	4910	5257		plus	rhodanese-like domain-containing protein			protein-coding			WP_182287019.1	rhodanese-like domain-containing protein	115	QYQ99_RS00020
NZ_CP129672.1	5330	6787		plus	TolC family outer membrane protein			protein-coding			WP_302090858.1	TolC family outer membrane protein	485	QYQ99_RS00025
NZ_CP129672.1	6922	8223		minus	3-deoxy-D-manno-octulosonic acid transferase			protein-coding			WP_302090859.1	3-deoxy-D-manno-octulosonic acid transferase	433	QYQ99_RS00030
NZ_CP129672.1	8242	9630		minus	phosphomannomutase/phosphoglucomutase			protein-coding			WP_302090860.1	phosphomannomutase/phosphoglucomutase	462	QYQ99_RS00035
NZ_CP129672.1	9833	11725		minus	propionate--CoA ligase			protein-coding			WP_302090861.1	propionate--CoA ligase	630	QYQ99_RS00040
NZ_CP129672.1	12089	12691		minus	isochorismatase family protein			protein-coding			WP_302090862.1	isochorismatase family protein	200	QYQ99_RS00045
NZ_CP129672.1	12715	12939		minus	hypothetical protein			protein-coding			WP_302090863.1	hypothetical protein	74	QYQ99_RS00050
NZ_CP129672.1	13065	13691		plus	C40 family peptidase			protein-coding			WP_034349623.1	C40 family peptidase	208	QYQ99_RS00055
NZ_CP129672.1	13889	14140		plus	GlsB/YeaQ/YmgE family stress response membrane protein			protein-coding			WP_003079200.1	GlsB/YeaQ/YmgE family stress response membrane protein	83	QYQ99_RS00060
NZ_CP129672.1	14207	14812		plus	hypothetical protein			protein-coding			WP_302090864.1	hypothetical protein	201	QYQ99_RS00065
NZ_CP129672.1	14843	15331		plus	EVE domain-containing protein			protein-coding			WP_302090865.1	EVE domain-containing protein	162	QYQ99_RS00070
NZ_CP129672.1	15648	17033		plus	APC family permease			protein-coding			WP_302090866.1	APC family permease	461	QYQ99_RS00075
NZ_CP129672.1	17149	18219		plus	FUSC family protein			protein-coding			WP_302090867.1	FUSC family protein	356	QYQ99_RS00080
NZ_CP129672.1	18268	20022		minus	amidohydrolase			protein-coding			WP_367882864.1	amidohydrolase	584	QYQ99_RS00085
NZ_CP129672.1	20189	21409		minus	MFS transporter			protein-coding			WP_302093290.1	MFS transporter	406	QYQ99_RS00090
NZ_CP129672.1	21730	22569		minus	aldo/keto reductase			protein-coding			WP_302090869.1	aldo/keto reductase	279	QYQ99_RS00095
NZ_CP129672.1	22784	23635		plus	DUF2167 domain-containing protein			protein-coding			WP_302090870.1	DUF2167 domain-containing protein	283	QYQ99_RS00100
NZ_CP129672.1	23723	24475		plus	hypothetical protein			protein-coding			WP_302090871.1	hypothetical protein	250	QYQ99_RS00105
NZ_CP129672.1	24538	24852		plus	DUF2322 family protein			protein-coding			WP_034376060.1	DUF2322 family protein	104	QYQ99_RS00110
NZ_CP129672.1	24859	26088		minus	GGDEF domain-containing protein			protein-coding			WP_302090872.1	GGDEF domain-containing protein	409	QYQ99_RS00115
NZ_CP129672.1	26262	27422		minus	YbdK family carboxylate-amine ligase			protein-coding			WP_302090873.1	YbdK family carboxylate-amine ligase	386	QYQ99_RS00120
NZ_CP129672.1	27412	28695		minus	cation:proton antiporter domain-containing protein			protein-coding			WP_302090874.1	cation:proton antiporter domain-containing protein	427	QYQ99_RS00125
NZ_CP129672.1	29093	30268		minus	M20 aminoacylase family protein			protein-coding			WP_302090875.1	M20 aminoacylase family protein	391	QYQ99_RS00130
NZ_CP129672.1	30284	31627		minus	DUF3100 domain-containing protein			protein-coding			WP_302090876.1	DUF3100 domain-containing protein	447	QYQ99_RS00135
NZ_CP129672.1	31805	32755		plus	LysR family transcriptional regulator			protein-coding			WP_367882837.1	LysR family transcriptional regulator	316	QYQ99_RS00140
NZ_CP129672.1	32953	33594		plus	VOC family protein			protein-coding			WP_302090878.1	VOC family protein	213	QYQ99_RS00145
NZ_CP129672.1	33702	34769		plus	AAA family ATPase			protein-coding			WP_302090879.1	AAA family ATPase	355	QYQ99_RS00150
NZ_CP129672.1	34769	36625		plus	vWA domain-containing protein			protein-coding			WP_302090880.1	vWA domain-containing protein	618	QYQ99_RS00155
NZ_CP129672.1	36635	37036		minus	DUF4440 domain-containing protein			protein-coding			WP_302090881.1	DUF4440 domain-containing protein	133	QYQ99_RS00160
NZ_CP129672.1	37033	38391		minus	MFS transporter			protein-coding			WP_302090882.1	MFS transporter	452	QYQ99_RS00165
NZ_CP129672.1	38480	39391		plus	LysR family transcriptional regulator			protein-coding			WP_302090883.1	LysR family transcriptional regulator	303	QYQ99_RS00170
NZ_CP129672.1	39588	39944		plus	zinc ribbon domain-containing protein YjdM			protein-coding			WP_046462443.1	zinc ribbon domain-containing protein YjdM	118	QYQ99_RS00175
NZ_CP129672.1	40707	42077		plus	MFS transporter			protein-coding			WP_302090884.1	MFS transporter	456	QYQ99_RS00180
NZ_CP129672.1	42219	43649		minus	tetratricopeptide repeat protein			protein-coding			WP_302090885.1	tetratricopeptide repeat protein	476	QYQ99_RS00185
NZ_CP129672.1	43704	43805		minus	uncharacterized gene			pseudogene						QYQ99_RS28315
NZ_CP129672.1	44308	44784		minus	GFA family protein			protein-coding			WP_302090886.1	GFA family protein	158	QYQ99_RS00190
NZ_CP129672.1	45065	46285		plus	ISL3 family transposase			protein-coding			WP_302090476.1	ISL3 family transposase	406	QYQ99_RS00195
NZ_CP129672.1	46380	48221		minus	dihydrolipoyl dehydrogenase	lpdA		protein-coding			WP_302090887.1	dihydrolipoyl dehydrogenase	613	QYQ99_RS00200
NZ_CP129672.1	48316	49191		minus	hypothetical protein			protein-coding			WP_302090888.1	hypothetical protein	291	QYQ99_RS00205
NZ_CP129672.1	49307	51001		minus	dihydrolipoyllysine-residue acetyltransferase	aceF		protein-coding			WP_302090889.1	dihydrolipoyllysine-residue acetyltransferase	564	QYQ99_RS00210
NZ_CP129672.1	51020	53734		minus	pyruvate dehydrogenase (acetyl-transferring), homodimeric type	aceE		protein-coding			WP_003079261.1	pyruvate dehydrogenase (acetyl-transferring), homodimeric type	904	QYQ99_RS00215
NZ_CP129672.1	54044	56611		plus	PAS domain-containing sensor histidine kinase			protein-coding			WP_302090890.1	PAS domain-containing sensor histidine kinase	855	QYQ99_RS00220
NZ_CP129672.1	56608	57261		plus	response regulator transcription factor			protein-coding			WP_003055354.1	response regulator transcription factor	217	QYQ99_RS00225
NZ_CP129672.1	57410	58264		plus	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD	folD		protein-coding			WP_302090891.1	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD	284	QYQ99_RS00230
NZ_CP129672.1	58464	60515		plus	M3 family metallopeptidase			protein-coding			WP_302090892.1	M3 family metallopeptidase	683	QYQ99_RS00235
NZ_CP129672.1	60738	61436		plus	glutaredoxin domain-containing protein			protein-coding			WP_302090893.1	glutaredoxin domain-containing protein	232	QYQ99_RS00240
NZ_CP129672.1	61554	62252		minus	ribose-5-phosphate isomerase RpiA	rpiA		protein-coding			WP_302090894.1	ribose-5-phosphate isomerase RpiA	232	QYQ99_RS00245
NZ_CP129672.1	62287	63333		plus	quinone-dependent dihydroorotate dehydrogenase			protein-coding			WP_302090895.1	quinone-dependent dihydroorotate dehydrogenase	348	QYQ99_RS00250
NZ_CP129672.1	63411	63785		minus	hypothetical protein			protein-coding			WP_302090896.1	hypothetical protein	124	QYQ99_RS00255
NZ_CP129672.1	63787	64188		minus	phage holin family protein			protein-coding			WP_302090897.1	phage holin family protein	133	QYQ99_RS00260
NZ_CP129672.1	64214	64525		minus	DUF883 domain-containing protein			protein-coding			WP_003079290.1	DUF883 domain-containing protein	103	QYQ99_RS00265
NZ_CP129672.1	65119	65967		plus	sulfate reduction electron transfer complex DsrMKJOP subunit DsrO	dsrO		protein-coding			WP_302090898.1	sulfate reduction electron transfer complex DsrMKJOP subunit DsrO	282	QYQ99_RS00270
NZ_CP129672.1	65981	67021		plus	NrfD/PsrC family molybdoenzyme membrane anchor subunit	nrfD		protein-coding			WP_302090899.1	NrfD/PsrC family molybdoenzyme membrane anchor subunit	346	QYQ99_RS00275
NZ_CP129672.1	67129	70335		plus	tetrathionate reductase subunit A			protein-coding			WP_302090900.1	tetrathionate reductase subunit A	1068	QYQ99_RS00280
NZ_CP129672.1	71076	71750		plus	hypothetical protein			protein-coding			WP_302093291.1	hypothetical protein	224	QYQ99_RS00285
NZ_CP129672.1	71833	72543		plus	hypothetical protein			protein-coding			WP_302090901.1	hypothetical protein	236	QYQ99_RS00290
NZ_CP129672.1	72928	73467		plus	DUF1697 domain-containing protein			protein-coding			WP_302090902.1	DUF1697 domain-containing protein	179	QYQ99_RS00295
NZ_CP129672.1	73556	74185		minus	DUF2625 domain-containing protein			protein-coding			WP_302090903.1	DUF2625 domain-containing protein	209	QYQ99_RS00300
NZ_CP129672.1	74328	74723		minus	VOC family protein			protein-coding			WP_302090904.1	VOC family protein	131	QYQ99_RS00305
NZ_CP129672.1	75164	76081		plus	LysR family transcriptional regulator			protein-coding			WP_302090905.1	LysR family transcriptional regulator	305	QYQ99_RS00310
NZ_CP129672.1	76251	77882		plus	ATP-binding cassette domain-containing protein			protein-coding			WP_302090906.1	ATP-binding cassette domain-containing protein	543	QYQ99_RS00315
NZ_CP129672.1	77955	78365		minus	hypothetical protein			protein-coding			WP_302090907.1	hypothetical protein	136	QYQ99_RS00320
NZ_CP129672.1	78602	79586		plus	uncharacterized gene			pseudogene						QYQ99_RS00325
NZ_CP129672.1	79984	81633		minus	AMP-binding protein			protein-coding			WP_302090908.1	AMP-binding protein	549	QYQ99_RS00330
NZ_CP129672.1	81665	82297		minus	TetR/AcrR family transcriptional regulator			protein-coding			WP_302090909.1	TetR/AcrR family transcriptional regulator	210	QYQ99_RS00335
NZ_CP129672.1	82438	83355		plus	crotonase/enoyl-CoA hydratase family protein			protein-coding			WP_302090910.1	crotonase/enoyl-CoA hydratase family protein	305	QYQ99_RS00340
NZ_CP129672.1	83418	83699		minus	YkvA family protein			protein-coding			WP_302090911.1	YkvA family protein	93	QYQ99_RS00345
NZ_CP129672.1	83868	84401		minus	GNAT family N-acetyltransferase			protein-coding			WP_302090912.1	GNAT family N-acetyltransferase	177	QYQ99_RS00350
NZ_CP129672.1	84547	84972		plus	TOBE domain-containing protein			protein-coding			WP_302090913.1	TOBE domain-containing protein	141	QYQ99_RS00355
NZ_CP129672.1	84972	85454		plus	uncharacterized gene	tsaA		pseudogene						QYQ99_RS28320
NZ_CP129672.1	85547	86674		minus	suppressor of fused domain protein			protein-coding			WP_302090916.1	suppressor of fused domain protein	375	QYQ99_RS00370
NZ_CP129672.1	86774	89182		minus	ATP-dependent DNA helicase			protein-coding			WP_302090917.1	ATP-dependent DNA helicase	802	QYQ99_RS00375
NZ_CP129672.1	89179	90852		minus	VRR-NUC domain-containing protein			protein-coding			WP_302093292.1	VRR-NUC domain-containing protein	557	QYQ99_RS00380
NZ_CP129672.1	91065	91394		plus	carboxymuconolactone decarboxylase family protein			protein-coding			WP_256630424.1	carboxymuconolactone decarboxylase family protein	109	QYQ99_RS00385
NZ_CP129672.1	91445	93358		minus	potassium transporter Kup			protein-coding			WP_302090918.1	potassium transporter Kup	637	QYQ99_RS00390
NZ_CP129672.1	93577	94359		plus	type 1 glutamine amidotransferase			protein-coding			WP_302090919.1	type 1 glutamine amidotransferase	260	QYQ99_RS00395
NZ_CP129672.1	94486	95250		plus	YwqG family protein			protein-coding			WP_302090920.1	YwqG family protein	254	QYQ99_RS00400
NZ_CP129672.1	95288	95992		plus	ribosomal protein L7/L12			protein-coding			WP_302090921.1	ribosomal protein L7/L12	234	QYQ99_RS00405
NZ_CP129672.1	96048	97496		minus	efflux transporter outer membrane subunit			protein-coding			WP_302090922.1	efflux transporter outer membrane subunit	482	QYQ99_RS00410
NZ_CP129672.1	97493	98716		minus	HlyD family secretion protein			protein-coding			WP_302090923.1	HlyD family secretion protein	407	QYQ99_RS00415
NZ_CP129672.1	98733	100913		minus	MFS transporter			protein-coding			WP_302090924.1	MFS transporter	726	QYQ99_RS00420
NZ_CP129672.1	100919	101467		minus	TetR/AcrR family transcriptional regulator			protein-coding			WP_302090925.1	TetR/AcrR family transcriptional regulator	182	QYQ99_RS00425
NZ_CP129672.1	101558	102475		minus	pseudouridine synthase			protein-coding			WP_302090926.1	pseudouridine synthase	305	QYQ99_RS00430
NZ_CP129672.1	102624	103619		minus	Bug family tripartite tricarboxylate transporter substrate binding protein			protein-coding			WP_302090927.1	Bug family tripartite tricarboxylate transporter substrate binding protein	331	QYQ99_RS00435
NZ_CP129672.1	103649	104764		minus	aryl-sulfate sulfotransferase			protein-coding			WP_302090928.1	aryl-sulfate sulfotransferase	371	QYQ99_RS00440
NZ_CP129672.1	104878	105828		plus	LysR family transcriptional regulator			protein-coding			WP_302090929.1	LysR family transcriptional regulator	316	QYQ99_RS00445
NZ_CP129672.1	106112	108325		plus	AsmA family protein			protein-coding			WP_302090930.1	AsmA family protein	737	QYQ99_RS00450
NZ_CP129672.1	108509	110059		minus	methyl-accepting chemotaxis protein			protein-coding			WP_053282234.1	methyl-accepting chemotaxis protein	516	QYQ99_RS00455
NZ_CP129672.1	110324	111112		minus	crotonase/enoyl-CoA hydratase family protein			protein-coding			WP_053282152.1	crotonase/enoyl-CoA hydratase family protein	262	QYQ99_RS00460
NZ_CP129672.1	111143	112180		minus	acyl-CoA dehydrogenase family protein			protein-coding			WP_302090931.1	acyl-CoA dehydrogenase family protein	345	QYQ99_RS00465
NZ_CP129672.1	112195	113352		minus	acyl-CoA dehydrogenase family protein			protein-coding			WP_053282154.1	acyl-CoA dehydrogenase family protein	385	QYQ99_RS00470
NZ_CP129672.1	113367	114359		minus	Bug family tripartite tricarboxylate transporter substrate binding protein			protein-coding			WP_302090932.1	Bug family tripartite tricarboxylate transporter substrate binding protein	330	QYQ99_RS00475
NZ_CP129672.1	114439	114948		minus	MaoC family dehydratase			protein-coding			WP_302090933.1	MaoC family dehydratase	169	QYQ99_RS00480
NZ_CP129672.1	114974	116203		minus	CaiB/BaiF CoA transferase family protein			protein-coding			WP_302090934.1	CaiB/BaiF CoA transferase family protein	409	QYQ99_RS00485
NZ_CP129672.1	116200	117447		minus	CaiB/BaiF CoA transferase family protein			protein-coding			WP_053282158.1	CaiB/BaiF CoA transferase family protein	415	QYQ99_RS00490
